id_afirmacion	campo	operacion	buscar	valor_nuevo	razon_y_evidencia
ASTRA5-U0-MER-004	documento_id_hash_pagina	SUSTITUYE-TEXTO	SIN-ID:enigh2024_reporte_resultados.pdf|6b091e2d640b6682ca568203637d2a327fbcae950ba7ef66c441c5970568903d|reporte 23/25 p.11, gráfica 2	enigh2024_reporte_resultados_pdf|6b091e2d640b6682ca568203637d2a327fbcae950ba7ef66c441c5970568903d|reporte 23/25 p.11, gráfica 2; registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-005	documento_id_hash_pagina	SUSTITUYE-TEXTO	SIN-ID:enigh2024_reporte_resultados.pdf|6b091e2d640b6682ca568203637d2a327fbcae950ba7ef66c441c5970568903d|reporte 23/25 p.11, gráfica 2	enigh2024_reporte_resultados_pdf|6b091e2d640b6682ca568203637d2a327fbcae950ba7ef66c441c5970568903d|reporte 23/25 p.11, gráfica 2; registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-006	documento_id_hash_pagina	SUSTITUYE-TEXTO	SIN-ID:encig2025_diseno_muestral.pdf|de74a89623696e54e2d409a5cb5ae2b41dcd54a73c9deef1102b5793d875175e|sin registro en main ni rama	encig2025_diseno_muestral_pdf|de74a89623696e54e2d409a5cb5ae2b41dcd54a73c9deef1102b5793d875175e|registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-006	documento_id_hash_pagina	SUSTITUYE-TEXTO	SIN-ID:encig2025_boletin.pdf|6515cb698a8a7f0821a225827ac2402d06cd6405cabf76208f0d6c529b29eaa4|p.3	encig2025_boletin_pdf|6515cb698a8a7f0821a225827ac2402d06cd6405cabf76208f0d6c529b29eaa4|p.3; registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-007	documento_id_hash_pagina	SUSTITUYE-TEXTO	SIN-ID:encig2025_diseno_muestral.pdf|de74a89623696e54e2d409a5cb5ae2b41dcd54a73c9deef1102b5793d875175e|sin registro en main ni rama	encig2025_diseno_muestral_pdf|de74a89623696e54e2d409a5cb5ae2b41dcd54a73c9deef1102b5793d875175e|registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-007	documento_id_hash_pagina	SUSTITUYE-TEXTO	SIN-ID:encig2025_principales_resultados.pdf|476cf06ee8cb18727f2326c0d80e5f113ca3554a0851f89f3414ab1a03113548|p.50	encig2025_principales_resultados_pdf|476cf06ee8cb18727f2326c0d80e5f113ca3554a0851f89f3414ab1a03113548|p.50; registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-009	documento_id_hash_pagina	SUSTITUYE-TEXTO	SIN-ID:encig2025_diseno_muestral.pdf|de74a89623696e54e2d409a5cb5ae2b41dcd54a73c9deef1102b5793d875175e|sin registro en main ni rama	encig2025_diseno_muestral_pdf|de74a89623696e54e2d409a5cb5ae2b41dcd54a73c9deef1102b5793d875175e|registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-009	documento_id_hash_pagina	SUSTITUYE-TEXTO	SIN-ID:encig2025_boletin.pdf|6515cb698a8a7f0821a225827ac2402d06cd6405cabf76208f0d6c529b29eaa4|p.3	encig2025_boletin_pdf|6515cb698a8a7f0821a225827ac2402d06cd6405cabf76208f0d6c529b29eaa4|p.3; registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-MER-009	documento_id_hash_pagina	SUSTITUYE-TEXTO	SIN-ID:encig2025_principales_resultados.pdf|476cf06ee8cb18727f2326c0d80e5f113ca3554a0851f89f3414ab1a03113548|pp.41-42	encig2025_principales_resultados_pdf|476cf06ee8cb18727f2326c0d80e5f113ca3554a0851f89f3414ab1a03113548|pp.41-42; registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
ASTRA5-U0-TEC-010	documento_id_hash_pagina	SUSTITUYE-TEXTO	diseño 889463916413.pdf|546b6b1b832ff5e7abe8e93b2139ce867d24ed121d0158e4a7bc2f1838b4f883|físico mm-corpus/raw/889463916413.pdf, sin id main	enadid2023_diseno_muestral_pdf|546b6b1b832ff5e7abe8e93b2139ce867d24ed121d0158e4a7bc2f1838b4f883|registrado en main por ASTRA5-U5 #1094 (ce86cc6d)	Consumo de #1094 (ASTRA5-U5, fusionado ce86cc6d): el documento que U0 leyó con SHA físico ahora tiene id en data/manifiesto.yaml con el mismo SHA (u0mf --id).
