resultado_id	consumidor	tipo_uso	valor_legacy	veredicto_relevo_usos_al_derivar	via	calc_gen2	result_gen2	estado	razon
RES-0001	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida	conducta_p_asignado	0.62	SIN-CANDIDATO	RESIDUO	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1		DECISIÓN-DE-MESA-PENDIENTE	ASIGNADO sin estimando declarado; la regla ya trae conductas GEN2 medidas, pero emitir_binaria devuelve este par (tramite.yaml:65-67); cambiar qué devuelve es semántica del motor, no relevo
RES-0002	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal	conducta_p_asignado	0.38	SIN-CANDIDATO	RESIDUO	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1		DECISIÓN-DE-MESA-PENDIENTE	ASIGNADO sin estimando declarado; la regla ya trae conductas GEN2 medidas, pero emitir_binaria devuelve este par (tramite.yaml:65-67); cambiar qué devuelve es semántica del motor, no relevo
RES-0004	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	conducta_p_medido	0.914882	DISCREPANCIA-CON-ADOPTADO	iii-DERIVADO-DE-GEN2	CALC-ENCIG-0001-COMPLEMENTOS-DERIVADO-0001	RESULT-ENCIGDER-A-Q	RELEVADO-POR-ESCRITOR	cuatro guardas 4.1 (+D6) en tools/escribe_relevo_consumo.py::guardas_v3
RES-0006	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	conducta_p_derivado	0.873994	DISCREPANCIA-CON-ADOPTADO	iii-DERIVADO-DE-GEN2	CALC-ENCUCI-0001-COMPLEMENTO-DERIVADO-0001	RESULT-ENCUCIDER-A-Q	RELEVADO-POR-ESCRITOR	cuatro guardas 4.1 (+D6) en tools/escribe_relevo_consumo.py::guardas_v3
RES-0007	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal	conducta_p_asignado	0.88	SIN-CANDIDATO	RESIDUO	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1		DECISIÓN-DE-MESA-PENDIENTE	ASIGNADO sin estimando declarado; la regla ya trae conductas GEN2 medidas, pero emitir_binaria devuelve este par (tramite.yaml:65-67); cambiar qué devuelve es semántica del motor, no relevo
RES-0008	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida	conducta_p_asignado	0.12	SIN-CANDIDATO	RESIDUO	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1		DECISIÓN-DE-MESA-PENDIENTE	ASIGNADO sin estimando declarado; la regla ya trae conductas GEN2 medidas, pero emitir_binaria devuelve este par (tramite.yaml:65-67); cambiar qué devuelve es semántica del motor, no relevo
RES-0009	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial	conducta_p_medido	0.116	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	RESIDUO	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-PRE-CD	DECISIÓN-DE-MESA-PENDIENTE	uso_motor NO-ADOPTAR-NC-0107 (variante deduplicada discrepante, «conservar sólo como historia») pero activa en el motor; el veredicto sellado es NO-ADOPTABLE
RES-0010	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial	conducta_p_derivado	0.884	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	RESIDUO	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-NORMAL-PRE-CD	DECISIÓN-DE-MESA-PENDIENTE	uso_motor NO-ADOPTAR-NC-0107 (variante deduplicada discrepante, «conservar sólo como historia») pero activa en el motor; el veredicto sellado es NO-ADOPTABLE
RES-0011	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital	conducta_p_medido	0.027358	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	RESIDUO	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-DIG-CD	DECISIÓN-DE-MESA-PENDIENTE	uso_motor NO-ADOPTAR-NC-0107 (variante deduplicada discrepante, «conservar sólo como historia») pero activa en el motor; el veredicto sellado es NO-ADOPTABLE
RES-0012	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital	conducta_p_derivado	0.972642	NO-ADOPTABLE-POR-VEREDICTO-SELLADO	RESIDUO	CALC-ENCIG-0001	RESULT-ENCIG-MOR-B-P-NORMAL-DIG-CD	DECISIÓN-DE-MESA-PENDIENTE	uso_motor NO-ADOPTAR-NC-0107 (variante deduplicada discrepante, «conservar sólo como historia») pero activa en el motor; el veredicto sellado es NO-ADOPTABLE
