calc	papel	archivos	sello_sha256	result_n	ee_n	replicas_validas_n	vectores_json	textos_largos	vector_delta_pareado
CALC-ARBITRO-MARGINALES-ENCIG2025-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	488033c779aee8c310fc08a5049ab3bddb79e7c850b08689590338103f9cc2cc	79	0	11	0		NO-ARCHIVADO
CALC-ARBITRO-MARGINALES-ENIF2024-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	4d1aa2d10c3b353964e2d456fc0d817c1fb5ee331ef33c145e9c803f48e52d5e	222	0	34	0		NO-ARCHIVADO
CALC-ARBITRO-MARGINALES-ENVIPE2025-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	48a122149a28dd94990541267b5d5087f752a83c4f32b82503efb84396aa2725	116	0	17	0		NO-ARCHIVADO
CALC-C2-COMPUESTO-RESERVADAS-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.md;spec.yaml	c6fd94455d12b35962e1e6655abd1c7f9808445bb354aa3f0d9222fa719b170f	632	0	0	0		NO-ARCHIVADO
CALC-DIN-CREDITO-PREDICCION-2024-ADJUDICACION-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	2eb0c91ac7323c8a90bb0f1f72e900ca6c01dd81e827edd1ac4f85d5a690b34d	882	0	144	0		NO-ARCHIVADO
CALC-DIN-CREDITO-PREDICCION-2024-EMISIONES-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	e296f8722c5c9d3038cc90ee1ae653d82a748ae0c8f7d35f52257eb9bb6be657	11062	0	0	0		NO-ARCHIVADO
CALC-DIN-CREDITO-PREDICCION-2024-ESCOLARIDAD-0002	COMPARACION	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	593e84d095e8270e179330e8491b58d4f0f1b0d9e569c553b3d9d024273b8563	1346	0	144	0		NO-ARCHIVADO
CALC-DIN-LOTE-ENIF2024-ADJUDICACION-0001	COMPARACION	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	fb67202c3a31d2a159b481969ca54846048a253b4f13f060322f7b9a5a60bd03	2913	96	0	0		NO-ARCHIVADO
CALC-DIN-LOTE-ENIF2024-EMISIONES-0001	INPUT-SELLADO	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	5dc484f2a83dd740a4d8a0cba3b2d2954ea50e3a1a9dcab05625b8ba7cccdcad	2184	0	0	0		NO-ARCHIVADO
CALC-DUELO-ENVIPE2026-ADJUDICACION-0001	COMPARACION	ejecucion.json;medidor.py;resultados.json;sello.json;sello.sha256;spec.yaml	bcaa9e8160d130a720e96d7e6acf7a9b12a8061a30ccabb90ecf715eb93f62f3	762	0	0	0		NO-ARCHIVADO
