familia	escala_se	sd_deriva	delta	compatible	indeterminado	desvio	ambas_informativas
AHORRO-FORMAL	0.75	0.0	0.0	0.99	0.01	0.0	0.9895
HORIZONTE-AHORRO	0.75	0.0	0.0	0.9995	0.0005	0.0	0.9895
AHORRO-FORMAL	0.75	0.0	0.01	0.6045	0.3955	0.0	0.5825
HORIZONTE-AHORRO	0.75	0.0	0.01	0.795	0.205	0.0	0.5825
AHORRO-FORMAL	0.75	0.0	0.02	0.019	0.95	0.031	0.0255
HORIZONTE-AHORRO	0.75	0.0	0.02	0.0305	0.949	0.0205	0.0255
AHORRO-FORMAL	0.75	0.0	0.03	0.0	0.3575	0.6425	0.615
HORIZONTE-AHORRO	0.75	0.0	0.03	0.0	0.2125	0.7875	0.615
AHORRO-FORMAL	0.75	0.0	0.04	0.0	0.0015	0.9985	0.9985
HORIZONTE-AHORRO	0.75	0.0	0.04	0.0	0.0	1.0	0.9985
AHORRO-FORMAL	0.75	0.0	0.05	0.0	0.0	1.0	1.0
HORIZONTE-AHORRO	0.75	0.0	0.05	0.0	0.0	1.0	1.0
AHORRO-FORMAL	0.75	0.005	0.0	0.9135	0.086	0.0005	0.9095
HORIZONTE-AHORRO	0.75	0.005	0.0	0.961	0.039	0.0	0.9095
AHORRO-FORMAL	0.75	0.005	0.01	0.557	0.4385	0.0045	0.547
HORIZONTE-AHORRO	0.75	0.005	0.01	0.679	0.3165	0.0045	0.547
AHORRO-FORMAL	0.75	0.005	0.02	0.088	0.804	0.108	0.163
HORIZONTE-AHORRO	0.75	0.005	0.02	0.129	0.7385	0.1325	0.163
AHORRO-FORMAL	0.75	0.005	0.03	0.0015	0.391	0.6075	0.5845
HORIZONTE-AHORRO	0.75	0.005	0.03	0.0015	0.3115	0.687	0.5845
AHORRO-FORMAL	0.75	0.005	0.04	0.0	0.037	0.963	0.96
HORIZONTE-AHORRO	0.75	0.005	0.04	0.0	0.02	0.98	0.96
AHORRO-FORMAL	0.75	0.005	0.05	0.0	0.0	1.0	1.0
HORIZONTE-AHORRO	0.75	0.005	0.05	0.0	0.0	1.0	1.0
AHORRO-FORMAL	0.75	0.01	0.0	0.705	0.285	0.01	0.7005
HORIZONTE-AHORRO	0.75	0.01	0.0	0.7705	0.215	0.0145	0.7005
AHORRO-FORMAL	0.75	0.01	0.01	0.5115	0.4445	0.044	0.538
HORIZONTE-AHORRO	0.75	0.01	0.01	0.592	0.356	0.052	0.538
AHORRO-FORMAL	0.75	0.01	0.02	0.203	0.5665	0.2305	0.4045
HORIZONTE-AHORRO	0.75	0.01	0.02	0.2445	0.498	0.2575	0.4045
AHORRO-FORMAL	0.75	0.01	0.03	0.0385	0.3815	0.58	0.5965
HORIZONTE-AHORRO	0.75	0.01	0.03	0.0525	0.328	0.6195	0.5965
AHORRO-FORMAL	0.75	0.01	0.04	0.0035	0.133	0.8635	0.858
HORIZONTE-AHORRO	0.75	0.01	0.04	0.007	0.105	0.888	0.858
AHORRO-FORMAL	0.75	0.01	0.05	0.0	0.0245	0.9755	0.9745
HORIZONTE-AHORRO	0.75	0.01	0.05	0.0	0.017	0.983	0.9745
AHORRO-FORMAL	1.0	0.0	0.0	0.863	0.137	0.0	0.8605
HORIZONTE-AHORRO	1.0	0.0	0.0	0.973	0.027	0.0	0.8605
AHORRO-FORMAL	1.0	0.0	0.01	0.381	0.619	0.0	0.35
HORIZONTE-AHORRO	1.0	0.0	0.01	0.5525	0.4475	0.0	0.35
AHORRO-FORMAL	1.0	0.0	0.02	0.019	0.95	0.031	0.0255
HORIZONTE-AHORRO	1.0	0.0	0.02	0.0305	0.949	0.0205	0.0255
AHORRO-FORMAL	1.0	0.0	0.03	0.0	0.585	0.415	0.365
HORIZONTE-AHORRO	1.0	0.0	0.03	0.0	0.461	0.539	0.365
AHORRO-FORMAL	1.0	0.0	0.04	0.0	0.061	0.939	0.9375
HORIZONTE-AHORRO	1.0	0.0	0.04	0.0	0.017	0.983	0.9375
AHORRO-FORMAL	1.0	0.0	0.05	0.0	0.0	1.0	1.0
HORIZONTE-AHORRO	1.0	0.0	0.05	0.0	0.0	1.0	1.0
AHORRO-FORMAL	1.0	0.005	0.0	0.7295	0.27	0.0005	0.7115
HORIZONTE-AHORRO	1.0	0.005	0.0	0.8635	0.1365	0.0	0.7115
AHORRO-FORMAL	1.0	0.005	0.01	0.3975	0.597	0.0055	0.3755
HORIZONTE-AHORRO	1.0	0.005	0.01	0.531	0.464	0.005	0.3755
AHORRO-FORMAL	1.0	0.005	0.02	0.059	0.864	0.077	0.103
HORIZONTE-AHORRO	1.0	0.005	0.02	0.088	0.823	0.089	0.103
AHORRO-FORMAL	1.0	0.005	0.03	0.0015	0.551	0.4475	0.411
HORIZONTE-AHORRO	1.0	0.005	0.03	0.001	0.47	0.529	0.411
AHORRO-FORMAL	1.0	0.005	0.04	0.0	0.121	0.879	0.8675
HORIZONTE-AHORRO	1.0	0.005	0.04	0.0	0.071	0.929	0.8675
AHORRO-FORMAL	1.0	0.005	0.05	0.0	0.004	0.996	0.9955
HORIZONTE-AHORRO	1.0	0.005	0.05	0.0	0.0005	0.9995	0.9955
AHORRO-FORMAL	1.0	0.01	0.0	0.5285	0.4645	0.007	0.5175
HORIZONTE-AHORRO	1.0	0.01	0.0	0.6515	0.34	0.0085	0.5175
AHORRO-FORMAL	1.0	0.01	0.01	0.3795	0.586	0.0345	0.3895
HORIZONTE-AHORRO	1.0	0.01	0.01	0.4805	0.481	0.0385	0.3895
AHORRO-FORMAL	1.0	0.01	0.02	0.148	0.676	0.176	0.292
HORIZONTE-AHORRO	1.0	0.01	0.02	0.1965	0.6025	0.201	0.292
AHORRO-FORMAL	1.0	0.01	0.03	0.0305	0.497	0.4725	0.4745
HORIZONTE-AHORRO	1.0	0.01	0.03	0.0385	0.43	0.5315	0.4745
AHORRO-FORMAL	1.0	0.01	0.04	0.0025	0.22	0.7775	0.7685
HORIZONTE-AHORRO	1.0	0.01	0.04	0.003	0.171	0.826	0.7685
AHORRO-FORMAL	1.0	0.01	0.05	0.0	0.0475	0.9525	0.9495
HORIZONTE-AHORRO	1.0	0.01	0.05	0.0	0.033	0.967	0.9495
AHORRO-FORMAL	1.5	0.0	0.0	0.247	0.753	0.0	0.2025
HORIZONTE-AHORRO	1.5	0.0	0.0	0.5825	0.4175	0.0	0.2025
AHORRO-FORMAL	1.5	0.0	0.01	0.124	0.8745	0.0015	0.093
HORIZONTE-AHORRO	1.5	0.0	0.01	0.2655	0.733	0.0015	0.093
AHORRO-FORMAL	1.5	0.0	0.02	0.0175	0.9515	0.031	0.024
HORIZONTE-AHORRO	1.5	0.0	0.02	0.0305	0.949	0.0205	0.024
AHORRO-FORMAL	1.5	0.0	0.03	0.0	0.7845	0.2155	0.165
HORIZONTE-AHORRO	1.5	0.0	0.03	0.0005	0.729	0.2705	0.165
AHORRO-FORMAL	1.5	0.0	0.04	0.0	0.3575	0.6425	0.615
HORIZONTE-AHORRO	1.5	0.0	0.04	0.0	0.2125	0.7875	0.615
AHORRO-FORMAL	1.5	0.0	0.05	0.0	0.061	0.939	0.9375
HORIZONTE-AHORRO	1.5	0.0	0.05	0.0	0.017	0.983	0.9375
AHORRO-FORMAL	1.5	0.005	0.0	0.2265	0.773	0.0005	0.176
HORIZONTE-AHORRO	1.5	0.005	0.0	0.4825	0.5175	0.0	0.176
AHORRO-FORMAL	1.5	0.005	0.01	0.132	0.861	0.007	0.104
HORIZONTE-AHORRO	1.5	0.005	0.01	0.2905	0.7045	0.005	0.104
AHORRO-FORMAL	1.5	0.005	0.02	0.032	0.9225	0.0455	0.0525
HORIZONTE-AHORRO	1.5	0.005	0.02	0.059	0.8905	0.0505	0.0525
AHORRO-FORMAL	1.5	0.005	0.03	0.002	0.739	0.259	0.216
HORIZONTE-AHORRO	1.5	0.005	0.03	0.0025	0.677	0.3205	0.216
AHORRO-FORMAL	1.5	0.005	0.04	0.0	0.3635	0.6365	0.5975
HORIZONTE-AHORRO	1.5	0.005	0.04	0.0	0.2655	0.7345	0.5975
AHORRO-FORMAL	1.5	0.005	0.05	0.0	0.0895	0.9105	0.9065
HORIZONTE-AHORRO	1.5	0.005	0.05	0.0	0.0405	0.9595	0.9065
AHORRO-FORMAL	1.5	0.01	0.0	0.1645	0.8295	0.006	0.1365
HORIZONTE-AHORRO	1.5	0.01	0.0	0.366	0.628	0.006	0.1365
AHORRO-FORMAL	1.5	0.01	0.01	0.119	0.858	0.023	0.1085
HORIZONTE-AHORRO	1.5	0.01	0.01	0.2665	0.7075	0.026	0.1085
AHORRO-FORMAL	1.5	0.01	0.02	0.051	0.841	0.108	0.124
HORIZONTE-AHORRO	1.5	0.01	0.02	0.109	0.7585	0.1325	0.124
AHORRO-FORMAL	1.5	0.01	0.03	0.014	0.667	0.319	0.297
HORIZONTE-AHORRO	1.5	0.01	0.03	0.0265	0.5975	0.376	0.297
AHORRO-FORMAL	1.5	0.01	0.04	0.0015	0.391	0.6075	0.5845
HORIZONTE-AHORRO	1.5	0.01	0.04	0.0015	0.3115	0.687	0.5845
AHORRO-FORMAL	1.5	0.01	0.05	0.0	0.154	0.846	0.8345
HORIZONTE-AHORRO	1.5	0.01	0.05	0.0	0.1005	0.8995	0.8345
