tipo,calc_id,pais,universo,precision,estado,dominio_id,indicador,descripcion,n_denominador,masa_denominador,n_numerador,masa_numerador,proporcion,unidad
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,FAMILIA_NINGUNA,Familia en ninguna situación,981,981.000000000000,59,59.000000000000,0.060142711519,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,FAMILIA_ALGUNA,Familia en alguna situación,981,981.000000000000,922,922.000000000000,0.939857288481,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,FAMILIA_TODAS,Familia en las cinco situaciones,981,981.000000000000,271,271.000000000000,0.276248725790,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,HOMBRES,FAMILIA_NINGUNA,Familia en ninguna situación,474,474.000000000000,30,30.000000000000,0.063291139241,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,HOMBRES,FAMILIA_ALGUNA,Familia en alguna situación,474,474.000000000000,444,444.000000000000,0.936708860759,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,HOMBRES,FAMILIA_TODAS,Familia en las cinco situaciones,474,474.000000000000,113,113.000000000000,0.238396624473,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,MUJERES,FAMILIA_NINGUNA,Familia en ninguna situación,507,507.000000000000,29,29.000000000000,0.057199211045,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,MUJERES,FAMILIA_ALGUNA,Familia en alguna situación,507,507.000000000000,478,478.000000000000,0.942800788955,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,MUJERES,FAMILIA_TODAS,Familia en las cinco situaciones,507,507.000000000000,158,158.000000000000,0.311637080868,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,COBERTURA_CINCO_VALIDAS,Cinco respuestas válidas entre peso utilizable,1002,1002.000000000000,981,981.000000000000,0.979041916168,proporcion-peso-utilizable
