tipo,calc_id,pais,universo,precision,estado,dominio_id,dominio,situaciones_con_familia,n_denominador,masa_denominador,n_numerador,masa_numerador,proporcion,unidad
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,México,0,981,981.000000000000,59,59.000000000000,0.060142711519,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,México,1,981,981.000000000000,86,86.000000000000,0.087665647299,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,México,2,981,981.000000000000,161,161.000000000000,0.164118246687,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,México,3,981,981.000000000000,196,196.000000000000,0.199796126402,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,México,4,981,981.000000000000,208,208.000000000000,0.212028542304,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,TOTAL,México,5,981,981.000000000000,271,271.000000000000,0.276248725790,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,HOMBRES,Hombres,0,474,474.000000000000,30,30.000000000000,0.063291139241,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,HOMBRES,Hombres,1,474,474.000000000000,45,45.000000000000,0.094936708861,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,HOMBRES,Hombres,2,474,474.000000000000,92,92.000000000000,0.194092827004,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,HOMBRES,Hombres,3,474,474.000000000000,94,94.000000000000,0.198312236287,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,HOMBRES,Hombres,4,474,474.000000000000,100,100.000000000000,0.210970464135,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,HOMBRES,Hombres,5,474,474.000000000000,113,113.000000000000,0.238396624473,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,MUJERES,Mujeres,0,507,507.000000000000,29,29.000000000000,0.057199211045,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,MUJERES,Mujeres,1,507,507.000000000000,41,41.000000000000,0.080867850099,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,MUJERES,Mujeres,2,507,507.000000000000,69,69.000000000000,0.136094674556,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,MUJERES,Mujeres,3,507,507.000000000000,102,102.000000000000,0.201183431953,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,MUJERES,Mujeres,4,507,507.000000000000,108,108.000000000000,0.213017751479,proporcion-cinco-validas
RESULT,CALC-ISSP2017-CONSISTENCIA-APOYO-FAMILIAR-0001,México,Muestra ISSP 2017 México,EE-IC-NO-DISPONIBLES-DISENO-NO-ACREDITADO,OK,MUJERES,Mujeres,5,507,507.000000000000,158,158.000000000000,0.311637080868,proporcion-cinco-validas
