calc	conducta	dominio	ola	eje	categoria	p	ic_lo	ic_hi	icc_lo	icc_hi	n	result_id_p
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	EDAD-JEFE	30-44	0.191150	0.174560	0.207651			18814	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-EDAD-JEFE-30-44-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	EDAD-JEFE	45-59	0.204661	0.186676	0.223953			18452	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-EDAD-JEFE-45-59-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	EDAD-JEFE	60-MAS	0.235095	0.213828	0.257640			13839	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-EDAD-JEFE-60-MAS-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	EDAD-JEFE	HASTA-29	0.176436	0.154362	0.199304			6695	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-EDAD-JEFE-HASTA-29-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	ESCOLARIDAD-JEFE	MEDIA-SUPERIOR-Y-SUPERIOR	0.177917	0.160526	0.196515			16733	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-ESCOLARIDAD-JEFE-MEDIA-SUPERIOR-Y-SUPERIOR-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	ESCOLARIDAD-JEFE	PRIMARIA-COMPLETA	0.214236	0.193710	0.236325			12257	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-ESCOLARIDAD-JEFE-PRIMARIA-COMPLETA-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	ESCOLARIDAD-JEFE	PRIMARIA-INCOMPLETA	0.238963	0.214717	0.266669			13495	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-ESCOLARIDAD-JEFE-PRIMARIA-INCOMPLETA-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	ESCOLARIDAD-JEFE	SECUNDARIA-COMPLETA	0.187907	0.172673	0.205202			15315	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-ESCOLARIDAD-JEFE-SECUNDARIA-COMPLETA-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	SEXO-JEFE	HOMBRE	0.197644	0.182582	0.213867			42344	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-SEXO-JEFE-HOMBRE-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	SEXO-JEFE	MUJER	0.222047	0.199845	0.243968			15456	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-SEXO-JEFE-MUJER-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	TLOC	100MIL-MAS	0.189458	0.175327	0.205025			29698	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-TLOC-100MIL-MAS-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	TLOC	15MIL-99MIL	0.260172	0.207411	0.317021			13595	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-TLOC-15MIL-99MIL-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	TLOC	2500-14999	0.212558	0.161155	0.262379			6454	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-TLOC-2500-14999-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	TLOC	MENOS-2500	0.195348	0.157477	0.233140			8053	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-TLOC-MENOS-2500-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-MERCADO-TIANGUIS-AMBULANTE	CONSUMO	2012	TOTAL	TODOS	0.203927	0.188903	0.219820			57800	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-MERCADO-TIANGUIS-AMBULANTE-2012-TOTAL-TODOS-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	EDAD-JEFE	30-44	0.208762	0.192672	0.224623			18814	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-EDAD-JEFE-30-44-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	EDAD-JEFE	45-59	0.214063	0.197297	0.229721			18452	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-EDAD-JEFE-45-59-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	EDAD-JEFE	60-MAS	0.188836	0.175071	0.202762			13839	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-EDAD-JEFE-60-MAS-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	EDAD-JEFE	HASTA-29	0.209825	0.189310	0.231424			6695	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-EDAD-JEFE-HASTA-29-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	ESCOLARIDAD-JEFE	MEDIA-SUPERIOR-Y-SUPERIOR	0.373743	0.347769	0.402117			16733	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-ESCOLARIDAD-JEFE-MEDIA-SUPERIOR-Y-SUPERIOR-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	ESCOLARIDAD-JEFE	PRIMARIA-COMPLETA	0.149543	0.135461	0.165545			12257	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-ESCOLARIDAD-JEFE-PRIMARIA-COMPLETA-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	ESCOLARIDAD-JEFE	PRIMARIA-INCOMPLETA	0.093136	0.082719	0.104628			13495	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-ESCOLARIDAD-JEFE-PRIMARIA-INCOMPLETA-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	ESCOLARIDAD-JEFE	SECUNDARIA-COMPLETA	0.193941	0.179321	0.208620			15315	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-ESCOLARIDAD-JEFE-SECUNDARIA-COMPLETA-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	SEXO-JEFE	HOMBRE	0.202964	0.190755	0.215712			42344	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-SEXO-JEFE-HOMBRE-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	SEXO-JEFE	MUJER	0.214308	0.195669	0.232603			15456	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-SEXO-JEFE-MUJER-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	TLOC	100MIL-MAS	0.315835	0.299153	0.332434			29698	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-TLOC-100MIL-MAS-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	TLOC	15MIL-99MIL	0.168005	0.135652	0.198353			13595	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-TLOC-15MIL-99MIL-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	TLOC	2500-14999	0.074796	0.054599	0.100677			6454	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-TLOC-2500-14999-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	TLOC	MENOS-2500	0.058013	0.042774	0.077430			8053	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-TLOC-MENOS-2500-P
CALC-ENGASTO-CONSUMO-PISOS-0001	CARNE-EN-SUPER-MEMBRESIA	CONSUMO	2012	TOTAL	TODOS	0.205885	0.193277	0.218402			57800	RESULT-ENGASTO-CONSUMO-PISOS-CARNE-EN-SUPER-MEMBRESIA-2012-TOTAL-TODOS-P
CALC-ENGASTO-CONSUMO-PISOS-0001	COMPRA-INTERNET-ALGUN-RUBRO	CONSUMO	2012	EDAD-JEFE	30-44	0.011189	0.008546	0.014278			19032	RESULT-ENGASTO-CONSUMO-PISOS-COMPRA-INTERNET-ALGUN-RUBRO-2012-EDAD-JEFE-30-44-P
