celda	etapa	n
CIV-M-10	descarta_bp1_23_99	227
CIV-M-10	descarta_bp1_23_blanco	3962
CIV-M-10	descarta_bp1_23_otro	0
CIV-M-10	descarta_bpcod_fuera_01_15	0
CIV-M-10	descarta_fac_del_no_positivo_o_no_finito	0
CIV-M-10	filas_tabla	37156
CIV-M-10	filas_tabla_sin_diseno	0
CIV-M-10	incluida_sin_diseno	0
CIV-M-10	n_u_r	32967
CIV-M-10	pasa_bp1_23_01_09	32967
CIV-M-10	pasa_bpcod_01_15	37156
CIV-M-10	pasa_fac_del	32967
CIV-M-12	descarta_bp1_23_99	166
CIV-M-12	descarta_bp1_23_blanco	3957
CIV-M-12	descarta_bp1_23_otro	0
CIV-M-12	descarta_bpcod_fuera_01_15	0
CIV-M-12	descarta_fac_del_no_positivo_o_no_finito	0
CIV-M-12	filas_tabla	35135
CIV-M-12	filas_tabla_sin_diseno	0
CIV-M-12	incluida_sin_diseno	0
CIV-M-12	n_u_r	31012
CIV-M-12	pasa_bp1_23_01_09	31012
CIV-M-12	pasa_bpcod_01_15	35135
CIV-M-12	pasa_fac_del	31012
CIV-M-13	descarta_bp1_23_99	244
CIV-M-13	descarta_bp1_23_blanco	4262
CIV-M-13	descarta_bp1_23_otro	0
CIV-M-13	descarta_bpcod_fuera_01_15	0
CIV-M-13	descarta_fac_del_no_positivo_o_no_finito	0
CIV-M-13	filas_tabla	37614
CIV-M-13	filas_tabla_sin_diseno	0
CIV-M-13	incluida_sin_diseno	0
CIV-M-13	n_u_r	33108
CIV-M-13	pasa_bp1_23_01_09	33108
CIV-M-13	pasa_bpcod_01_15	37614
CIV-M-13	pasa_fac_del	33108
