slot	consumidor	tipo_uso	dictamen_propuesto	razon_individual	siguiente_operacion
RES-0067	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.confianza_institucional	coeficiente_ejecutable	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_ejecutable en coeficientes_generador_sellados:G1.confianza_institucional; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0068	milpa/procedencia.yaml:coeficientes_generador_sellados:G1.radio_confianza	coeficiente_ejecutable	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_ejecutable en coeficientes_generador_sellados:G1.radio_confianza; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0069	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.familismo_apoyo	coeficiente_ejecutable	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_ejecutable en coeficientes_generador_sellados:G3.familismo_apoyo; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0070	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.exposicion_violencia	coeficiente_ejecutable	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_ejecutable en coeficientes_generador_sellados:G4.exposicion_violencia; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0071	milpa/procedencia.yaml:coeficientes_generador_sellados:G4.confianza_institucional	coeficiente_ejecutable	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_ejecutable en coeficientes_generador_sellados:G4.confianza_institucional; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0072	milpa/procedencia.yaml:coeficientes_generador_sellados:G3.horizonte_temporal	coeficiente_ejecutable	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_ejecutable en coeficientes_generador_sellados:G3.horizonte_temporal; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0073	milpa/procedencia.yaml:coeficientes_generador_sellados:G5.familismo_apoyo	coeficiente_ejecutable	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_ejecutable en coeficientes_generador_sellados:G5.familismo_apoyo; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0074	milpa/procedencia.yaml:asignados_coeficiente:G2.aversion_riesgo	coeficiente_asignado	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_asignado en asignados_coeficiente:G2.aversion_riesgo; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0075	milpa/procedencia.yaml:asignados_coeficiente:G2.sens_estatus	coeficiente_asignado	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_asignado en asignados_coeficiente:G2.sens_estatus; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0076	milpa/procedencia.yaml:asignados_coeficiente:G3.aversion_riesgo	coeficiente_asignado	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_asignado en asignados_coeficiente:G3.aversion_riesgo; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0077	milpa/procedencia.yaml:asignados_coeficiente:G4.horizonte_temporal	coeficiente_asignado	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_asignado en asignados_coeficiente:G4.horizonte_temporal; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0078	milpa/procedencia.yaml:asignados_coeficiente:G4.sens_estatus	coeficiente_asignado	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_asignado en asignados_coeficiente:G4.sens_estatus; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
RES-0079	milpa/procedencia.yaml:asignados_coeficiente:G5.familismo_obligacion	coeficiente_asignado	NO-HISTORICO-CONSUMO-POTENCIAL	coeficiente_asignado en asignados_coeficiente:G5.familismo_obligacion; milpa/src/procedencia.py carga este archivo y consumibles() solo excluye PENDIENTE, GATE_ID y REFUTADO_POR_COTA. Sin prueba por llave de exclusión no procede llamarlo histórico.	COTEJAR-CLASE-Y-CONSULTA-POR-LLAVE; CALC-O-DICTAMEN-ESPECIFICO
