slot	grupo	consumidor	generacion_censada	valor_legacy	estado_efectivo	trazabilidad	evidencia	dependencia_y_operacion
RES-0001	motor	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida	LEGACY-GEN1	0.62	NO-EQUIVALENTE-PAGO; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-encig23-p83.md	P8_3/P8_4 no miden pago o normalidad; nueva pregunta/estimando y CALC propio
RES-0002	motor	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal	LEGACY-GEN1	0.38	NO-EQUIVALENTE-PAGO; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-encig23-p83.md	P8_3/P8_4 no miden pago o normalidad; nueva pregunta/estimando y CALC propio
RES-0004	motor	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal_encig2025	LEGACY-GEN1	0.914882	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO
RES-0006	motor	milpa/tramite.yaml:tramite.mordida.discrecional:sin_solicitud_y_sin_entrega_encuci2020	LEGACY-GEN1	0.873994	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO
RES-0007	motor	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal	LEGACY-GEN1	0.88	NO-EQUIVALENTE-PAGO; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-encig23-p83.md	P8_3/P8_4 no miden pago o normalidad; nueva pregunta/estimando y CALC propio
RES-0008	motor	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida	LEGACY-GEN1	0.12	NO-EQUIVALENTE-PAGO; LEGACY-ACTIVA	PIN-NO-ACREDITA-CONSUMO	lote-encig23-p83.md	P8_3/P8_4 no miden pago o normalidad; nueva pregunta/estimando y CALC propio
RES-0009	motor	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_presencial	LEGACY-GEN1	0.116	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO
RES-0010	motor	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_presencial	LEGACY-GEN1	0.884	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO
RES-0011	motor	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida_encig2025_digital	LEGACY-GEN1	0.027358	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO
RES-0012	motor	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal_encig2025_digital	LEGACY-GEN1	0.972642	LEGACY-ACTIVA; NO-ADOPTADA	PIN-NO-ACREDITA-CONSUMO	inventario-operativo.tsv	NUEVO-CALC-EXACTO-O-DICTAMEN-DE-IMPEDIMENTO
