ola	era	conducta	eje	segmento	unidad	punto	ic95_lo	ic95_hi	n	n_efectivo_kish	upm	calidad	resultado_id	calc_id	sello_sha256	calibracion
2005T1	clasica	empleo_informal	nacional	NAC	proporcion	0.5928191002011481	0.588696720944701	0.5967181631842796	162499	64487.81	18014	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
2005T1	clasica	empleo_informal	sexo	HOMBRE	proporcion	0.5932743629020086	0.588016287236519	0.5984413618392801	101883	41386.35	17883	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
2005T1	clasica	empleo_informal	sexo	MUJER	proporcion	0.5919998771996797	0.585716792239706	0.5989494835784712	60616	23101.75	16997	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
2005T1	clasica	empleo_informal	edad	15-29	proporcion	0.6282428547907435	0.621330535071152	0.6361116281034783	55113	21993.83	15520	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
2005T1	clasica	empleo_informal	edad	30-44	proporcion	0.5270728968538352	0.5211892009425788	0.5337476263969674	60882	23631.11	16717	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
2005T1	clasica	empleo_informal	edad	45-59	proporcion	0.5804993607155463	0.5734614715214308	0.5880900203406475	34680	13741.43	14000	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
2005T1	clasica	empleo_informal	edad	60+	proporcion	0.775185225324637	0.7642058365484611	0.7868345662908234	11824	5122.51	6698	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
2005T1	clasica	empleo_informal	escolaridad	MEDIA-SUPERIOR	proporcion	0.3264688108364403	0.3191482305152967	0.33329088050336364	45067	15618.46	14453	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
2005T1	clasica	empleo_informal	escolaridad	PRIM-COMPLETA	proporcion	0.7151806984228396	0.7089872852191649	0.7234220941165216	35777	14768.61	12650	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
2005T1	clasica	empleo_informal	escolaridad	PRIM-INCOMPLETA	proporcion	0.8526807918493371	0.84723039701915	0.8581569016664496	29304	13852.12	9139	ALTA	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	SIN-COVARIANZA-LONGITUDINAL-PARA-CALIBRAR
