# GENERADO por tools/dominios/cola-completa/revisa_no_encontrado.py — no editar
id_afirmacion	clase	programa_candidato	casado_por_nombre	instrumento_texto
ASTRA5-U0-APUEST-007	SIN-PROGRAMA			World Bank Policy Research Working Paper 6634 (Ruiz, 2013), «From pawn shops to banks: the impact of formal credit on informal households»
ASTRA5-U0-APUEST-010	SIN-PROGRAMA			comunicado oficial Nu México (blog.nu.com.mx, international.nubank.com.br)
ASTRA5-U0-APUEST-013	SIN-PROGRAMA			no identificado (solo prensa)
ASTRA5-U0-APUEST-014	SIN-PROGRAMA			comunicado oficial Aplazo vía BusinessWire (13-may-2024); comunicado/prensa propia Kueski
ASTRA5-U0-APUEST-016	SIN-PROGRAMA			no identificado (solo prensa, TechCrunch 15-nov-2021)
ASTRA5-U0-APUEST-019	SIN-PROGRAMA			FEMSA, informe anual/trimestral (BMV: FEMSAUBD) o comunicado de Spin by OXXO
ASTRA5-U0-APUEST-020	SIN-PROGRAMA			Effie Awards México (registro de premiación); Walmex informe anual/trimestral (BMV: WALMEX)
ASTRA5-U0-APUEST-021	SIN-PROGRAMA			Hoddinott, Skoufias y Washburn (2000), «The impact of PROGRESA on consumption», IFPRI; Behrman y Hoddinott (2005), Oxford Bulletin of Economics and Statistics 67(4):547-569; Skoufias, evaluaciones asociadas
ASTRA5-U0-APUEST-022	SIN-PROGRAMA			CEPAL (2016), informe/documento sobre programas de transferencias condicionadas en América Latina
ASTRA5-U0-APUEST-027	SIN-PROGRAMA			no identificado en esta pasada
ASTRA5-U0-APUEST-033	SIN-PROGRAMA			no identificado en esta pasada
ASTRA5-U0-APUEST-035	SIN-PROGRAMA			no identificado en esta pasada
ASTRA5-U0-APUEST-038	SIN-PROGRAMA			COFEPRIS (registro sanitario/inhabilitación de proveedores) o Secretaría de Salud (licitaciones/compras consolidadas de biológicos)
ASTRA5-U0-APUEST-040	SIN-PROGRAMA			NOM-194-SCFI-2015, Diario Oficial de la Federación
ASTRA5-U0-APUEST-042	SIN-PROGRAMA			Walmex, informe trimestral/anual (BMV: WALMEX); Costco Wholesale, 10-K/10-Q (SEC, Nasdaq: COST)
ASTRA5-U0-APUEST-044	SIN-PROGRAMA			Profeco (registro de quejas) — no identificado documento exacto en esta pasada
ASTRA5-U0-APUEST-046	SIN-PROGRAMA			no identificado en esta pasada
ASTRA5-U0-ASPIR-004	SIN-PROGRAMA			AppsFlyer (reporte de penetracion de apps/dispositivos; appsflyer.com/press-releases y appsflyer.com/resources/reports/state-of-app-marketing/ revisados, sin pieza especifica MX localizada); Omdia (tracker trimestral de envios; omdia.tech.informa.com/pr con acceso bloqueado 403 Forbidden); The CIU (theciu.com confirmado como consultora real de telecomunicaciones en Mexico, con grafica de participacion de smartphones, sin informe con URL propia localizado)
ASTRA5-U0-ASPIR-008	SIN-PROGRAMA			Costco 10-K FY2025 (SEC EDGAR); Walmex reportes trimestrales BMV 1T2025 y 3T2025
ASTRA5-U0-ASPIR-011	SIN-PROGRAMA			Heineken N.V. Full Year Results 2025
ASTRA5-U0-ASPIR-012	SIN-PROGRAMA			Liverpool 1T2026 (reporte trimestral BMV); Palacio de Hierro 1T2026 (reporte trimestral BMV)
ASTRA5-U0-ASPIR-015	SIN-PROGRAMA			Alsea reporte trimestral 2T2026 (BMV); comparables 3T2023/3T2024
ASTRA5-U0-ASPIR-017	SIN-PROGRAMA			MINISO Group Announces 2025 June Quarter and Interim Unaudited Financial Results (21-ago-2025)
ASTRA5-U0-ASPIR-019	SIN-PROGRAMA			Ikano Retail FY25 Annual Report («Our Year»)
ASTRA5-U0-ASPIR-021	SIN-PROGRAMA			Heineken N.V. Full Year Results 2025 (11-feb-2026)
ASTRA5-U0-ASPIR-022	SIN-PROGRAMA			Euromonitor, informe 'Beer in Mexico' (identificado con URL y fecha de edicion, ago-2026; ficha leida, texto completo tras muro de pago); Declaracion de Grupo Modelo (2018-2019) sobre 'premiumness' y crecimiento 38% del segmento premium: documento no identificado con URL propia en este lote (ab-inbev.com/newsroom y grupomodelo.com/es/sala-de-prensa no resolvieron).
ASTRA5-U0-ASPIR-024	SIN-PROGRAMA			Becle reporte trimestral 3T2025 (confirmado directamente); 3T2019 y 3T2022 citados por el report, no reconfirmados de forma independiente en este lote
