# tools/dominios/cola-completa/adjudicacion-v1_0.tsv -- ACTO GEN2-COLA-COMPLETA-1
# Una fila por afirmación de la cola v1.0 (SHA 34949751). Texto de decisión: los valores citados en `razon` se leyeron de resultados.json sellados; ningún número vive aquí como insumo.
id_afirmacion	dominio	programa_id	estado	calc	result_ids	veredicto	razon
ASTRA5-U0-CLASE-012	MOVILIDAD	MMSI	MEDIDO	CALC-MMSI-PISOS-2016-0001	RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-TONO-TRAMO-A-E-P;RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-TONO-TRAMO-A-E-IC-LO;RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-TONO-TRAMO-A-E-IC-HI;RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-TONO-TRAMO-A-E-N;RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-TONO-TRAMO-H-K-P;RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-TONO-TRAMO-H-K-IC-LO;RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-TONO-TRAMO-H-K-IC-HI;RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-TONO-TRAMO-H-K-N;RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-ORIGEN-AUTOADSCRITO-BLANCA-P;RESULT-MMSI-PISOS-2016-OCUPACION-DIRECTIVA-2016-ORIGEN-AUTOADSCRITO-INDIGENA-P	CONFIRMA	OCUPACION-DIRECTIVA por TONO-TRAMO (piel autorreportada, A mas oscuro...K mas claro, manual del entrevistador p.81): A-E (mas oscuro) P=0.0226 IC[0.0134,0.0329] N=1858; H-K (mas claro) P=0.0559 IC[0.0501,0.0620] N=11694 -- mayor proporcion en el tramo mas claro, orden que confirma texto_vigente. Reforzado por ORIGEN-AUTOADSCRITO: BLANCA P=0.0684 vs INDIGENA P=0.0166.
ASTRA5-U0-PAREJA-010	PAREJA	ENDISEG	MEDIDO	CALC-ENDISEG-PISOS-2021-0001	RESULT-ENDISEG-PISOS-2021-LGBT-2021-TOTAL-TODOS-P;RESULT-ENDISEG-PISOS-2021-LGBT-2021-TOTAL-TODOS-IC-LO;RESULT-ENDISEG-PISOS-2021-LGBT-2021-TOTAL-TODOS-IC-HI;RESULT-ENDISEG-PISOS-2021-LGBT-2021-TOTAL-TODOS-N;RESULT-ENDISEG-PISOS-2021-LGBT-2021-SEXO-AL-NACER-HOMBRE-P;RESULT-ENDISEG-PISOS-2021-LGBT-2021-SEXO-AL-NACER-HOMBRE-N;RESULT-ENDISEG-PISOS-2021-LGBT-2021-SEXO-AL-NACER-MUJER-P;RESULT-ENDISEG-PISOS-2021-LGBT-2021-SEXO-AL-NACER-MUJER-N	MATIZA	TOTAL LGBT P=0.05143 (5.14%) IC[0.0484,0.0543] N=44178, casa con el 5.1% del texto_vigente; por SEXO-AL-NACER mujer P=0.0567 > hombre P=0.0455, orden compatible con 2.9M mujeres/2.1M hombres. El desglose '67.5% entre 15 y 29 anos' es composicion DENTRO de la poblacion LGBT (P(edad|LGBT)); este CALC mide P(LGBT|edad) por eje (conditional inverso, nunca cruces, spec Sec3), no construye esa participacion: no verificable con este RESULT, declarado.
ASTRA5-U0-PAREJA-011	PAREJA	ENDISEG	DIFERIDO			SIN-VEREDICTO	CALC-ENDISEG-PISOS-2021-0001 mide P(LGBT=1|estrato) un eje a la vez (escolaridad, conyugal, indigena, afro, entidad); el texto_vigente describe la composicion DENTRO del subconjunto LGBT+ (P(estrato|LGBT=1): 62% vs 46.4% escolaridad, 64.9/16.7/13.9% estado conyugal, 11%/3.9% indigena/afro, concentracion por entidad en conteos absolutos) -- estadistico de conditional inverso, no construido por este CALC (spec Sec4 'un eje a la vez; nunca cruces'). Medible en principio (reponderando dentro del subconjunto LGBT) pero no medido aqui.
ASTRA5-U0-PAREJA-032	PAREJA	ENADID	MEDIDO	CALC-ENADID-COLA-2018-0001	RESULT-ENADID-COLA-2018-SEPARADA-ENTRE-UNION-LIBRE-2018-TOTAL-TODOS-P;RESULT-ENADID-COLA-2018-SEPARADA-ENTRE-UNION-LIBRE-2018-TOTAL-TODOS-IC-LO;RESULT-ENADID-COLA-2018-SEPARADA-ENTRE-UNION-LIBRE-2018-TOTAL-TODOS-IC-HI;RESULT-ENADID-COLA-2018-SEPARADA-ENTRE-UNION-LIBRE-2018-TOTAL-TODOS-N;RESULT-ENADID-COLA-2018-SEPARADA-O-DIVORCIADA-ENTRE-MATRIMONIO-2018-TOTAL-TODOS-P;RESULT-ENADID-COLA-2018-SEPARADA-O-DIVORCIADA-ENTRE-MATRIMONIO-2018-TOTAL-TODOS-IC-LO;RESULT-ENADID-COLA-2018-SEPARADA-O-DIVORCIADA-ENTRE-MATRIMONIO-2018-TOTAL-TODOS-IC-HI;RESULT-ENADID-COLA-2018-SEPARADA-O-DIVORCIADA-ENTRE-MATRIMONIO-2018-TOTAL-TODOS-N	MATIZA	SEPARADA-ENTRE-UNION-LIBRE P=0.16271 IC[0.1569,0.1686] N=29509 vs SEPARADA-O-DIVORCIADA-ENTRE-MATRIMONIO P=0.11457 IC[0.1109,0.1184] N=46674: razon = 1.42x, mismo orden (union libre mas disolucion) que el texto_vigente pero NO 3.4x -- spec declara la comparacion como ORDEN, no mismo estimando (denominador/ventana distintos); magnitud del report no se sostiene con este CALC.
ASTRA5-U0-FAM-035	GENERO	INTERCENSAL	DIFERIDO	CALC-EIC-HOGARES-2015-0001		SIN-VEREDICTO	El payload de CALC-EIC-HOGARES-2015-0001 (eic2015_nacional_csv, TR_VIVIENDA15.CSV) resulto ser SOLO Estado de Mexico (ENT=15, 470750 viviendas: ver encargo, OJO); sus TOTAL son de Edomex, no nacionales. texto_vigente afirma universo NACIONAL por sexo de jefatura -- no queda MEDIDO por este CALC. Ola no declarada en la fila (candidato Censo2020/Intercensal/ENIGH); Intercensal 2015 es la unica ola de este instrumento en corpus abierta (Censo 2020 RESERVADO).
ASTRA5-U0-MER-030	MOVILIDAD	MMSI	MEDIDO	CALC-MMSI-PISOS-2016-0001	RESULT-MMSI-PISOS-2016-EDUCACION-SUPERIOR-2016-ORIGEN-AUTOADSCRITO-INDIGENA-P;RESULT-MMSI-PISOS-2016-EDUCACION-SUPERIOR-2016-ORIGEN-AUTOADSCRITO-INDIGENA-IC-LO;RESULT-MMSI-PISOS-2016-EDUCACION-SUPERIOR-2016-ORIGEN-AUTOADSCRITO-INDIGENA-IC-HI;RESULT-MMSI-PISOS-2016-EDUCACION-SUPERIOR-2016-ORIGEN-AUTOADSCRITO-INDIGENA-N;RESULT-MMSI-PISOS-2016-EDUCACION-SUPERIOR-2016-ORIGEN-AUTOADSCRITO-MESTIZA-P;RESULT-MMSI-PISOS-2016-EDUCACION-SUPERIOR-2016-ORIGEN-AUTOADSCRITO-MESTIZA-N;RESULT-MMSI-PISOS-2016-EDUCACION-SUPERIOR-2016-ORIGEN-AUTOADSCRITO-BLANCA-P;RESULT-MMSI-PISOS-2016-EDUCACION-SUPERIOR-2016-ORIGEN-AUTOADSCRITO-BLANCA-N	CONFIRMA	EDUCACION-SUPERIOR por ORIGEN-AUTOADSCRITO: INDIGENA P=0.0853 (8.53%) IC[0.0718,0.1000] N=3723 -- casa casi exacto con el 8.5% de Oxfam/texto_vigente; MESTIZA P=0.2610 N=15266 y BLANCA P=0.2348 N=3121, promedio ponderado cercano al 25.5% 'mestizos/blancos' del report. Orden y magnitud confirman.
ASTRA5-U0-MER-031	MOVILIDAD	MMSI	NO-CONSTRUIBLE			SIN-VEREDICTO	Pregunta buscada: escalon o quintil de ingreso (para '41.7% indigenas en el escalon mas bajo vs 14.2% blancos/mestizos') y educacion superior cruzada por SEXO x TONO ('mujeres de piel oscura 50% menos probabilidad'). MMSI 2016 no trae variable de escalon/quintil de ingreso ya construida (solo Per_SitEco, percepcion cualitativa de mejora/igual/peor, otra pregunta); spec COLA-MMSI-PISOS-spec-v1_0.md Sec2 (catalogo cerrado de conductas: EDUCACION-SUPERIOR, OCUPACION-DIRECTIVA, PERCIBE-MEJORA-SOCIOECONOMICA) no incluye ingreso, y Sec4 prohibe cruces de ejes (SEXO x TONO no se construye). Secciones recorridas: spec humana Sec0,Sec2,Sec3,Sec4; FD mmsi2016_fd.xlsx (catalogo de variables via medidor).
ASTRA5-U0-MER-033	MOVILIDAD	MMSI	NO-CONSTRUIBLE			SIN-VEREDICTO	Pregunta buscada: movilidad de quintil socioeconomico de origen a destino por tono de piel. La propia spec COLA-MMSI-PISOS-spec-v1_0.md Sec0 declara: 'El modulo no trae indice ni quintil socioeconomico de origen ni de destino ya construido (solo insumos): la movilidad de quintil que cita MER-033 no se construye aqui (NC propia)'. PERCIBE-MEJORA-SOCIOECONOMICA (percepcion subjetiva mejor/igual/peor) es proxy distinto, no el indice de movilidad objetiva de quintil que afirma el report. Secciones recorridas: spec humana Sec0,Sec2,Sec3.
ASTRA5-U0-JUV-004	JUVENTUD	ENADID	DIFERIDO			SIN-VEREDICTO	CALC-ENADID-COLA-2018-0001 no construye tasa de fecundidad adolescente (sus conductas son SEPARADA-ENTRE-UNION-LIBRE, SEPARADA-O-DIVORCIADA-ENTRE-MATRIMONIO, JEFATURA-FEMENINA-CON/SIN-MIGRANTE-VARON; ninguna sobre nacimientos/TFECHISEMB). 2018 esta abierta en corpus pero sin CALC que mida esta tasa; ENADID 2023 (comparacion del texto_vigente) es la ola mas reciente del programa y queda RESERVADA (E.6): no se abre, no se cita ninguna cifra suya.
ASTRA5-U0-JUV-005	JUVENTUD	ENADID	DIFERIDO			SIN-VEREDICTO	Misma razon que JUV-004: Tasa Global de Fecundidad (2.07->1.60) no es una conducta construida por CALC-ENADID-COLA-2018-0001 ni por ningun otro CALC sellado de ENADID en este acto; ENADID 2023 (la ola del valor 1.60) es RESERVADA (E.6), no se abre.
