# canon/remapeo-shas-purga-2026-08-10.tsv
#
# Tabla old->new de TODOS los commits reescritos por PURGA-PRIVACIDAD
# (2026-08-10): filter-repo aplicado a un espejo fresco de origin para
# eliminar 1737 filas con datos personales del usuario, propagadas desde
# el censo T0 de raíces (raiz=downloads) a 7 archivos de curación.
#
# 603 commits procesados, 599 con SHA nuevo, 4 sin cambio. La inmensa
# mayoría cambia no por el contenido purgado en sí (solo 3 commits tocaban
# directamente los 7 archivos afectados) sino porque git-filter-repo
# descarta las firmas GPG al reescribir (323 de los 603 commits originales
# estaban firmados) -- una vez que cae la primera firma, cada commit
# descendiente hereda un hash nuevo por la cadena de padres, incluida la
# raíz del repo (9efa61f -> f8778be). Verificado contra el commit-map real
# de filter-repo, no asumido.
#
# Sin esta tabla, cualquier cita a un SHA anterior al 10/ago/2026 en este
# repo deja de resolver y la procedencia del proyecto se vuelve ilegible.
# Mesa decide si y cómo se actualizan las citas documentales (ver hallazgo
# aparte: 1,281 en forense/, ~25 en canon/, 1 en milpa/ -- no editadas en
# este acto).
#
sha_viejo	sha_nuevo	cambio
0076d3ce1cd18c40241791b19ebf24284d8cb7c0	91679c5278a5e51cc3811503713b95d33b23b8ac	SI
00f51ff92c0e9f155e927ad470c2256c12967ff2	a3c883f16fdc4d137e1454c5be06649d2535fdc9	SI
015af3a65ec3b62205f9931a2d1d964467b1e1e3	e535e52032799c12be3b95952d5a43be9a48c36b	SI
01f78f06bb26800e92f032c694b88c78a895ed6e	4663b96d58ea6c1f7e80b35bcb755a72487abfda	SI
01fec2bde41c372879724c0429e92db70bbcbbf3	dc84c24d41f95ec279f35733ac2359a06a7e4a77	SI
021ccdf5cab98ac80a9177da51499372967a2304	e6e16bac8ab6b753d9cbc6764f6c29c27f7d5a33	SI
0229ff7a07941b013eeedd28ef2f3e5740170b6c	7f8147b94e1eaf157d469c32ebdb803787ef1356	SI
02d20b5200ecdb59acc8c5252538bee39bb2acc6	2b54763381d021139140e247c4fcbac3f8459a2f	SI
047ebe83e819a09ed71e64acab759f5ea3b5ad32	33f22cd77ada0972dfbb83e5d2436579afabbdb4	SI
052911999595a4bd8c9917dd93af4abec32202ba	f659296dd97be3eefc6a67e0d152b7a3e3e4fed7	SI
