instrumento	conducta	nivel_geografico	geografia_codigo	ola	naturaleza_estimacion	punto	ic95_inf	ic95_sup	unidad	escala	universo	n	n_efectivo_kish	calidad	generacion	temporalidad	estado_publicacion	result_punto	result_inf	result_sup	calc	sha256_resultados	sha256_sello
ENVIPE	evade_norma_envipe2025	ENTIDAD	01	2024	IC-DE-DISEÑO	0.4458927542728433	0.40096031746738825	0.4950129753438749	delito	proporción [0,1]	delitos con BP1_20 válido	1277	707.5451854208656	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-01-P	RESULT-REGION-ENVIPE-2024-01-IC-LO	RESULT-REGION-ENVIPE-2024-01-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	02	2024	IC-DE-DISEÑO	0.5267927697628928	0.4831420693188799	0.5708360262101251	delito	proporción [0,1]	delitos con BP1_20 válido	1236	806.1951825775076	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-02-P	RESULT-REGION-ENVIPE-2024-02-IC-LO	RESULT-REGION-ENVIPE-2024-02-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	03	2024	IC-DE-DISEÑO	0.4822605618226056	0.4241391710399303	0.5455846416850788	delito	proporción [0,1]	delitos con BP1_20 válido	991	679.0222642507009	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-03-P	RESULT-REGION-ENVIPE-2024-03-IC-LO	RESULT-REGION-ENVIPE-2024-03-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	04	2024	IC-DE-DISEÑO	0.5005748735062978	0.4514364793802978	0.5480771073523337	delito	proporción [0,1]	delitos con BP1_20 válido	1036	721.0487838212915	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-04-P	RESULT-REGION-ENVIPE-2024-04-IC-LO	RESULT-REGION-ENVIPE-2024-04-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	05	2024	IC-DE-DISEÑO	0.45543739656007975	0.4087540501730092	0.5031409064420769	delito	proporción [0,1]	delitos con BP1_20 válido	1089	766.0218989579007	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-05-P	RESULT-REGION-ENVIPE-2024-05-IC-LO	RESULT-REGION-ENVIPE-2024-05-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	06	2024	IC-DE-DISEÑO	0.45169741611673947	0.4047710457823226	0.5003149409931604	delito	proporción [0,1]	delitos con BP1_20 válido	1147	636.0117482574876	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-06-P	RESULT-REGION-ENVIPE-2024-06-IC-LO	RESULT-REGION-ENVIPE-2024-06-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	07	2024	IC-DE-DISEÑO	0.4496688439078051	0.4012843654887145	0.5000811364370285	delito	proporción [0,1]	delitos con BP1_20 válido	808	570.5461225892547	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-07-P	RESULT-REGION-ENVIPE-2024-07-IC-LO	RESULT-REGION-ENVIPE-2024-07-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	08	2024	IC-DE-DISEÑO	0.5191990690251971	0.4792835366033082	0.5605974757963245	delito	proporción [0,1]	delitos con BP1_20 válido	1348	906.4293212288964	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-08-P	RESULT-REGION-ENVIPE-2024-08-IC-LO	RESULT-REGION-ENVIPE-2024-08-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	09	2024	IC-DE-DISEÑO	0.6040558419343207	0.5799380470074067	0.632062689944123	delito	proporción [0,1]	delitos con BP1_20 válido	3949	2662.1758783912614	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-09-P	RESULT-REGION-ENVIPE-2024-09-IC-LO	RESULT-REGION-ENVIPE-2024-09-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	10	2024	IC-DE-DISEÑO	0.4102612681213543	0.3537181401389688	0.462134644029083	delito	proporción [0,1]	delitos con BP1_20 válido	818	501.1168743465197	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-10-P	RESULT-REGION-ENVIPE-2024-10-IC-LO	RESULT-REGION-ENVIPE-2024-10-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	11	2024	IC-DE-DISEÑO	0.6046473788661364	0.5474328829354703	0.6544393642645802	delito	proporción [0,1]	delitos con BP1_20 válido	824	550.8380639722147	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-11-P	RESULT-REGION-ENVIPE-2024-11-IC-LO	RESULT-REGION-ENVIPE-2024-11-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	12	2024	IC-DE-DISEÑO	0.4406812667603116	0.3777142436597755	0.5010169409737792	delito	proporción [0,1]	delitos con BP1_20 válido	754	503.70894609868594	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-12-P	RESULT-REGION-ENVIPE-2024-12-IC-LO	RESULT-REGION-ENVIPE-2024-12-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	13	2024	IC-DE-DISEÑO	0.49103589786105123	0.4341360634534275	0.5441609968681653	delito	proporción [0,1]	delitos con BP1_20 válido	981	682.3163887973127	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-13-P	RESULT-REGION-ENVIPE-2024-13-IC-LO	RESULT-REGION-ENVIPE-2024-13-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	14	2024	IC-DE-DISEÑO	0.5389079584761973	0.49359284442588847	0.5820611062819412	delito	proporción [0,1]	delitos con BP1_20 válido	1184	801.4911943120898	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-14-P	RESULT-REGION-ENVIPE-2024-14-IC-LO	RESULT-REGION-ENVIPE-2024-14-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
ENVIPE	evade_norma_envipe2025	ENTIDAD	15	2024	IC-DE-DISEÑO	0.6048702280944973	0.5658504180922588	0.6405119818873183	delito	proporción [0,1]	delitos con BP1_20 válido	1862	946.9274019966415	n≥200 y varianza bootstrap estimable	GEN2	RETROSPECTIVA	PUBLICABLE	RESULT-REGION-ENVIPE-2024-15-P	RESULT-REGION-ENVIPE-2024-15-IC-LO	RESULT-REGION-ENVIPE-2024-15-IC-HI	CALC-REGION-ENVIPE-2024-0001	11ded91da5176230efa98e9f3ddad01025adc13fd22b1ab057ffc227af2f68a5	e1cddf93d6431249cbac39a22fcf3d414863a0882e405e4c5ebb970d6f694e9a
