# canon/citas-sha-obsoletas-purga-2026-08-10.tsv
#
# Citas documentales a SHAs de commit que dejaron de resolver tras
# PURGA-PRIVACIDAD (2026-08-10, ver canon/remapeo-shas-purga-2026-08-10.tsv).
# Barrido de forense/, canon/ y milpa/ buscando tokens hex (7-40 chars)
# que sean prefijo de alguno de los 599 SHAs viejos reescritos. Cero
# coincidencias ambiguas (ningún prefijo empata más de un SHA viejo).
#
# NO EDITADO en este acto -- reescribir 138 archivos forenses en el mismo
# acto que la purga mezcla dos cosas que deben poder auditarse por
# separado. Decisión de mesa: si y cómo actualizar estas citas.
#
archivo	linea	prefijo_citado	sha_viejo_completo	sha_nuevo
canon/estado-programa-v1_10.md	50	26e7ef4	26e7ef4bec9b9ec898d3b5f500613066b9635eb4	1afaea0fa8d469eb724aa47d3d9e0bf0ee00ef74
canon/estado-programa-v1_10.md	115	b28b144	b28b144dc596f708b544e891811195cd030b4424	301377ce5f5ad0cbb2a4353b308ab347ede06888
canon/estado-programa-v1_10.md	128	26e7ef4	26e7ef4bec9b9ec898d3b5f500613066b9635eb4	1afaea0fa8d469eb724aa47d3d9e0bf0ee00ef74
canon/estado-programa-v1_10.md	220	26e7ef4	26e7ef4bec9b9ec898d3b5f500613066b9635eb4	1afaea0fa8d469eb724aa47d3d9e0bf0ee00ef74
canon/estado-programa-v1_10.md	224	7d6535e	7d6535e1c6d9c5857514735a96d6a5ce12ac7c5b	55499a16e39ee3a0a334c08cc6cf32bcd1f26d1b
canon/estado-programa-v1_10.md	224	a79227e	a79227ee4d4fba6da28c492661137c0d4b93a805	602f76d80a7b0622e9d2cfae62be33104ce118d2
canon/gobernanza-v1_15.md	288	7d6535e	7d6535e1c6d9c5857514735a96d6a5ce12ac7c5b	55499a16e39ee3a0a334c08cc6cf32bcd1f26d1b
canon/gobernanza-v1_15.md	288	a79227e	a79227ee4d4fba6da28c492661137c0d4b93a805	602f76d80a7b0622e9d2cfae62be33104ce118d2
canon/gobernanza-v1_15.md	326	f320550	f3205507d85dadb0bb8752fd33e6a2e82db72180	01ffe9364652f5a9f885e8d319d744c833023fab
canon/gobernanza-v1_15.md	328	afa7c7f	afa7c7fc9388d0e0efd96b088475844ed533099c	1538abb77639ee41aa798fb68b68904b0749eca2
canon/gobernanza-v1_15.md	734	0db6d1d	0db6d1da9396003c13e51bb0dda38169c7503527	654f778a9e7254f06cf89a91d6e391f73929b6d6
canon/gobernanza-v1_15.md	734	65302f7	65302f75418d0cd5da5997a7103d2993172515f2	a459955075f4a2bfe1696ed8c040c08536deb1d9
canon/gobernanza-v1_15.md	734	8cdabcb	8cdabcb1cc137465cf409ec5993ec066aa52af27	9add715c25defa59ad5454f177478e7bbb76fb42
canon/gobernanza-v1_15.md	734	8cdabcb	8cdabcb1cc137465cf409ec5993ec066aa52af27	9add715c25defa59ad5454f177478e7bbb76fb42
canon/gobernanza-v1_15.md	734	ca883a3	ca883a365b5286e1079baacb8c95872b6d42a71e	773369be81ed725e22f1ac5ef0a5babb81486edb
canon/gobernanza-v1_15.md	734	dff4877	dff48772cdfb02d250870d2ea10967ee430078e0	b0df73f8e0d15a1e8b9e1c2c9b480616f31eb6e5
canon/gobernanza-v1_15.md	762	3f73c29	3f73c29ed9265de128dc4eda4a95436bf1546ba4	fee87318cef40914f87dc6485053b175c85b0c47
canon/gobernanza-v1_15.md	762	3f73c29	3f73c29ed9265de128dc4eda4a95436bf1546ba4	fee87318cef40914f87dc6485053b175c85b0c47
canon/gobernanza-v1_15.md	762	bd2c975	bd2c9758ef4283deabd7db5a66c8555beb15abbe	11cf73a35bf7e23dcbd4bb8026597ff60b4b65be
canon/gobernanza-v1_15.md	798	0a2f491	0a2f4911cf205deda19752286191ae078988c275	001b8ef3461526a6b1ccc252889f277ec4e253ef
canon/gobernanza-v1_15.md	798	88c7933	88c79333a2557b7cb88e1fbc0f1cd3ea1fa8c93f	6fed684034247eb3ed31b9095c93a64577eb81f0
canon/gobernanza-v1_15.md	810	08b8b6c	08b8b6c510d5114158c3ffd5b8ac6e29f17e12e1	080882b604e1a5fb4960320988b9837b66e1b3be
canon/protocolo-sesion-v1_0.md	70	015af3a	015af3a65ec3b62205f9931a2d1d964467b1e1e3	e535e52032799c12be3b95952d5a43be9a48c36b
forense/AUDITORIA-PREMISAS-SELLADOS-2026-08-07-v1_0.md	2	aa87828	aa87828c4da99f3203ddd9cd1c54c0bd6e1d06a8	4133dd5b6dc5af2dbc781f497a9f7aeefed2f027
forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	2	9fd49db	9fd49db618472ba30581ff2b8eb01332c15896ec	ec16550c462489ea17444a34086e3a557bc39e12
forense/bitacora.md	7	24df4b31434d70db0122a7ddb41ada0579a462cb	24df4b31434d70db0122a7ddb41ada0579a462cb	5a4ca66ab799b4d90eea917b6f03e362bef31446
forense/bitacora.md	7	7dd1c5a77b4a911a992d09788c1a8e79f463cd31	7dd1c5a77b4a911a992d09788c1a8e79f463cd31	c46ef18de9bf53e955eb4511e781e043a6c2553f
