area_consulta	llave	dominio	conducta	instrumento_ola	segmento	universo_denominador	unidad_escala	punto	ic95_inf	ic95_sup	naturaleza_ic	estado_adopcion	result_punto	calc	sha256_resultados	sha256_sello	reserva
Tiempo, cuidado y vínculos	RESULT-B-ENIGH-2022-P	familia	recibe_remesas	ENIGH 2022	familia.seguro.volatilidad_ausencia_estado	Hogares: el universo COMPLETO de `concentradohogar` (folioviv + foliohog) de cada ola de ENIGH Nueva Serie 2016, 2018, 2020 y 2022, SIN filtro adicional -- el mismo universo que milpa/tramite.yaml declara para familia.seguro.volatilidad_ausencia_ estado, deliberadamente, para que el punto 2022 sea comparable contra la cifra ya sellada. UNA OLA A LA VEZ, jamas agrupadas ni promediadas. Las olas 2012 y 2014 existen en corpus y quedan FUERA del universo congelado (§0.1 de la sellada).	[2022] proporcion ponderada de hogares con remesas>0, universo completo de concentradohogar [0,1]	0.04569409956405095	0.043772848428537396	0.047770249605883566	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	CONSUMO-GEN2-ACTIVO	RESULT-B-ENIGH-2022-P	CALC-B-0001	87e20e5aa2923fcc4b206734fa13ec321d3b036d61edd48eb0efd5bd369f263d	b849d164731d6b90c83316d0d8fa884b91f3fff1a4370ad2c93872e62b3788aa	Revisar identidad estimando, oferta compatible y alcance de firma.
Tiempo, cuidado y vínculos	RESULT-DFVEJEZ-A-P-NO-RECIBE	familia	no_recibe_dinero_familiares_para_vejez	ENIF 2024	familia.apoyo.recibe_dinero_familiares	FILTRO_S9_1=2 (aplica modulo vejez) y EDAD_V<71 -- 11895 personas.	complemento contado, 1-A-P-RECIBE -- releva RES-0034 (esperado 0.542293)	0.5422934330637652			SIN-IC-IDENTIFICADO	CONSUMO-GEN2-ACTIVO	RESULT-DFVEJEZ-A-P-NO-RECIBE	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	d2c89529a84bf5fd0dd14455b93f78bec1b5e20999d3ce138f303724e872158d	b9586ca8e41d042de895ad3258e119a8fedb68a35b2fa616e02ccc89ac8c381b	Revisar identidad estimando, oferta compatible y alcance de firma.
Tiempo, cuidado y vínculos	RESULT-DFVEJEZ-A-P-RECIBE	familia	recibe_dinero_familiares_para_vejez	ENIF 2024	familia.apoyo.recibe_dinero_familiares	FILTRO_S9_1=2 (aplica modulo vejez) y EDAD_V<71 -- 11895 personas.	p ponderado de recibe_dinero_familiares_para_vejez -- releva RES-0033 (esperado 0.457707)	0.4577065669362348			SIN-IC-IDENTIFICADO	CONSUMO-GEN2-ACTIVO	RESULT-DFVEJEZ-A-P-RECIBE	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1	d2c89529a84bf5fd0dd14455b93f78bec1b5e20999d3ce138f303724e872158d	b9586ca8e41d042de895ad3258e119a8fedb68a35b2fa616e02ccc89ac8c381b	Revisar identidad estimando, oferta compatible y alcance de firma.
Dinero y crédito	RESULT-DIN-LXE8-C2-P-L1xE1	dinero	L1xE1	ENIF 2024 (piso; desarrollo ENIF 2021)	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	Personas ELEGIDAS de 18 anos y mas del modulo TMODULO de ENIF, una fila por persona seleccionada. ENIF 2021 COMPLETA para C1 (el cruce localidad x edad y su n de soporte; es la ola de desarrollo). ENIF 2024 SOLO para los marginales de UN EJE (localidad, edad, nacional), que alimentan el IC de C2 por replicas compartidas y el control de reproduccion del arbitro. El cruce de 2024 es COMMIT-3.	piso log-aditivo sobre marginales SELLADOS	0.48681740146267427	0.45104930347728867	0.5188430064342969	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L1xE1	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	69ec9c6a21d259a76ae5617f2cff801e6165c351c750121125cc77e642f2d8c1	f412f9036dc43e2e0964893b28793f7a791968bc5d4217d2cbb54e1774f2c5a9	Revisar identidad estimando, oferta compatible y alcance de firma.
Dinero y crédito	RESULT-DIN-LXE8-C2-P-L1xE2	dinero	L1xE2	ENIF 2024 (piso; desarrollo ENIF 2021)	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	Personas ELEGIDAS de 18 anos y mas del modulo TMODULO de ENIF, una fila por persona seleccionada. ENIF 2021 COMPLETA para C1 (el cruce localidad x edad y su n de soporte; es la ola de desarrollo). ENIF 2024 SOLO para los marginales de UN EJE (localidad, edad, nacional), que alimentan el IC de C2 por replicas compartidas y el control de reproduccion del arbitro. El cruce de 2024 es COMMIT-3.	piso log-aditivo sobre marginales SELLADOS	0.4287127020734599	0.3979510983809327	0.4566392134530803	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L1xE2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	69ec9c6a21d259a76ae5617f2cff801e6165c351c750121125cc77e642f2d8c1	f412f9036dc43e2e0964893b28793f7a791968bc5d4217d2cbb54e1774f2c5a9	Revisar identidad estimando, oferta compatible y alcance de firma.
Dinero y crédito	RESULT-DIN-LXE8-C2-P-L1xE3	dinero	L1xE3	ENIF 2024 (piso; desarrollo ENIF 2021)	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	Personas ELEGIDAS de 18 anos y mas del modulo TMODULO de ENIF, una fila por persona seleccionada. ENIF 2021 COMPLETA para C1 (el cruce localidad x edad y su n de soporte; es la ola de desarrollo). ENIF 2024 SOLO para los marginales de UN EJE (localidad, edad, nacional), que alimentan el IC de C2 por replicas compartidas y el control de reproduccion del arbitro. El cruce de 2024 es COMMIT-3.	piso log-aditivo sobre marginales SELLADOS	0.3778239169382799	0.3494071774135876	0.4051249271322063	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L1xE3	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	69ec9c6a21d259a76ae5617f2cff801e6165c351c750121125cc77e642f2d8c1	f412f9036dc43e2e0964893b28793f7a791968bc5d4217d2cbb54e1774f2c5a9	Revisar identidad estimando, oferta compatible y alcance de firma.
Dinero y crédito	RESULT-DIN-LXE8-C2-P-L1xE4	dinero	L1xE4	ENIF 2024 (piso; desarrollo ENIF 2021)	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	Personas ELEGIDAS de 18 anos y mas del modulo TMODULO de ENIF, una fila por persona seleccionada. ENIF 2021 COMPLETA para C1 (el cruce localidad x edad y su n de soporte; es la ola de desarrollo). ENIF 2024 SOLO para los marginales de UN EJE (localidad, edad, nacional), que alimentan el IC de C2 por replicas compartidas y el control de reproduccion del arbitro. El cruce de 2024 es COMMIT-3.	piso log-aditivo sobre marginales SELLADOS	0.32363578441490926	0.29255587299953706	0.3535784125824931	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L1xE4	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	69ec9c6a21d259a76ae5617f2cff801e6165c351c750121125cc77e642f2d8c1	f412f9036dc43e2e0964893b28793f7a791968bc5d4217d2cbb54e1774f2c5a9	Revisar identidad estimando, oferta compatible y alcance de firma.
Dinero y crédito	RESULT-DIN-LXE8-C2-P-L2xE1	dinero	L2xE1	ENIF 2024 (piso; desarrollo ENIF 2021)	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	Personas ELEGIDAS de 18 anos y mas del modulo TMODULO de ENIF, una fila por persona seleccionada. ENIF 2021 COMPLETA para C1 (el cruce localidad x edad y su n de soporte; es la ola de desarrollo). ENIF 2024 SOLO para los marginales de UN EJE (localidad, edad, nacional), que alimentan el IC de C2 por replicas compartidas y el control de reproduccion del arbitro. El cruce de 2024 es COMMIT-3.	piso log-aditivo sobre marginales SELLADOS	0.4026396036368852	0.37593850265585876	0.4300071781761701	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L2xE1	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	69ec9c6a21d259a76ae5617f2cff801e6165c351c750121125cc77e642f2d8c1	f412f9036dc43e2e0964893b28793f7a791968bc5d4217d2cbb54e1774f2c5a9	Revisar identidad estimando, oferta compatible y alcance de firma.
Dinero y crédito	RESULT-DIN-LXE8-C2-P-L2xE2	dinero	L2xE2	ENIF 2024 (piso; desarrollo ENIF 2021)	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	Personas ELEGIDAS de 18 anos y mas del modulo TMODULO de ENIF, una fila por persona seleccionada. ENIF 2021 COMPLETA para C1 (el cruce localidad x edad y su n de soporte; es la ola de desarrollo). ENIF 2024 SOLO para los marginales de UN EJE (localidad, edad, nacional), que alimentan el IC de C2 por replicas compartidas y el control de reproduccion del arbitro. El cruce de 2024 es COMMIT-3.	piso log-aditivo sobre marginales SELLADOS	0.34777330586565824	0.3254030595223928	0.370706327471907	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L2xE2	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	69ec9c6a21d259a76ae5617f2cff801e6165c351c750121125cc77e642f2d8c1	f412f9036dc43e2e0964893b28793f7a791968bc5d4217d2cbb54e1774f2c5a9	Revisar identidad estimando, oferta compatible y alcance de firma.
Dinero y crédito	RESULT-DIN-LXE8-C2-P-L2xE3	dinero	L2xE3	ENIF 2024 (piso; desarrollo ENIF 2021)	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	Personas ELEGIDAS de 18 anos y mas del modulo TMODULO de ENIF, una fila por persona seleccionada. ENIF 2021 COMPLETA para C1 (el cruce localidad x edad y su n de soporte; es la ola de desarrollo). ENIF 2024 SOLO para los marginales de UN EJE (localidad, edad, nacional), que alimentan el IC de C2 por replicas compartidas y el control de reproduccion del arbitro. El cruce de 2024 es COMMIT-3.	piso log-aditivo sobre marginales SELLADOS	0.3014229609560722	0.27935861389897754	0.3249703750313211	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L2xE3	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	69ec9c6a21d259a76ae5617f2cff801e6165c351c750121125cc77e642f2d8c1	f412f9036dc43e2e0964893b28793f7a791968bc5d4217d2cbb54e1774f2c5a9	Revisar identidad estimando, oferta compatible y alcance de firma.
Dinero y crédito	RESULT-DIN-LXE8-C2-P-L2xE4	dinero	L2xE4	ENIF 2024 (piso; desarrollo ENIF 2021)	DIN.ahorro_solo_informal.enif2024.localidad_x_edad	Personas ELEGIDAS de 18 anos y mas del modulo TMODULO de ENIF, una fila por persona seleccionada. ENIF 2021 COMPLETA para C1 (el cruce localidad x edad y su n de soporte; es la ola de desarrollo). ENIF 2024 SOLO para los marginales de UN EJE (localidad, edad, nacional), que alimentan el IC de C2 por replicas compartidas y el control de reproduccion del arbitro. El cruce de 2024 es COMMIT-3.	piso log-aditivo sobre marginales SELLADOS	0.2537238822125272	0.23033864321221761	0.2781828364443396	IC-DE-SPEC-SIN-CALIBRACION-ACREDITADA	ADOPTADO-POR-FIRMA	RESULT-DIN-LXE8-C2-P-L2xE4	CALC-DIN-AHORRO-SOLO-INFORMAL-EMISIONES-0001	69ec9c6a21d259a76ae5617f2cff801e6165c351c750121125cc77e642f2d8c1	f412f9036dc43e2e0964893b28793f7a791968bc5d4217d2cbb54e1774f2c5a9	Revisar identidad estimando, oferta compatible y alcance de firma.
