necesidad_id	fuente_id_canonico	fuente_nombre	tipo_fuente	objeto_evidencia_id	id_manifiesto	sha256	capa1_universo_indexado	capa2_manifiesto	capa3_disco_real	capa4_apertura_mapeo	clasificacion_relacion	reason_code	evidencia_ref	evidencia_textual_breve	confianza	conflicto_material	nota
N2	GPS	Global Preferences Survey (GPS)	FUENTE_DATOS	OE-8a46899fd75017e0dac7eacf			SI	NO_REFERENCIADO	NO_REFERENCIADO		CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L3		MEDIA	NO	Escala/diseño/universo: 
N3	ENBIARE	ENBIARE 2021	FUENTE_DATOS	OE-39d2eb9994c3ef05c686095e	enbiare2021_fd_pdf	8a79265d8c1f761d9f3043c2d4837a9366679314b97aaebd8d189c6bcbc716a9	SI	SI	EXISTE;COINCIDE;INTEGRO	NO-ENCONTRADO	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L23	—	ALTA	NO	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 2326 lineas de texto extraidas de enbiare_2021_fd.pdf via pdftotext -layout; terminos estatus/apariencia/comparar/marca = 0; 'vecinos' 3 coincidencias, las 3 sobre pertenencia a organizacion vecinal o conocer vecinos por nombre (capital social/participacion comunitaria, Apartado G), no sobre comparacion de estatus por apariencia, 2026-08-08
N3	ENSAFI	Encuesta Nacional sobre Salud Financiera	FUENTE_CANDIDATA	OE-fb259558b58d975d64b7a5ff			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	Reactivo explícito de sensibilidad de estatus coobservado con consumo mediado por crédito.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N3	ENSAFI	Encuesta Nacional sobre Salud Financiera	FUENTE_DATOS	OE-e7969017eea0c50fe8d10a7e	ensafi2023_bd_csv_zip	c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	SI	SI	EXISTE;COINCIDE;INTEGRO	NO-ENCONTRADO	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L2	—	ALTA	NO	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 369 encabezados crudos de TSDEM/TVIVIENDA/THOGAR/TMODULO (unicas 4 tablas del zip; ENSAFI no trae diccionario en el manifiesto, confirmado: el zip solo contiene los 4 CSV, sin catalogo/layout adicional); terminos estatus/apariencia/comparar/vecinos/marca sobre encabezados via zipfile+python3, 2026-08-08
N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	Interacting as equals reduces partisan polarization in Mexico	FUENTE_DATOS	OE-02ca9729c199ce7586579636			SI	NO_REFERENCIADO	NO_REFERENCIADO	SATISFACE-UMBRAL-DOCUMENTAL	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L15	SATISFACE-UMBRAL-DOCUMENTAL	MEDIA	NO	Escala/diseño/universo: 
N3	INTERACTING_AS_EQUALS_REDUCES_PARTISAN_POLARIZATION_IN_MEXICO	Interacting as equals reduces partisan polarization in Mexico	FUENTE_DATOS	OE-e8196751ae92cecdc38e72c1			SI	NO_REFERENCIADO	NO_REFERENCIADO	SATISFACE-UMBRAL-DOCUMENTAL	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L22	SATISFACE-UMBRAL-DOCUMENTAL	MEDIA	NO	Escala/diseño/universo: 
N3	MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	Microcredit Impacts: Compartamos RCT	FUENTE_DATOS	OE-f651d8070c16835c9901c40f			SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L8	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo: 
N4	ENBIARE	ENBIARE 2021	FUENTE_DATOS	OE-39d2eb9994c3ef05c686095e	enbiare2021_fd_pdf	8a79265d8c1f761d9f3043c2d4837a9366679314b97aaebd8d189c6bcbc716a9	SI	SI	EXISTE;COINCIDE;INTEGRO	NO-ENCONTRADO	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L24	—	ALTA	NO	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); riesgo/arriesg/perdida/perder/certidumbre = 0; 'seguro' 1 coincidencia, afiliacion al Seguro Social (IMSS) -- cobertura de salud, no item de riesgo, 2026-08-08
N4	ENSAFI	Encuesta Nacional sobre Salud Financiera	FUENTE_CANDIDATA	OE-3771d1da25d6fb0ba805f95c			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N4	ENSAFI	Encuesta Nacional sobre Salud Financiera	FUENTE_DATOS	OE-7b029300001a2bf782ba2f34	ensafi2023_bd_csv_zip	c0594079ddf4733d4f574d00f5e84290c62c5330eab0567dd867c26d42fafacd	SI	SI	EXISTE;COINCIDE;INTEGRO	EXISTE-NO-SATISFACE	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	[SIN TEXTO DE REACTIVO -- ENSAFI no trae diccionario en este corpus; nombre de columna derivada, hallada por lectura manual del encabezado, no por el barrido de terminos]	ALTA	NO	Escala/diseño/universo: binaria, valores observados {1,2} en TMODULO.csv (python3+csv); dirección/sentido no verificable sin documentación; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 369 encabezados crudos, terminos riesgo/arriesg/perdida/perder/certidumbre = 0; IMPULSIVID (y GRA_CONTROL) hallados por lectura manual de las ultimas 17 columnas de TMODULO (indices derivados no P-numerados); sin documentacion complementaria en todo el repo (grep -rIl sobre *.md/*.yaml/*.txt, 0 resultados), 2026-08-08. Mismo riesgo de sobre-interpretar nombre sin pregun
