necesidad_id	fuente_id_canonico	fuente_nombre	tipo_fuente	objeto_evidencia_id	id_manifiesto	sha256	capa1_universo_indexado	capa2_manifiesto	capa3_disco_real	capa4_apertura_mapeo	clasificacion_relacion	reason_code	evidencia_ref	evidencia_textual_breve	confianza	conflicto_material	nota
N3	ENFIH	Encuesta Nacional sobre las Finanzas de los Hogares	FUENTE_CANDIDATA	OE-7419790292a051ce7ebbb5fe			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	Reactivo explícito de sensibilidad de estatus coobservado con consumo mediado por crédito.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N3	ENFIH	Encuesta Nacional sobre las Finanzas de los Hogares	FUENTE_DATOS	OE-2964c990369bf5a4d703494c	enfih2019_fd_xlsx	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	SI	SI	EXISTE;COINCIDE;INTEGRO	NO-ENCONTRADO	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L9	—	ALTA	NO	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 838 variables extraidas de las 16 hojas (TVivienda..TConcentradora) de enfih_2019_fd.xlsx via openpyxl, columnas Pregunta+Concepto+Nemonico; terminos estatus/apariencia/comparar/vecinos/marca = 0, 2026-08-08
N4	ENFIH	Encuesta Nacional sobre las Finanzas de los Hogares	FUENTE_CANDIDATA	OE-64909cd43474fe401f3cf196			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N4	ENFIH	Encuesta Nacional sobre las Finanzas de los Hogares	FUENTE_DATOS	OE-e27983370bd678a404483a92	enfih2019_fd_xlsx	326b68b342797de45a7a4eb3dbf04f3790d11035df2611d7f9153d1ae12a48e1	SI	SI	EXISTE;COINCIDE;INTEGRO	EXISTE-NO-SATISFACE	NEGATIVA	APERTURA_NEGATIVA_EXPLICITA	MAIN:data/abrir4-variables-2026-08-08.tsv:L10	'9.12 ¿Usted tiene seguro de vida?' / educativo / de auto / personal contra accidentes / de casa / de gastos medicos (6 variantes P9_12_1 a P9_12_6)	ALTA	NO	Escala/diseño/universo: binario Si/No, tenencia de producto de seguro; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 19 coincidencias de 'seguro' en 838 variables (16 hojas); riesgo/arriesg/perdida/perder/certidumbre = 0. Le falta: mide tenencia de producto de seguro (conducta/acceso financiero), no disposicion actitudinal al riesgo -- mismo defecto de categoria que el candidato ya descartado ENIF P5_23/P5_24 (ADR-52 A: mide proteccion IPAB, un moderador, no aversion), 2026-08-08
N4	ENSAFI2023_BD_CSV_ZIP	ensafi2023_bd_csv_zip	FUENTE_CANDIDATA	OE-831d392846e0f6e74f60c0b6			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:canon/integrador-psicologia-mexicano.md	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N5	ENFIH	Encuesta Nacional sobre las Finanzas de los Hogares	FUENTE_CANDIDATA	OE-ee2008967035d534126bbcb0			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md;MAIN:corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	Large-Scale Financial Education Program Impact Evaluation 2011-2012	FUENTE_DATOS	OE-0139b3dc528f6df3fe1811a0			SI	NO_REFERENCIADO	NO_REFERENCIADO	INDEXADO-NO-DESCARGADO	CANDIDATA	APERTURA_INDETERMINADA	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L5	INDEXADO-NO-DESCARGADO	MEDIA	NO	Escala/diseño/universo: 
N6	ENFIH	Encuesta Nacional sobre las Finanzas de los Hogares	FUENTE_CANDIDATA	OE-bbf838f18125cdb07027ae39			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/abrir4-variables-2026-08-08.tsv:L10;MAIN:data/mapa-ext-general-2026-08-06.tsv	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N6	ENSAFI2023_BD_CSV_ZIP	ensafi2023_bd_csv_zip	FUENTE_CANDIDATA	OE-e14567b41b8dd6d210ed240d			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/modelo-decision-v4_0.md;MAIN:data/abrir4-variables-2026-08-08.tsv;MAIN:data/mapa-ext-general-2026-08-06.tsv;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
N7	ENIF	Encuesta Nacional de Inclusión Financiera	FUENTE_CANDIDATA	OE-c168b43614acb9a4b5abf786			SI	SI_O_REFERENCIADO	SI_O_PARCIAL	SIN_APERTURA_EXPLICITA	CANDIDATA	CANDIDATA_ESTRUCTURAL_SIN_APERTURA	MAIN:canon/gobernanza-v1_15.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:data/diseno-muestral.yaml;MAIN:forense/REVERIFICACION-DEMANDA-vs-UNIVERSO-2026-08-07-v1_0.md	Relación entre expectativa de apoyo familiar y horizonte corto/ahorro en la misma persona.	BAJA	NO	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.
