necesidad_id	fuente_canonica	evidencia_id	estado_anterior	estado_propuesto	evidencia_explicita	razon	reserva_incertidumbre	requiere_decision_humana
N3	ENFIH	OE-7419790292a051ce7ebbb5fe	CANDIDATA	CANDIDATA	Reactivo explícito de sensibilidad de estatus coobservado con consumo mediado por crédito.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N3	ENFIH	OE-2964c990369bf5a4d703494c	NEGATIVA	NEGATIVA	—	Se preserva la negativa explícita y fuente-específica documentada; no se propaga a otras relaciones.	Escala/diseño/universo: —; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 838 variables extraidas de las 16 hojas (TVivienda..TConcentradora) de enfih_2019_fd.xlsx via openpyxl, columnas Pregunta+Concepto+Nemonico; terminos estatus/apariencia/comparar/vecinos/marca = 0, 2026-08-08	NO
N4	ENFIH	OE-64909cd43474fe401f3cf196	CANDIDATA	CANDIDATA	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N4	ENFIH	OE-e27983370bd678a404483a92	NEGATIVA	NEGATIVA	'9.12 ¿Usted tiene seguro de vida?' / educativo / de auto / personal contra accidentes / de casa / de gastos medicos (6 variantes P9_12_1 a P9_12_6)	Se preserva la negativa explícita y fuente-específica documentada; no se propaga a otras relaciones.	Escala/diseño/universo: binario Si/No, tenencia de producto de seguro; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 19 coincidencias de 'seguro' en 838 variables (16 hojas); riesgo/arriesg/perdida/perder/certidumbre = 0. Le falta: mide tenencia de producto de seguro (conducta/acceso financiero), no disposicion actitudinal al riesgo -- mismo defecto de categoria que el candidato ya descartado ENIF P5_23/P5_24 (ADR-52 A: mide proteccion IPAB, un moderador, no aversion), 2026-08-08	NO
N4	ENSAFI2023_BD_CSV_ZIP	OE-831d392846e0f6e74f60c0b6	CANDIDATA	CANDIDATA	Reactivo actitudinal de aversión al riesgo con desenlace propio de G2.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N5	ENFIH	OE-ee2008967035d534126bbcb0	CANDIDATA	CANDIDATA	Diseño longitudinal o experimental que observe horizonte temporal y conducta financiera con potencia útil.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N5	LARGE_SCALE_FINANCIAL_EDUCATION_PROGRAM_IMPACT_EVALUATION_2011_2	OE-0139b3dc528f6df3fe1811a0	CANDIDATA	CANDIDATA	INDEXADO-NO-DESCARGADO	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	Escala/diseño/universo: 	NO
N6	ENFIH	OE-bbf838f18125cdb07027ae39	CANDIDATA	CANDIDATA	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N6	ENSAFI2023_BD_CSV_ZIP	OE-e14567b41b8dd6d210ed240d	CANDIDATA	CANDIDATA	Reactivo de aversión al riesgo coobservado con conducta de ahorro ante volatilidad.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N7	ENIF	OE-c168b43614acb9a4b5abf786	CANDIDATA	CANDIDATA	Relación entre expectativa de apoyo familiar y horizonte corto/ahorro en la misma persona.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N8	ENVIPE	OE-5e7583b82a9bd409ff3de7f4	CANDIDATA	CANDIDATA	Exposición a violencia y respuesta de ver/oír/callar sin selección determinística por victimización.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
N9	ENVIPE	OE-d4dae09f023ab8dbde44755a	CANDIDATA	CANDIDATA	Confianza en instituciones de justicia y respuesta conductual no seleccionada por victimización.	La evidencia local conserva una hipótesis o frontera de apertura, pero no demuestra satisfacción ni negativa explícita para esta relación.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	NO
