id_celda	proposito	poblacion_M	unidad_M	evento_M	codigos_M	ponderador_M	fecha_referencia_M	disponibilidad_M	poblacion_R	unidad_R	evento_R	codigos_R	ponderador_R	fecha_referencia_R	disponibilidad_R	funcion_R	estimando_alineado	cumple_corte	R_punto_apto	R_incertidumbre	comparabilidad	fuente_criterio	causa
CIV-M-01	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	personas 18+ víctimas en U1/U4	persona	algún delito no denunciado con razón del grupo	01,02,06,08	FAC_ELE	ENVIPE 2025	después del objetivo	víctimas con delito no denunciado	delito	razón principal del delito	01,02,06; 08/09 pertenecen al cero	FAC_DEL	ENVIPE 2012	después de la predicción exigida	ARBITRO; punto de encuesta	NO	NO	SI	SEPARADA-DEL-PUNTO; EE/IC del CALC-R	NO-ACREDITADA	forense/notas/2026-09-10-GEN2-F5-APRENDIZAJES-Y-SUCESOR-diagnostico.md §2	Unidad, recorte, códigos y ola difieren; la cadena de payload distinta evita contaminación directa pero no vuelve comparables los estimandos.
CIV-M-02	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	personas 18+ víctimas en U1/U4	persona	algún delito no denunciado con razón del grupo	01,02,06,08	FAC_ELE	ENVIPE 2025	después del objetivo	víctimas con delito no denunciado	delito	razón principal del delito	01,02,06; 08/09 pertenecen al cero	FAC_DEL	ENVIPE 2013	después de la predicción exigida	ARBITRO; punto de encuesta	NO	NO	SI	SEPARADA-DEL-PUNTO; EE/IC del CALC-R	NO-ACREDITADA	forense/notas/2026-09-10-GEN2-F5-APRENDIZAJES-Y-SUCESOR-diagnostico.md §2	Unidad, recorte, códigos y ola difieren; la cadena de payload distinta evita contaminación directa pero no vuelve comparables los estimandos.
CIV-M-04	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	personas 18+ víctimas en U1/U4	persona	algún delito no denunciado con razón del grupo	01,02,06,08	FAC_ELE	ENVIPE 2025	después del objetivo	víctimas con delito no denunciado	delito	razón principal del delito	01,02,06; 08/09 pertenecen al cero	FAC_DEL	ENVIPE 2015	después de la predicción exigida	ARBITRO; punto de encuesta	NO	NO	SI	SEPARADA-DEL-PUNTO; EE/IC del CALC-R	NO-ACREDITADA	forense/notas/2026-09-10-GEN2-F5-APRENDIZAJES-Y-SUCESOR-diagnostico.md §2	Unidad, recorte, códigos y ola difieren; la cadena de payload distinta evita contaminación directa pero no vuelve comparables los estimandos.
CIV-M-10	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	personas 18+ víctimas en U1/U4	persona	algún delito no denunciado con razón del grupo	01,02,06,08	FAC_ELE	ENVIPE 2025	después del objetivo	víctimas con delito no denunciado	delito	razón principal del delito	01,02,06; 08/09 pertenecen al cero	FAC_DEL	ENVIPE 2021	después de la predicción exigida	ARBITRO; punto de encuesta	NO	NO	SI	SEPARADA-DEL-PUNTO; EE/IC del CALC-R	NO-ACREDITADA	forense/notas/2026-09-10-GEN2-F5-APRENDIZAJES-Y-SUCESOR-diagnostico.md §2	Unidad, recorte, códigos y ola difieren; la cadena de payload distinta evita contaminación directa pero no vuelve comparables los estimandos.
CIV-M-12	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	personas 18+ víctimas en U1/U4	persona	algún delito no denunciado con razón del grupo	01,02,06,08	FAC_ELE	ENVIPE 2025	después del objetivo	víctimas con delito no denunciado	delito	razón principal del delito	01,02,06; 08/09 pertenecen al cero	FAC_DEL	ENVIPE 2023	después de la predicción exigida	ARBITRO; punto de encuesta	NO	NO	SI	SEPARADA-DEL-PUNTO; EE/IC del CALC-R	NO-ACREDITADA	forense/notas/2026-09-10-GEN2-F5-APRENDIZAJES-Y-SUCESOR-diagnostico.md §2	Unidad, recorte, códigos y ola difieren; la cadena de payload distinta evita contaminación directa pero no vuelve comparables los estimandos.
CIV-M-13	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	personas 18+ víctimas en U1/U4	persona	algún delito no denunciado con razón del grupo	01,02,06,08	FAC_ELE	ENVIPE 2025	después del objetivo	víctimas con delito no denunciado	delito	razón principal del delito	01,02,06; 08/09 pertenecen al cero	FAC_DEL	ENVIPE 2024	después de la predicción exigida	ARBITRO; punto de encuesta	NO	NO	SI	SEPARADA-DEL-PUNTO; EE/IC del CALC-R	NO-ACREDITADA	forense/notas/2026-09-10-GEN2-F5-APRENDIZAJES-Y-SUCESOR-diagnostico.md §2	Unidad, recorte, códigos y ola difieren; la cadena de payload distinta evita contaminación directa pero no vuelve comparables los estimandos.
DIN-M-01	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	panel retenido con cr27 válido en olas 2-3	persona del libro 3B	tiene ahorros; cr27=Sí	cr27 válido	fac_3b	ENNViH 2005-06/2009-12	después del objetivo	personas del libro 3B con cr27 válido	persona del libro 3B	tiene ahorros; cr27=Sí	cr27 válido	fac_3b	ENNViH 2002	después de la predicción exigida	ARBITRO DESCRIPTIVO	INDETERMINADO	NO	SI	NO-ACREDITADA-PARA-INFERENCIA; conservar sólo punto descriptivo; folio no acredita UPM	INDETERMINADA	forense/prereg-duelo-v2/F5-aprendizajes-sucesor-v1_0/traza-motor.tsv; benchmark web GEN2 §3	La definición poblacional entre olas no está armonizada aquí y el diseño de varianza oficial no está disponible; el punto R no se convierte en certeza ni se omite.
FAM-M-01	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	personas ENIF con FILTRO_S9_1=2 y EDAD_V<71	persona	recibe dinero de familiares para vejez	P9_9_4=Sí	FAC_PER	ENIF 2024	después del objetivo	personas seleccionadas de módulo 2 sección 9.9	persona	recibe dinero de familiares para vejez	P9_9_4 válido	factor de expansión de ENIF 2018	ENIF 2018	después de la predicción exigida	ARBITRO; punto de encuesta	INDETERMINADO	NO	SI	SEPARADA-DEL-PUNTO; EE/IC del CALC-R	INDETERMINADA	forense/notas/2026-09-10-GEN2-F5-APRENDIZAJES-Y-SUCESOR-diagnostico.md §2	El inciso coincide, pero la elegibilidad entre versiones no está armonizada; otra ola no acredita por sí sola la misma población.
FAM-M-05	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	hogares completos ENIGH	hogar	remesas>0	remesas positiva frente a cero	factor	ENIGH 2022	después del objetivo	hogares completos ENIGH	hogar	remesas>0	remesas positiva frente a cero	factor	ENIGH 2016	después de la predicción exigida	ARBITRO; punto de encuesta	SI	NO	SI	SEPARADA-DEL-PUNTO; EE/IC del CALC-R	NO-ACREDITADA-POR-CORTE	forense/notas/2026-09-10-GEN2-F5-APRENDIZAJES-Y-SUCESOR-diagnostico.md §2	Unidad, evento y ponderación se alinean, pero M usa una ola posterior al objetivo; la cercanía numérica no corrige el corte.
FAM-M-06	REANALISIS-DIAGNOSTICO-TRANSFERENCIA	hogares completos ENIGH	hogar	remesas>0	remesas positiva frente a cero	factor	ENIGH 2022	después del objetivo	hogares completos ENIGH	hogar	remesas>0	remesas positiva frente a cero	factor	ENIGH 2018	después de la predicción exigida	ARBITRO; punto de encuesta	SI	NO	SI	SEPARADA-DEL-PUNTO; EE/IC del CALC-R	NO-ACREDITADA-POR-CORTE	forense/notas/2026-09-10-GEN2-F5-APRENDIZAJES-Y-SUCESOR-diagnostico.md §2	Unidad, evento y ponderación se alinean, pero M usa una ola posterior al objetivo; la cercanía numérica no corrige el corte.
