scope	familia_id	familia	encuesta_fuente	olas_en_manifiesto	unidad	celdas_propuestas	pregunta_transferencia	regla_M_que_emite_a_ciegas	material_existente	material_faltante	exposicion_previa	superficie_y_cita	estado	reserva_como_se_preserva	realista_para_piloto	que_falta_adquirir
RETENIDA-CANDIDATA	R01-CIV-MOCIBA-DENUNCIA	CIV	MOCIBA (Modulo sobre Ciberacoso, INEGI)	2015,2016,2017,2019,2020,2021,2022,2023,2024,2025 (48 entradas de manifiesto, 46 sin uso asignado)	persona 12+ usuaria de internet	MOCIBA 2021 y MOCIBA 2023 -- mismo bloque de diseno (bateria P13, FACTOR/EST_DIS/UPM/ESTRATO presentes en ambas; 278 y 285 variables). 2024 y 2025 se dejan SIN TOCAR como reserva confirmatoria	Entre victimas de ciberacoso, que proporcion lo puso en conocimiento de una autoridad. Es transferencia de DOMINIO de civico.denuncia (delito -> acoso digital), no de ola	civico.denuncia.miedo_desconfianza (traza-motor.tsv: calibrada en ENVIPE 2025, persona 18+ victima, no-denuncia por miedo/desconfianza). Emite una tasa de denuncia sin conocer el objetivo	BD por ola (csv/dbf/dta/sav/RData) y FD por ola, registrados en data/manifiesto.yaml con sha256; 9625 filas de inventario de reactivos con los ids de variable por ola	TEXTO del reactivo: el inventario trae ids (P1..P13) pero no la redaccion. No se ha verificado en el arbol que exista bateria de denuncia. data/raw/ esta vacio en esta sesion (payload gitignorado)	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0. Cuasi-coincidencia revisada y descartada: 'violencia digital' aparece 1 vez en corpus/reports/Elegir__Cortejar_y_Amar... pero es violencia digital DE PAREJA (celos-control, Rojas-Solis et al.), no ciberacoso ni tasa de denuncia	RETENIDA	Se lee SOLO el FD (estructura: nombre de variable, codigos, universo, ponderador), nunca la BD, hasta que la spec este congelada -- el mismo movimiento de prereg-caja-B-MARCO §0.3. 2024/2025 no se abren ni en FD hasta la fase confirmatoria	SI, condicionado a un solo paso de lectura documental	Leer el FD de MOCIBA 2021 y 2023 (YA adquiridos, en manifiesto) para confirmar la bateria de denuncia y fijar variable/universo/codificacion/ponderador. Sin ese paso la familia es RETENIDA pero no congelable
RETENIDA-CANDIDATA	R02-TRA-WBES-SOBORNO	TRA	World Bank Enterprise Survey Mexico	2006,2010,2023,2026 (13 entradas; DDI 2.5 con 357 variables y caseQnty=1322 para 2023)	establecimiento (NO persona)	WBES Mexico 2010 y WBES Mexico 2023	Incidencia de pago informal/soborno para obtener un tramite o servicio, a nivel establecimiento. Transferencia de POBLACION Y UNIDAD (persona 18+ -> empresa)	tramite.mordida.discrecional (traza-motor.tsv: calibrada en ENCIG 2025, personas 18+ con P8_3_1 valido, FAC_P18)	Microdato .dta 2023 (1322x357), DDI 2.5 XML completo y DDI PDF de 218 paginas, todos con sha256 en manifiesto y con uso declarado	Nada de acceso. Lo que falta es una DECISION: el cambio de unidad	NINGUNA en las cuatro superficies	milpa/ 0 (ni 'WBES' ni 'Enterprise Survey') · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	RETENIDA	El microdato 2023 ya esta en el arbol y NO se abre: se congela primero la spec leyendo solo el DDI (estructura). 2026 queda fuera de alcance	CONDICIONADA -- requiere firma de mesa sobre el cambio de unidad	Nada material. Requiere que mesa resuelva si un crosswalk persona->establecimiento es admisible: la regla de familia (prereg-caja-B-MARCO §1) prohibe inferir equivalencias entre instrumentos sin crosswalk resuelto y documentado ANTES. Sin esa firma no es celda
RETENIDA-NO-EJECUTABLE	R03-TRA-ENAPROCE-TRAMITES	TRA	ENAPROCE (Productividad y Competitividad de las MIPYME, INEGI)	2015,2018 (10 entradas, las 10 sin uso asignado)	empresa micro/pequena/mediana	ENAPROCE 2015 y 2018 -- NO CONSTRUIBLES hoy	Carga regulatoria y pago informal en tramites de la MIPYME	tramite.mordida.discrecional -- con el mismo cambio de unidad que R02	1319 variables inventariadas (modulos M10..M16); 2579 filas de inventario	Las entradas registradas son 'ejem_base_micro_ciega' y 'ejem_base_pyme_ciega': bases de EJEMPLO CEGADAS, no el microdato real. CERO descriptores de archivo (0 FD). CERO textos de reactivo	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	RETENIDA	No se abre nada; la familia queda en reserva mientras se gestiona el microdato real	NO	Microdato real (no la base cegada de ejemplo) y el FD de 2015 y 2018. Mas la misma firma de unidad de R02
RETENIDA-NO-EJECUTABLE	R04-DIN-ENAFIN-FINANCIAMIENTO	DIN	ENAFIN (Financiamiento de las Empresas, INEGI)	2015,2019-2021,2024	empresa	ninguna construible	Uso de financiamiento formal frente a informal en la empresa	dinero.ahorro.tiene_ahorros seria la unica cercana, y NO aplica: mide tenencia de ahorro de PERSONAS, no financiamiento de empresas	5494 filas de inventario bajo ADQ15_ENAFIN_2024_RNM_INEGI; conjunto_de_datos/tr_enafin_*_2024.csv y su diccionario	Los archivos 'tr_' y las hojas Catalogo/INDICADORES son TABULADOS de resultados, no microdato de respondente; 0 textos de reactivo	NINGUNA -- la unica coincidencia es un ejemplo en un docstring	Unico hit: milpa/src/emisor.py:1299, docstring de una funcion que normaliza nombres ('ENAFIN (Encuesta ...)' -> 'ENAFIN'). NO es calibracion, ni eleccion de regla, ni contexto de L. Adjudicado: NO es exposicion	RETENIDA	No aplica todavia: sin estimando ni consumidor no hay reserva que proteger	NO	Microdato de respondente y un estimando que alguna regla de M pueda emitir. Hoy no existe ninguno de los dos: descartarla es mas barato que adquirirla
RETENIDA-FUERA-DE-DOMINIO	R05-ENESTYC	(ninguno)	ENESTYC (Empleo, Salarios, Tecnologia y Capacitacion)	1992,1995,1999,2001,2005 (15 entradas, 15 sin uso asignado)	establecimiento manufacturero	ninguna	ninguna formulable: el instrumento no mide ninguna conducta del motor	NINGUNA de las cinco reglas de traza-motor.tsv	7894 filas de inventario, 7224 variables	0 FD, 0 textos de reactivo; ola mas reciente 2005	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	RETENIDA	No aplica: sin regla que emita no hay evaluacion posible	NO	Nada. Se declara y se descarta: retenida no es lo mismo que util
RETENIDA-SIN-MATERIAL	R06-ENJUVE	CIV/FAM	ENJUVE (Encuesta Nacional de la Juventud)	2005,2010 (5 entradas)	persona joven	ninguna construible	(quedo INDETERMINADA en FP-374; sigue indeterminada, y ahora con causa)	no evaluable sin microdato	Solo 'enjuve2010_resultados_generales_presentacion' -- agregado, NO microdato, segun su propio campo usado_para	Microdato y FD de cualquier ola; 0 filas en los tres inventarios de reactivos	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	RETENIDA	Trivialmente: no hay nada que abrir	NO	Microdato + FD. FP-374 la dejo INDETERMINADA; este acto la resuelve: retenida pero SIN MATERIAL
RETENIDA-PARCIAL	R07-TRA-ENEAC-AGS	TRA	ENEAC 2021 (tramites, Aguascalientes)	2021 (6 entradas)	microempresa, subnacional	una sola -- no hay segunda celda	Canal y evento de tramite en microempresas de Aguascalientes	tramite.mordida.con_registro, parcialmente	Codigos y etiquetas .xlsx y base .sav; ya citada en NC-0153 como candidato parcial	Una segunda ola y cobertura nacional	NINGUNA en las cuatro superficies	milpa/ 0 · corpus de L 0 · traza-motor.tsv 0 · CALC/marco/corridas-R/prereg-caja 0	RETENIDA	No se abre; queda en reserva	NO -- una ola subnacional no da dos celdas	Una segunda ola. No existe: ENEAC 2021 es unica
EXPUESTA	E01-FAM-ENGASTO	FAM	ENGASTO (Encuesta Nacional de Gastos de los Hogares)	2012,2013	(no aplica: descalificada por exposicion)	ninguna	no se formula: una familia expuesta no es retenida aunque no se haya evaluado	(no aplica)	(no aplica)	(no aplica)	SI	milpa/procedencia.yaml:1434 -- 'eder2017/engasto2012:edo_conyug (parcial, misma frase plegada)' listada como fuente ALTERNA al elegir la procedencia de un campo. Fue mirada al elegir una regla	EXPUESTA	NO SE PUEDE PRESERVAR: la exposicion ya ocurrio	NO	Nada: aunque se adquiriera mas, la exposicion ya ocurrio y no se deshace
EXPUESTA	E02-DIN-ENASEM	DIN	ENASEM (Salud y Envejecimiento en Mexico)	2018,2021,2024	(no aplica: descalificada por exposicion)	ninguna	no se formula: una familia expuesta no es retenida aunque no se haya evaluado	(no aplica)	(no aplica)	(no aplica)	SI	milpa/tramite-ola5-propuesta-v0.yaml:2465 -- 'descarto ENASEM por medir afiliacion y no percepcion': se evaluo y se descarto al elegir fuente. Ademas 1 report del corpus de L la cita	EXPUESTA	NO SE PUEDE PRESERVAR: la exposicion ya ocurrio	NO	Nada: descartar una fuente al elegir una regla es usarla
EXPUESTA	E03-CIV-ICPSR-MEXPANEL	CIV	ICPSR 35024 Mexico Panel Study 2012	2012	(no aplica: descalificada por exposicion)	ninguna	no se formula: una familia expuesta no es retenida aunque no se haya evaluado	(no aplica)	(no aplica)	(no aplica)	SI	milpa/tramite-ola5-propuesta-v0.yaml:2842-2866 -- fuente de calibracion declarada de clientelismo, con DOI, payload_manifiesto_id y codebook; data/l12-mps2012-v1_0.json. Tambien en 1 forense del corpus de L. Coincide con FP-374: 'Mexico Panel 2012 conocido durante desarrollo'	EXPUESTA	NO SE PUEDE PRESERVAR: la exposicion ya ocurrio	NO	Nada. A02 de FP-374 queda cerrada por exposicion, no por falta de acceso
EXPUESTA	E04-CIV-ENVE	CIV	ENVE (Victimizacion de Empresas)	2024 y anteriores	(no aplica: descalificada por exposicion)	ninguna	no se formula: una familia expuesta no es retenida aunque no se haya evaluado	(no aplica)	(no aplica)	(no aplica)	SI	corpus/reports/Sancion_Social_Horizontal_en_Mexico...md cita ENVE 2024 CON su cifra negra (90.3%, 96.7% en un extremo): el corpus de L conoce justamente el estimando que una celda de denuncia mediria	EXPUESTA	NO SE PUEDE PRESERVAR: la exposicion ya ocurrio	NO	Nada. Es el caso de libro: expuesta por el numero, no solo por el nombre
