id	encuesta	ola	universo	variable	estimador	ponderador	escala	cv_arbitro	n_no_ponderado	dominio	en_corpus	elegible	elegible_v1_1
CIV-M-01	ENVIPE	2012	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	BP1_23		civico	SI	SI	SI
CIV-M-02	ENVIPE	2013	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	BP1_23		civico	SI	SI	SI
CIV-M-04	ENVIPE	2015	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	BP1_23		civico	SI	SI	SI
CIV-M-10	ENVIPE	2021	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	BP1_23		civico	SI	SI	SI
CIV-M-12	ENVIPE	2023	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	BP1_23		civico	SI	SI	SI
CIV-M-13	ENVIPE	2024	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	BP1_23	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	BP1_23		civico	SI	SI	SI
DIN-M-01	ENNViH/MxFLS	2002 (ola 1)	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	cr27	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	cr27		dinero	SI	SI	SI
FAM-M-01	ENIF	2018	NO ESTIMADO EN ESTE ACTO -- censo de existencia sobre inventario de reactivos, no re-derivacion contra microdato (misma regla de columnas que MAESTRA32-E15 spec (e))	P9_9_4	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	P9_9_4		familia	SI	SI	SI
FAM-M-05	ENIGH	2016	hogares -- universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2016 Nueva Serie, sin filtro adicional. Desenlace recibe_remesas = 1 si concentradohogar.remesas > 0, 0 si = 0; la rama NA de la dicotomizacion no existe (`remesas` trae cero nulos en las 6 olas, verificado, no supuesto).	remesas	proporcion ponderada (declarado por la regla; NO estimado en este acto)	factor	binaria	remesas	70311	familia	SI	SI	SI
FAM-M-06	ENIGH	2018	hogares -- universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2018 Nueva Serie, sin filtro adicional. Desenlace recibe_remesas = 1 si concentradohogar.remesas > 0, 0 si = 0; la rama NA de la dicotomizacion no existe (`remesas` trae cero nulos en las 6 olas, verificado, no supuesto).	remesas	proporcion ponderada (declarado por la regla; NO estimado en este acto)	factor	binaria	remesas	74647	familia	SI	SI	SI
FAM-M-07	ENIGH	2020	hogares -- universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2020 Nueva Serie, sin filtro adicional. Desenlace recibe_remesas = 1 si concentradohogar.remesas > 0, 0 si = 0; la rama NA de la dicotomizacion no existe (`remesas` trae cero nulos en las 6 olas, verificado, no supuesto).	remesas	proporcion ponderada (declarado por la regla; NO estimado en este acto)	factor	binaria	remesas	89006	familia	SI	SI	SI
TRA-M-02	ENCUCI	2020	universo con contacto AP5_16_1..10, ENCUCI 2020 SEC_4_5, 21519 filas, n útil 13375/13393/13365 de 13435 con contacto	AP5_17|AP5_18	proporción ponderada	FAC_SEL	binaria	AP5_1_1/AP5_1_2/AP5_1_3		tramite	SI	SI	SI
TRA-M-03	ENCIG	2013	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	P8_3_1		tramite	SI	SI	SI
TRA-M-07	ENCIG	2021	poblacion de 18 anios y mas (supuesto por familia de instrumento, ENCIG bienal/estatal) -- universo y n exactos NO re-derivados en este acto (censo de existencia sobre inventario de reactivos, no sobre microdato)	P8_3_1	NO ESTIMADO EN ESTE ACTO	NO ESTIMADO EN ESTE ACTO	binaria	P8_3_1		tramite	SI	SI	SI
