id_celda	encuesta	ola	en_U0	en_UR	fuente_R	cadena_M_vs_R	L_punto_valido	M_punto_valido	en_U3	nota
CIV-M-01	ENVIPE	2012	SI	SI	data/corrida0/CALC-R-CIV-M-01/	NO-CONTAMINADA — M calibra de envipe2025_csv (milpa/tramite.yaml:493), R lee Tmod_Vic.DBF ENVIPE 2012; objetos distintos, no-comparabilidad declarada en milpa/tramite.yaml:488	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-02	ENVIPE	2013	SI	SI	data/corrida0/CALC-R-CIV-M-02/	NO-CONTAMINADA — mismo censo que CIV-M-01, R lee Tmod_Vic.DBF ENVIPE 2013	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-04	ENVIPE	2015	SI	SI	data/corrida0/CALC-R-CIV-M-04/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2015	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-10	ENVIPE	2021	SI	SI	data/corrida0/CALC-R-CIV-M-10/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2021	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-12	ENVIPE	2023	SI	SI	data/corrida0/CALC-R-CIV-M-12/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2023	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-13	ENVIPE	2024	SI	SI	data/corrida0/CALC-R-CIV-M-13/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2024	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
DIN-M-01	ENNViH/MxFLS	2002 (ola 1)	SI	SI	data/corrida0/CALC-R-DIN-M-01-v4/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	R nuevo sellado; PUNTO DESCRIPTIVO DISPONIBLE; EE/IC: DISENO APROXIMADO NO AUTORIZADO COMO GROUND TRUTH INFERENCIAL DE TRIADA SIN FIRMA DE MESA (FP-371 ABIERTA)
FAM-M-01	ENIF	2018	SI	SI	data/corrida0/CALC-R-FAM-M-01-v3/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	R nuevo sellado
FAM-M-05	ENIGH	2016	SI	SI	data/corrida0/CALC-R-FAM-M-05-v3/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	R nuevo sellado; comparabilidad de transferencia de M se decide fuera de este acto
FAM-M-06	ENIGH	2018	SI	SI	data/corrida0/CALC-R-FAM-M-06-v3/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	DISPONIBLE (extractor L v1.3 validado; membresia U3 se deriva en ENCARGO 5/5)	DISPONIBLE (snapshot M v1.0 sellado; membresia U3 se deriva en ENCARGO 5/5)	PENDIENTE	R nuevo sellado; comparabilidad de transferencia de M se decide fuera de este acto
