id_celda	variante	indice	valor	estado	fragmento_citado
CIV-M-01	L+corpus	1	0.3200	EXTRAIBLE	0.32
CIV-M-01	L+corpus	2	0.0700	EXTRAIBLE	6–8 %
CIV-M-01	L+corpus	3	0.2000	EXTRAIBLE	~20%
CIV-M-01	L+corpus	4	0.1650	EXTRAIBLE	15–18 %
CIV-M-01	L+corpus	5	0.3000	EXTRAIBLE	0.30
CIV-M-01	L+corpus	6	0.2100	EXTRAIBLE	≈ 21 %
CIV-M-01	L+corpus	7	0.2200	EXTRAIBLE	≈ 22 %
CIV-M-01	L+corpus	8	0.9150	EXTRAIBLE	91–92%
CIV-M-01	L-solo	1	0.2000	EXTRAIBLE	0.20
CIV-M-01	L-solo	2	0.2200	EXTRAIBLE	0.22
CIV-M-01	L-solo	3	0.2200	EXTRAIBLE	~22 %
CIV-M-01	L-solo	4	0.3000	EXTRAIBLE	0.30
CIV-M-01	L-solo	5	0.2000	EXTRAIBLE	0.20
CIV-M-01	L-solo	6	0.2800	EXTRAIBLE	0.28
CIV-M-01	L-solo	7	0.2500	EXTRAIBLE	≈ 25%
CIV-M-01	L-solo	8	0.3000	EXTRAIBLE	0.30
CIV-M-02	L+corpus	1		NO-EXTRAIBLE	
CIV-M-02	L+corpus	2	0.9000	EXTRAIBLE	0.90
CIV-M-02	L+corpus	3		NO-EXTRAIBLE	
CIV-M-02	L+corpus	4	0.8500	EXTRAIBLE	0.85
CIV-M-02	L+corpus	5		NO-EXTRAIBLE	
CIV-M-02	L+corpus	6		NO-EXTRAIBLE	
CIV-M-02	L+corpus	7		NO-EXTRAIBLE	
CIV-M-02	L+corpus	8	0.6000	EXTRAIBLE	0.6
CIV-M-02	L-solo	1	0.8500	EXTRAIBLE	0.85
CIV-M-02	L-solo	2		NO-EXTRAIBLE	
CIV-M-02	L-solo	3		NO-EXTRAIBLE	
CIV-M-02	L-solo	4		NO-EXTRAIBLE	
CIV-M-02	L-solo	5	0.8500	EXTRAIBLE	0.85
CIV-M-02	L-solo	6		NO-EXTRAIBLE	
CIV-M-02	L-solo	7		NO-EXTRAIBLE	
CIV-M-02	L-solo	8		NO-EXTRAIBLE	
CIV-M-04	L+corpus	1		NO-EXTRAIBLE	
CIV-M-04	L+corpus	2		NO-EXTRAIBLE	
CIV-M-04	L+corpus	3		NO-EXTRAIBLE	
CIV-M-04	L+corpus	4	0.9300	EXTRAIBLE	92–94%
CIV-M-04	L+corpus	5	0.9350	EXTRAIBLE	93–94%
CIV-M-04	L+corpus	6	0.6300	EXTRAIBLE	≈63%
CIV-M-04	L+corpus	7	0.9350	EXTRAIBLE	93–94%
CIV-M-04	L+corpus	8		NO-EXTRAIBLE	
CIV-M-04	L-solo	1		NO-EXTRAIBLE	
CIV-M-04	L-solo	2		NO-EXTRAIBLE	
CIV-M-04	L-solo	3		NO-EXTRAIBLE	
CIV-M-04	L-solo	4		NO-EXTRAIBLE	
CIV-M-04	L-solo	5		NO-EXTRAIBLE	
CIV-M-04	L-solo	6		NO-EXTRAIBLE	
CIV-M-04	L-solo	7		NO-EXTRAIBLE	
CIV-M-04	L-solo	8		NO-EXTRAIBLE	
CIV-M-10	L+corpus	1		NO-EXTRAIBLE	
CIV-M-10	L+corpus	2	0.7500	EXTRAIBLE	0.75
CIV-M-10	L+corpus	3		NO-EXTRAIBLE	
CIV-M-10	L+corpus	4		NO-EXTRAIBLE	
CIV-M-10	L+corpus	5	0.9300	EXTRAIBLE	~93%
CIV-M-10	L+corpus	6	0.9350	EXTRAIBLE	93–94%
CIV-M-10	L+corpus	7	0.8000	EXTRAIBLE	0.80
CIV-M-10	L+corpus	8	0.1000	EXTRAIBLE	0.10
CIV-M-10	L-solo	1	0.6000	EXTRAIBLE	0.6
CIV-M-10	L-solo	2		NO-EXTRAIBLE	
CIV-M-10	L-solo	3		NO-EXTRAIBLE	
CIV-M-10	L-solo	4	0.1500	EXTRAIBLE	14–16%
CIV-M-10	L-solo	5		NO-EXTRAIBLE	
CIV-M-10	L-solo	6		NO-EXTRAIBLE	
CIV-M-10	L-solo	7		NO-EXTRAIBLE	
CIV-M-10	L-solo	8		NO-EXTRAIBLE	
CIV-M-12	L+corpus	1	0.2000	EXTRAIBLE	≈ 20 %
CIV-M-12	L+corpus	2	0.2400	EXTRAIBLE	≈ 24 %
CIV-M-12	L+corpus	3	0.2000	EXTRAIBLE	20 %
CIV-M-12	L+corpus	4	0.3350	EXTRAIBLE	33–34 %
CIV-M-12	L+corpus	5	0.9250	EXTRAIBLE	92–93%
CIV-M-12	L+corpus	6	0.6250	EXTRAIBLE	60-65%
CIV-M-12	L+corpus	7	0.9300	EXTRAIBLE	92–94 %
CIV-M-12	L+corpus	8	0.2500	EXTRAIBLE	~25 %
CIV-M-12	L-solo	1	0.2000	EXTRAIBLE	≈ 20%
CIV-M-12	L-solo	2	0.2200	EXTRAIBLE	~22 %
CIV-M-12	L-solo	3	0.2500	EXTRAIBLE	20–30%
CIV-M-12	L-solo	4	0.2500	EXTRAIBLE	≈ 25 %
CIV-M-12	L-solo	5	0.2500	EXTRAIBLE	≈ 25 %
CIV-M-12	L-solo	6	0.1900	EXTRAIBLE	≈ 19 %
CIV-M-12	L-solo	7	0.2400	EXTRAIBLE	≈ 24 %
CIV-M-12	L-solo	8	0.2000	EXTRAIBLE	~20 %
CIV-M-13	L+corpus	1	0.2000	EXTRAIBLE	~20 %
CIV-M-13	L+corpus	2	0.6250	EXTRAIBLE	60-65%
CIV-M-13	L+corpus	3	0.2500	EXTRAIBLE	≈ 25 %
CIV-M-13	L+corpus	4	0.1200	EXTRAIBLE	≈ 12 %
CIV-M-13	L+corpus	5	0.1500	EXTRAIBLE	~15%
CIV-M-13	L+corpus	6	0.2400	EXTRAIBLE	≈ 24 %
CIV-M-13	L+corpus	7	0.6250	EXTRAIBLE	60-65%
CIV-M-13	L+corpus	8	0.1450	EXTRAIBLE	13–16%
CIV-M-13	L-solo	1	0.9300	EXTRAIBLE	93%
CIV-M-13	L-solo	2	0.6250	EXTRAIBLE	60-65%
CIV-M-13	L-solo	3	0.1750	EXTRAIBLE	15–20 %
CIV-M-13	L-solo	4		NO-EXTRAIBLE	
CIV-M-13	L-solo	5	0.2600	EXTRAIBLE	≈ 26 %
CIV-M-13	L-solo	6	0.2000	EXTRAIBLE	≈ 20 %
CIV-M-13	L-solo	7	0.2700	EXTRAIBLE	27 %
CIV-M-13	L-solo	8	0.1900	EXTRAIBLE	≈ 19 %
DIN-M-01	L+corpus	1	0.2000	EXTRAIBLE	~20 %
DIN-M-01	L+corpus	2	0.2000	EXTRAIBLE	~20 %
DIN-M-01	L+corpus	3	0.2500	EXTRAIBLE	~25%
DIN-M-01	L+corpus	4	0.8000	EXTRAIBLE	0.80
DIN-M-01	L+corpus	5	0.6500	EXTRAIBLE	0.65
DIN-M-01	L+corpus	6	0.2000	EXTRAIBLE	~20 %
DIN-M-01	L+corpus	7	0.2000	EXTRAIBLE	20 %
DIN-M-01	L+corpus	8	0.2000	EXTRAIBLE	~20%
DIN-M-01	L-solo	1	0.1500	EXTRAIBLE	~15%
DIN-M-01	L-solo	2	0.2000	EXTRAIBLE	~20 %
DIN-M-01	L-solo	3	0.2250	EXTRAIBLE	15–30%
DIN-M-01	L-solo	4	0.2000	EXTRAIBLE	~20%
DIN-M-01	L-solo	5	0.2000	EXTRAIBLE	~20 %
