id_celda	encuesta	ola	en_U0	en_UR	fuente_R	cadena_M_vs_R	L_punto_valido	M_punto_valido	en_U3	nota
CIV-M-01	ENVIPE	2012	SI	SI	data/corrida0/CALC-R-CIV-M-01/	NO-CONTAMINADA — M calibra de envipe2025_csv (milpa/tramite.yaml:493), R lee Tmod_Vic.DBF ENVIPE 2012; objetos distintos, no-comparabilidad declarada en milpa/tramite.yaml:488	PENDIENTE (extractor sellado; adjudicacion corresponde a ENCARGO 5/5)	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-02	ENVIPE	2013	SI	SI	data/corrida0/CALC-R-CIV-M-02/	NO-CONTAMINADA — mismo censo que CIV-M-01, R lee Tmod_Vic.DBF ENVIPE 2013	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-04	ENVIPE	2015	SI	SI	data/corrida0/CALC-R-CIV-M-04/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2015	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-10	ENVIPE	2021	SI	SI	data/corrida0/CALC-R-CIV-M-10/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2021	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-12	ENVIPE	2023	SI	SI	data/corrida0/CALC-R-CIV-M-12/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2023	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
CIV-M-13	ENVIPE	2024	SI	SI	data/corrida0/CALC-R-CIV-M-13/	NO-CONTAMINADA — mismo censo, R lee Tmod_Vic.DBF ENVIPE 2024	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	UR congelado por este acto; membresia U3 corresponde a ENCARGO 5/5
DIN-M-01	ENNViH/MxFLS	2002 (ola 1)	SI	SI	data/corrida0/CALC-R-DIN-M-01/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	R nuevo sellado; IC con reserva de diseño aproximado por estrato/UPM reales no publicados
FAM-M-01	ENIF	2018	SI	SI	data/corrida0/CALC-R-FAM-M-01/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	R nuevo sellado
FAM-M-05	ENIGH	2016	SI	SI	data/corrida0/CALC-R-FAM-M-05/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	R nuevo sellado; comparabilidad de transferencia de M se decide fuera de este acto
FAM-M-06	ENIGH	2018	SI	SI	data/corrida0/CALC-R-FAM-M-06/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	R nuevo sellado; comparabilidad de transferencia de M se decide fuera de este acto
FAM-M-07	ENIGH	2020	SI	SI	data/corrida0/CALC-R-FAM-M-07/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	R nuevo sellado; comparabilidad de transferencia de M se decide fuera de este acto
TRA-M-02	ENCUCI	2020	SI	SI	data/corrida0/CALC-R-TRA-M-02/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	R nuevo sellado; IC con reserva por un estrato de UPM unica
TRA-M-03	ENCIG	2013	SI	SI	data/corrida0/CALC-R-TRA-M-03/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	R nuevo sellado; IC con reserva por un estrato de UPM unica
TRA-M-07	ENCIG	2021	SI	SI	data/corrida0/CALC-R-TRA-M-07/	NO-EVALUADA-CONTRA-M — R se midio sin leer M y su CALC no declara insumos M/L/triada	PENDIENTE	PENDIENTE (snapshot ENCARGO 4/5)	PENDIENTE	R nuevo sellado
