scope	familia_id	familia	encuesta_fuente	ola	poblacion	unidad	evento	codigos	fecha_disponibilidad	fuente_diseno	acceso	celdas	consumidor_M_posible	capacidad_M	verificacion_R	clasificacion	exposicion_previa	falta_exacta
SNAPSHOT-712	S01-CIV-ENVIPE-DENUNCIA	CIV	ENVIPE	2025; referencia 2024	personas de 18+ víctimas de delito personal no denunciado	PERSONA	algún delito no denunciado con miedo/desconfianza/hostilidad	AP7_3_05..15=1; BP1_20=2; BP1_23 en 01,02,06,08; FAC_ELE	Disponible antes del snapshot 712	manifiesto + descriptor ENVIPE 2025; diseño de varianza parcial	OBTENIDO en corpus compartido	1	civico.denuncia.miedo_desconfianza	EMITE consulta GEN2 para el consumidor exacto; no crea otra celda	RESULT sellado; validación independiente NO-HECHA en snapshot	CONOCIDO-DURANTE-DESARROLLO	Regla, filtro, códigos, fuente y RESULT figuran en milpa y snapshot 712; el objetivo está materializado	Sin rol retenido; una celda; incertidumbre de diseño no aprobada para transferencia
SNAPSHOT-712	S02-CIV-ENCUCI-PROTESTA	CIV	ENCUCI	2020	personas de 15+ con agravio percibido en la colonia	PERSONA	protestó alguna vez, por dominio urbano o rural	AP7_3_5=1; AP4_3_2; DOMINIO urbano={U,C}, rural={R}; FAC_SEL	Disponible antes del desarrollo GEN2	manifiesto + FD/cuestionario ENCUCI 2020	OBTENIDO en corpus compartido	2	civico.protesta.agravio_urbano_encuci2020	EMITE las dos conductas exactas	RESULT sellados; validación independiente NO-HECHA	CONOCIDO-DURANTE-DESARROLLO	Las dos celdas se definieron, midieron y adoptaron en Gen2; la agrupación urbana se usó en el diseño	Sin rol retenido; ambas celdas son dependientes por encuesta, muestra y constructo
SNAPSHOT-712	S03-DIN-ENIF-HORIZONTE	DIN	ENIF	2024	personas de 18+ según trabajo y seguridad social	PERSONA	horizonte de ahorro corto	P4_10 en 1,2 sobre válidos 1..5; P3_13 o P3_8/P3_9 define tres poblaciones; factor de persona	Disponible antes del snapshot 712	manifiesto + FD/cuestionario/diseño ENIF 2024	OBTENIDO en corpus compartido	3	dinero.ahorro.horizonte_corto y dos reglas hermanas	EMITE los tres consumidores exactos	RESULT sellados; validación independiente NO-HECHA	CONOCIDO-DURANTE-DESARROLLO	Poblaciones, filtros, puntos y consumidores fueron escogidos y materializados por Gen2	Sin rol retenido; tres celdas comparten fuente, ola, reactivo y muestra
SNAPSHOT-712	S04-DIN-ENIF-VIAS	DIN	ENIF	2024	personas elegidas de 18+	PERSONA	ahorro por cualquier vía formal o informal	P5_1_1..6 y P5_6_1..9; factor de persona	Disponible antes del snapshot 712	manifiesto + FD/cuestionario/diseño ENIF 2024	OBTENIDO en corpus compartido	2	dinero.ahorro.via_informal	EMITE formal_cualquiera e informal_cualquiera	RESULT sellados; validación independiente NO-HECHA	CONOCIDO-DURANTE-DESARROLLO	Las dos vías, su no complementariedad y el denominador ya guiaron el contrato Gen2	Sin rol retenido; celdas coobservadas y dependientes
SNAPSHOT-712	S05-DIN-ENIF-IPAB	DIN	ENIF	2024	personas de 18+ sin cuenta a quienes se pregunta la razón principal	PERSONA	desconfianza o mal servicio, según conocimiento de protección	P5_20=03; P5_23 separa conoce/no conoce; factor de persona	Disponible antes del snapshot 712	manifiesto + FD/cuestionario/diseño ENIF 2024	OBTENIDO en corpus compartido	2	dinero.ahorro.seguro_deposito_enif2024	EMITE los dos dominios exactos	RESULT sellados; validación independiente NO-HECHA	CONOCIDO-DURANTE-DESARROLLO	La categoría conjunta, moderador y dos dominios fueron definidos y usados por Gen2	Sin rol retenido; dos dominios del mismo reactivo y muestra
SNAPSHOT-712	S06-FAM-ENIGH-REMESAS	FAM	ENIGH Nueva Serie	2022; selección operativa desde 2020 al corte 2021-12-31	hogares del universo completo de concentradohogar	HOGAR	recibe remesas	remesas>0; factor hogar	Serie 2016/2018/2020 disponible al corte operativo; objetivo 2022 conocido después	CALC-B-0001/spec; manifiesto ENIGH por ola	OBTENIDO en corpus compartido	1	familia.seguro.volatilidad_ausencia_estado	EMITE transferencia temporal operativa desde una observación previa	RESULT sellado; rol operativo, expresamente NO-EVALUACION-INDEPENDIENTE	CONOCIDO-DURANTE-DESARROLLO	La familia y la selección temporal fueron usadas para fijar regla, selector y snapshot	Sin rol retenido; una celda; la transferencia operativa no es confirmación
SNAPSHOT-712	S07-TRA-ENCIG-SOLICITUD	TRA	ENCIG	2025	personas de 18+ en ciudades de 100 mil+	PERSONA	solicitud directa de beneficio por servidor público	P8_3_1: 1 sí, 2 no, 9/faltante fuera; FAC_P18	Disponible antes del snapshot 712	manifiesto + cuestionario/estructura/diseño ENCIG 2025	OBTENIDO en corpus compartido	1	tramite.mordida.discrecional	EMITE el consumidor exacto	RESULT sellado; validación independiente NO-HECHA	CONOCIDO-DURANTE-DESARROLLO	ENCIG, P8_3_1 y la regla fueron ruta de parametrización y diseño Gen1/Gen2	Sin rol retenido; una celda; cambiar a otra ola no crea familia reservada
SNAPSHOT-712	S08-TRA-ENCIG-CANAL-P8_4	TRA	ENCIG	2025	eventos de trámite con P8_4 observado	EVENTO-DE-TRAMITE	mordida por canal presencial o digital/registrado	P8_4 en 0,1; canal derivado de P7_3; FAC_TRA	Disponible antes del snapshot 712	manifiesto + cuestionario/estructura/diseño ENCIG 2025	OBTENIDO en corpus compartido	2	tramite.mordida.con_registro	EMITE dos proxies descriptivos; no una probabilidad causal por evento	RESULT sellados; validación independiente NO-HECHA	CONOCIDO-DURANTE-DESARROLLO	Canales, no deduplicación, proxy r2 y protección por evento ya guiaron arquitectura y filtros	Sin rol retenido; las dos celdas comparten encuesta/muestra y son proxies
SNAPSHOT-712	S09-TRA-ENCIG-DIGITAL	TRA	ENCIG	2025	trámites de pago de luz con canal válido	EVENTO-DE-TRAMITE	uso de Internet/app/cajero/kiosco	N_TRA=01; P7_3 en 4,5 frente a 1,2,6; FAC_TRA	Disponible antes del snapshot 712	manifiesto + cuestionario/estructura/diseño ENCIG 2025	OBTENIDO en corpus compartido	1	tramite.gobierno_digital.util_sin_coercion	EMITE el consumidor exacto	RESULT sellado; validación independiente NO-HECHA	CONOCIDO-DURANTE-DESARROLLO	El trámite, canal y filtro exactos se escogieron y adoptaron en Gen2	Sin rol retenido; una celda; no es intercambiable con corrupción
SNAPSHOT-712	S10-TRA-ENCUCI-MORDIDA	TRA	ENCUCI	2020	personas de 15+ con contacto con servidor público	PERSONA	solicitud o entrega de mordida, unión	algún AP5_16_1..10>=1; AP5_17=1 o AP5_18=1; FAC_SEL	Disponible antes del desarrollo GEN2	manifiesto + FD/cuestionario/diseño ENCUCI 2020	OBTENIDO en corpus compartido	1	tramite.mordida.discrecional	EMITE la unión exacta	RESULT sellado; validación independiente NO-HECHA	CONOCIDO-DURANTE-DESARROLLO	La corrección solicitud/entrega/unión cambió la interpretación de la regla Gen2	Sin rol retenido; una celda; instrumento y edad difieren de ENCIG
