# forense/prereg-duelo-v2/cobertura-15-v1_0.tsv -- ACTO MAESTRA32-E11 . COBERTURA-15, COMMIT-2
# Una fila por (celda x candidato theta). Emision ciega: no lee corridas-R ni columnas de valor del marco congelado.
# Receta congelada en forense/notas/2026-08-30-cobertura-15-spec.md (COMMIT-1). Generado por script de este acto.
id_celda	encuesta	ola	variable_celda	regla	regla_existe	theta	theta_candidato_id	theta_texto	via	veredicto_candidato	razon
CIV-08	ENVIPE	2023	AP4_4_03	NO-ENCONTRADA (sin id con punto en la frase)	NO	exposicion_violencia	(nombrada literal en frase, no via G#)		DERIVACION-DOMINIO	NO-ENCONTRADO	"Dominio civico: candidatos por generador G4 (civico.protesta.agravio_urbano, civico.autodefensa.agravio_rural, modelo:556-557) no producen ""percepcion de inseguridad en la calle"" como conducta (producen protesta/autodefensa) -- ninguna regla del motor anticipa este desenlace como conducta propia. Informativo: exposicion_violencia (el parametro que la frase si nombra) esta MEDIDO-PARCIAL y su familia de codigo AP7_3_10-14 SI aparece en envipe2023 (11 variable_id: ['AP7_3_05', 'AP7_3_06', 'AP7_3_07', 'AP7_3_08', 'AP7_3_09', 'AP7_3_10', 'AP7_3_11', 'AP7_3_12', 'AP7_3_13', 'AP7_3_14', 'AP7_3_15']), aunque texto_reactivo=vacio en 2657/2657 filas del instrumento (0% cobertura de texto, A.13: negativo de texto no valido por si solo, se resuelve por codigo). Q4 variable propia: 4 filas (['envipe2023/bd_envipe_2023_csv.zip', 'envipe2023/bd_envipe_2023_dbf.zip', 'envipe2023_csv.zip', 'envipe2023_csv.zip'])."
DIN-03	ENIF	2012	P7_1	familia.seguro.volatilidad_ausencia_estado	SI (modelo-decision-v4_0.md:412,533)	familismo_apoyo	G5 (0.50)		CITADO (PORQUE G5)	CIRCULAR-EXCLUIDO	"G5.familismo_apoyo=0.50 -- precedente sellado procedencia.yaml:315-320: ""NO USAR para identificar G5.familismo_apoyo... el desenlace de G5 en ENIF es familia.seguro.volatilidad_ausencia_estado, observado con la misma bateria P9_9_1..6 -- circular"" (precedente ENIF p9_9_4 del encargo). Filas examinadas instrumento=enif2012: 604 (con texto: 253)."
DIN-03	ENIF	2012	P7_1	familia.seguro.volatilidad_ausencia_estado	SI (modelo-decision-v4_0.md:412,533)	radio_confianza	G5 (0.15)		CITADO (PORQUE G5)	EXISTE-NO-SATISFACE	G5 coef=0.15. Filas examinadas instrumento=enif2012: 604 (con texto: 253, 41.9%). Hits fuera de la propia variable P7_1: 0.
DIN-03	ENIF	2012	P7_1	familia.seguro.volatilidad_ausencia_estado	SI (modelo-decision-v4_0.md:412,533)	norma_de_genero	G5 (signo/no-monotonico (antes familismo_obligacion))		CITADO (PORQUE G5)	EXISTE-NO-SATISFACE	G5 coef=signo/no-monotonico (antes familismo_obligacion). Filas examinadas instrumento=enif2012: 604 (con texto: 253, 41.9%). Hits fuera de la propia variable P7_1: 0.
DIN-05	ENFIH	2019	P8_1_1	dinero.ahorro.informal_sin_puente	SI (modelo-decision-v4_0.md:499)	confianza_institucional[financiera]	G1a (-0.60)		CITADO (PORQUE G1, dominio financiero -> ADR-220 nombra el componente)	EXISTE-NO-SATISFACE	Filas examinadas instrumento=enfih2019: 1328 (con texto: 664, 50.0%). Hits fuera de P8_1_1: 0.
DIN-05	ENFIH	2019	P8_1_1	cooperacion.tanda.conoce_organizadora	SI (modelo-decision-v4_0.md:563)	radio_confianza	sin theta citada -- candidato derivado		"DERIVADO (PORQUE no cita G#; ""confianza personalizada"" sugiere radio_confianza, no es cita del modelo)"	EXISTE-NO-SATISFACE	"Regla existe pero modelo-decision no cita G# en su PORQUE (""confianza personalizada como sustituto de enforcement""). Filas examinadas instrumento=enfih2019: 1328 (con texto: 664). Hits: 0."
DIN-07	Encuesta de Competencias Financieras (Banxico/CNBV)	2019	SF2	dinero.planeacion.formal_estable	SI (modelo-decision-v4_0.md:406,498)	NO-IDENTIFICADA	sin cita G# en el PORQUE		SIN-CITA-G#-EXPLICITA	EXISTE-NO-SATISFACE	"PORQUE de la regla (""el ingreso estable baja el costo esperado de comprometerse"") no cita G# de %2.1-2.2 -- sin theta formal, Q3 no procede. Informativo Q4: el payload propio SI esta en el corpus (banxico_encuesta_competencias_financieras_2019.xlsx, instrumento=(sin-instrumento-derivable) -- uno de los 23 payloads que la regla de etiqueta v1.2 dejo sin resolver, FP-180), 3 filas con variable_id=SF2, metodo=INSPECT_XLSX, universo_declarado=PRESENTE_EN_DATA_RAW."
DIN-11	ENIF	2018	P5_3	NINGUNA (declarado explicito por la frase)	NO				EXPLICITO-EN-FRASE	NO-ENCONTRADO	"Frase declara literalmente: ""M no tiene ninguna regla que produzca conocimiento -- solo conducta."" Verificado contra las 7 reglas del dominio dinero (modelo-decision:497-503): ninguna produce ""conocimiento de existencia de cuentas sin comision"" como conducta -- todas producen conductas de ahorro/credito/consumo observado, no conocimiento declarativo."
SFT-04	ENASEM	2018	H16D_18	NO-ENCONTRADA (sin id con punto en la frase)	NO				DERIVACION-DOMINIO	NO-ENCONTRADO	"Dominio salud, 5 reglas revisadas (modelo-decision:498-511... 524-528: atencion.leve_sin_imss, atencion.grave, prevencion.hombre_sin_permiso, adherencia.desabasto_vs_cuidadora, consumo.sellos_precio_similar): ninguna produce ""ayuda para banarse"" (ABVD) como conducta -- las reglas de salud son sobre acceso/uso de servicios de atencion, no sobre asistencia funcional por dependencia. Derivacion de dominio agotada."
SFT-06	ENASEM	2024	F55_24	"NO-ENCONTRADA (sin id con punto en la frase; nombra alias de coeficiente ""familismo_obligacion"")"	NO				DERIVACION-DOMINIO	NO-ENCONTRADO	"Dominio familia, 3 reglas revisadas (familia.seguro.volatilidad_ausencia_estado, familia.union.baja_garantia_institucional, familia.cortejo.urbano_joven_apps) mas dominio adyacente cooperacion (4 reglas, comite/tanda/confianza/faena): ninguna produce ""hermanos acuerdan repartir el cuidado de un padre"" como conducta. Derivacion de dominio (y del dominio adyacente que la propia frase invoca) agotada."
TIC-01	ENOE	2024 1er trimestre	p3i	cooperacion.comite.monitoreo_sancion_visible	SI (modelo-decision-v4_0.md:562)	NO-IDENTIFICADA	sin cita G# en el PORQUE		SIN-CITA-G#-EXPLICITA	EXISTE-NO-SATISFACE	"Regla del dominio propio de la celda (cooperacion) existe y coincide en dominio. PORQUE (""adaptacion + institucion"") no cita G# -- sin theta formal, Q3 no procede. Filas ENOE 2024 T1 examinadas: 1277."
TIC-06	ENTI	2022	P2	NINGUNA (declarado explicito por la frase)	NO				EXPLICITO-EN-FRASE	NO-ENCONTRADO	"Frase declara literalmente: ""ninguna regla del motor distingue estacionalidad."" Verificado contra las 4 reglas del dominio trabajo (jerarquia.deferencia_iniciativa_suprimida, liderazgo.benevolencia_legitima, prestaciones.formalidad_pesa_mas_que_salario, rotacion.joven_urbano_sin_culpa): ninguna trata estacionalidad/permanencia del empleo."
TIC-08	ENDUTIH	2024	P7_15	informacion.credibilidad.allegado_confianza	SI (modelo-decision-v4_0.md:571)	radio_confianza	sin theta citada -- candidato derivado		"DERIVADO (PORQUE no cita G#; ""confianza radial fija el prior"" sugiere radio_confianza, no es cita del modelo)"	EXISTE-NO-SATISFACE	"Regla de dominio ""informacion"" citada por celda de dominio ""comunicacion"" -- consistente con la propia frase (""M lo necesita para informacion.credibilidad.allegado_confianza y no tiene regla propia""). Filas examinadas instrumento=endutih2024: 967 (con texto: 477, 49.3%). Hits fuera de P7_15: 0."
TIC-12	ENOE	2024 1er trimestre	p3n	cooperacion.confianza.puente_personal	SI (modelo-decision-v4_0.md:564)	radio_confianza	G1 (-0.35)		"CITADO explicito (modelo-decision-v4_0.md:462, enmienda 28/ago/2026: ""cooperacion.confianza.puente_personal, que corre por radio_confianza, no por confianza_institucional"")"	EXISTE-NO-SATISFACE	Filas ENOE 2024 T1 examinadas: 1277 (con texto_reactivo no vacio: 0 de 1277, 0% -- busqueda de texto censurada por el inventario, A.13). Barrido complementario de los 426 variable_id distintos de ENOE T1 (codigo, no prosa): son codigos de empleo/demografia/geografia (ej. ageb, ambito1, busqueda, cs_p12, cve_ent) -- ninguna familia de codigo reconocible como bateria de confianza/radio de confianza. Hits: 0.
EMP-02	ENAFIN	2024	razon derivada (creditos rechazados / creditos solicitados, por tamano de empresa)	dinero.credito.baja_friccion_usura_dano_downstream (informativo, no evaluada)	N/A (e)	N/A (e)	N/A (e)		EXCLUIDA-POR-UNIDAD (e)	EXISTE-NO-SATISFACE	Tratamiento (e) declarado en COMMIT-1 antes de correr: unidad de analisis = empresa, fuera del dominio del motor (personas/hogares). No se corre (a)-(c).
EMP-04	ENAFIN	2024	razon derivada (creditos aprobados / creditos solicitados, por tamano de localidad)	"NINGUNA (frase declara explicito ""ninguna regla del motor separa las dos""); informativo, no evaluada"	N/A (e)	N/A (e)	N/A (e)		EXCLUIDA-POR-UNIDAD (e)	EXISTE-NO-SATISFACE	Tratamiento (e) declarado en COMMIT-1 antes de correr: unidad de analisis = empresa, fuera del dominio del motor. No se corre (a)-(c).
EMP-05	CPV (Cuestionario Ampliado)	2020	SITUA_CONYUGAL	familia.union.baja_garantia_institucional	SI (modelo-decision-v4_0.md:535)	NO-IDENTIFICADA	sin cita G# en el PORQUE; termino generico probado sin cita formal		SIN-CITA-G#-EXPLICITA	EXISTE-NO-SATISFACE	"PORQUE de la regla (""evita costos ante baja garantia"") no cita G# -- sin theta formal del motor. Busqueda igual corrida con termino generico de confianza institucional sobre cpv2020: 204 filas (con texto: 201, 98.5%), 0 hits -- consistente con CPV siendo censo sin bateria actitudinal."
