id_manifiesto	archivo	objeto	dictamen
ine_conteos_censales_participacion_2024	ine_conteos_censales_participacion/DatosAbiertos_DECEyEC_ConteosCensales2024.zip	conteo_censal	MEDIDO:CALC-INE-PISOS-2024-0001
ine_conteos_censales_prision_preventiva_2024	ine_conteos_censales_participacion/DatosAbiertos_DECEyEC_ConteosCensales_PrisionPreventiva2024.zip	modalidad_especial	DICTAMINADO:universo_separado_no_sumar_a_cuadernillos
ine_conteos_censales_voto_anticipado_2024	ine_conteos_censales_participacion/DatosAbiertos_DECEyEC_ConteosCensales_VotoAnticipado2024.zip	modalidad_especial	DICTAMINADO:universo_separado_no_sumar_a_cuadernillos
ine_fiscalizacion_prefo2324_cam_agenda_eventos	ine_fiscalizacion_agenda_gasto_candidatura_2024/PREFO_23-24_CAM_AE_240624.csv	fiscalizacion_campana	DICTAMINADO:agenda_gasto_no_es_participacion
ine_fiscalizacion_prefo2324_cam_gasto_rubro	ine_fiscalizacion_agenda_gasto_candidatura_2024/PREFO_23-24_CAM_GxR_240624.csv	fiscalizacion_campana	DICTAMINADO:agenda_gasto_no_es_participacion
ine_prep2024_base_datos_20240603_2005_zip	20240603_2005_PREP.zip	prep_preliminar	DICTAMINADO:PREP_no_es_computo_definitivo
ine_mge_2016_edomex_acuerdo_pdf	ine_marco_geografico_electoral/CRFE_22032016_1aSO_P07_1_1.pdf	cartografia_version_2016	DICTAMINADO:llaves_geograficas_no_son_voto
ine_mge_2016_edomex_seccion_municipio_xlsx	ine_marco_geografico_electoral/CRFE_22032016_1aSO_P07_1_3.xlsx	cartografia_version_2016	DICTAMINADO:llaves_geograficas_no_son_voto
ine_mge_2016_edomex_municipios_xlsx	ine_marco_geografico_electoral/CRFE_22032016_1aSO_P07_1_4.xlsx	cartografia_version_2016	DICTAMINADO:llaves_geograficas_no_son_voto
ine_mge_2016_coahuila_acuerdo_pdf	ine_marco_geografico_electoral/CRFE_17052016_5aSE_P07_1.pdf	cartografia_version_2016	DICTAMINADO:llaves_geograficas_no_son_voto
ine_mge_2016_ocho_entidades_catalogos_7z	ine_marco_geografico_electoral/CRFE_17052016_5aSE_P07_2.zip	cartografia_version_2016	DICTAMINADO:llaves_geograficas_no_son_voto
ine_deoe_2024_pec_ubicacion_casillas_csv	electoral_local_2023_2024/ine_catalogo_casillas_2024/DEOE_2024_PEC_Ubicacion_casillas.csv	catalogo_casillas_2024	DICTAMINADO:padron_lista_nominal_no_es_marca_de_voto
ine_cg_plan_calendarios_pel2014_2015_acuerdo_pdf	electoral_calendario_pel_ine/pel2014-2015_CGor201412-18_ap13.pdf	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_plan_calendarios_pel2014_2015_acuerdo_txt	electoral_calendario_pel_ine/pel2014-2015_CGor201412-18_ap13.pdf.txt	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_pel2015_extraordinarias_acuerdo_txt	electoral_calendario_pel_ine/pel2015b_CGex201510-14_ap4.pdf.txt	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_plan_calendario_pel2015_2016_acuerdo_pdf	electoral_calendario_pel_ine/pel2015-2016_CGex1_201512-16_ap25.pdf	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_plan_calendario_pel2015_2016_acuerdo_txt	electoral_calendario_pel_ine/pel2015-2016_CGex1_201512-16_ap25.pdf.txt	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendario_pel2016_2017_anexo1_pdf	electoral_calendario_pel_ine/pel2016-2017_CGex201609-7-ap-9-a1.pdf	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendario_pel2016_2017_anexo1_txt	electoral_calendario_pel_ine/pel2016-2017_CGex201609-7-ap-9-a1.pdf.txt	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendario_pel2016_2017_extraord_a1_xlsx	electoral_calendario_pel_ine/pel2016-2017_CGex201610-14-ap-17-a1.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendario_pel2016_2017_extraord_a2_xlsx	electoral_calendario_pel_ine/pel2016-2017_CGex201610-14-ap-17-a2.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2017_2018_anexo2_xlsx	electoral_calendario_pel_ine/pel2017-2018.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendario_pel2017_2018_sanblas_xlsx	electoral_calendario_pel_ine/pel2017-2018_CGex201710-20-ap-9-2.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendario_pel2018_veracruz_ext_xlsx	electoral_calendario_pel_ine/pel2018ext_CGex201801-10-ap-3-a2.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2018_2019_ags_xlsx	electoral_calendario_pel_ine/pel2018-2019ord_CGex201808-6-ap-6-a1.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2018_2019_bc_xlsx	electoral_calendario_pel_ine/pel2018-2019ord_CGex201808-6-ap-6-a2.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2018_2019_dgo_xlsx	electoral_calendario_pel_ine/pel2018-2019ord_CGex201808-6-ap-6-a3.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2018_2019_qroo_xlsx	electoral_calendario_pel_ine/pel2018-2019ord_CGex201808-6-ap-6-a4.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2018_2019_tamps_xlsx	electoral_calendario_pel_ine/pel2018-2019ord_CGex201808-6-ap-6-a5.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2018_2019_acuerdo_txt	electoral_calendario_pel_ine/pel2018-2019ord_CGex201808-6-ap-6.pdf.txt	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendario_pel2019_puebla_ext_xlsx	electoral_calendario_pel_ine/pel2018-2019.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2019_2020_a1_xlsx	electoral_calendario_pel_ine/pel2019-2020_CGex201909-30-ap-1-a1.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2019_2020_a2_xlsx	electoral_calendario_pel_ine/pel2019-2020_CGex201909-30-ap-1-a2.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2019_2020_a3_xlsx	electoral_calendario_pel_ine/pel2019-2020_CGex201909-30-ap-1-a3.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2020_2021_a1_xlsm	electoral_calendario_pel_ine/pel2020-2021_CGex202008-07-ap-2-a1.xlsm	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2020_2021_a2_xlsm	electoral_calendario_pel_ine/pel2020-2021_CGex202008-07-ap-2-a2.xlsm	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2021_2022_a1_xlsx	electoral_calendario_pel_ine/pel2021-2022.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2021_2022_sep_xlsx	electoral_calendario_pel_ine/pel2021-2022b.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendario_pel2021_2022_oct_pdf	electoral_calendario_pel_ine/pel2021-2022c.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2022_2023_anexoC_xlsx	electoral_calendario_pel_ine/pel2022-2023.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
ine_cg_calendarios_pel2023_2024_anexo2_xlsx	electoral_calendario_pel_ine/pel2023-2024.xlsx	calendario_o_acuerdo	DICTAMINADO:fecha_de_eleccion_no_es_participacion
