calc	conducta	dominio	ola	eje	categoria	p	ic_lo	ic_hi	icc_lo	icc_hi	n	result_id_p
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2004	EDAD	18-29	0.314516	0.265845	0.366058			496	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2004-EDAD-18-29-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2006	EDAD	18-29	0.190476	0.156647	0.227113			546	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2006-EDAD-18-29-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2004	EDAD	30-44	0.269531	0.226894	0.317127			512	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2004-EDAD-30-44-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2006	EDAD	30-44	0.184061	0.151008	0.218924			527	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2006-EDAD-30-44-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2004	EDAD	45-59	0.238227	0.190473	0.287679			361	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2004-EDAD-45-59-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2006	EDAD	45-59	0.118211	0.084466	0.154346			313	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2006-EDAD-45-59-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2004	EDAD	60-MAS	0.312883	0.226988	0.398696			163	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2004-EDAD-60-MAS-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2006	EDAD	60-MAS	0.173913	0.112782	0.242461			138	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2006-EDAD-60-MAS-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2004	ESCOLARIDAD	HASTA-PRIMARIA	0.277597	0.229686	0.331183			616	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2004-ESCOLARIDAD-HASTA-PRIMARIA-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2006	ESCOLARIDAD	HASTA-PRIMARIA	0.183929	0.147001	0.223685			560	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2006-ESCOLARIDAD-HASTA-PRIMARIA-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2004	ESCOLARIDAD	MEDIA-SUPERIOR	0.292517	0.229443	0.357143			294	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2004-ESCOLARIDAD-MEDIA-SUPERIOR-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2006	ESCOLARIDAD	MEDIA-SUPERIOR	0.152493	0.115986	0.192423			341	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2006-ESCOLARIDAD-MEDIA-SUPERIOR-P
CALC-LAPOP-PISOS-CAPITAL-SOCIAL-0001	APRUEBA-JUSTICIA-PROPIA-MANO	AUTORIDAD	2004	ESCOLARIDAD	SECUNDARIA	0.313397	0.260760	0.371430			418	RESULT-LAPOP-PISOS-CS-APRUEBA-JUSTICIA-PROPIA-MANO-2004-ESCOLARIDAD-SECUNDARIA-P
