sexo,edad,categoria,n_expuesto,masa_expuesto,n_status_valido,masa_status_valido,n_desconocido,masa_desconocido,n_fuera_denominador,masa_fuera_denominador,n_denominador,masa_denominador,n_numerador,masa_numerador,punto,ee,ic95_lo,ic95_hi,gl,precision_estado
hombre,15_17,union_libre,9593,3482547.000000000000,9593,3482547.000000000000,0,0.000000000000,0,0.000000000000,9593,3482547.000000000000,142,51351.000000000000,0.014745242491,0.001643897382,0.011846820822,0.018339625783,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
hombre,15_17,separada_union_libre,9593,3482547.000000000000,9593,3482547.000000000000,0,0.000000000000,0,0.000000000000,9593,3482547.000000000000,10,2727.000000000000,0.000783047580,0.000313542620,0.000357145671,0.001715972464,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
hombre,15_17,separada_matrimonio,9593,3482547.000000000000,9593,3482547.000000000000,0,0.000000000000,0,0.000000000000,9593,3482547.000000000000,0,0.000000000000,0.000000000000,0.000000000000,,,14555,NO-DISPONIBLE:FRONTERA-LOGIT
hombre,15_17,divorciada,9593,3482547.000000000000,9593,3482547.000000000000,0,0.000000000000,0,0.000000000000,9593,3482547.000000000000,0,0.000000000000,0.000000000000,0.000000000000,,,14555,NO-DISPONIBLE:FRONTERA-LOGIT
hombre,15_17,viuda,9593,3482547.000000000000,9593,3482547.000000000000,0,0.000000000000,0,0.000000000000,9593,3482547.000000000000,0,0.000000000000,0.000000000000,0.000000000000,,,14555,NO-DISPONIBLE:FRONTERA-LOGIT
hombre,15_17,casada,9593,3482547.000000000000,9593,3482547.000000000000,0,0.000000000000,0,0.000000000000,9593,3482547.000000000000,16,6630.000000000000,0.001903779044,0.000631464189,0.000993380269,0.003645482288,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
hombre,15_17,soltera,9593,3482547.000000000000,9593,3482547.000000000000,0,0.000000000000,0,0.000000000000,9593,3482547.000000000000,9425,3421839.000000000000,0.982567930885,0.001784339614,0.978702969056,0.985741702201,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
hombre,18_29,union_libre,32667,11807378.000000000000,32667,11807378.000000000000,0,0.000000000000,0,0.000000000000,32667,11807378.000000000000,6556,2359438.000000000000,0.199827429934,0.003262566821,0.193509081051,0.206299309893,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
hombre,18_29,separada_union_libre,32667,11807378.000000000000,32667,11807378.000000000000,0,0.000000000000,0,0.000000000000,32667,11807378.000000000000,782,275463.000000000000,0.023329735018,0.001096615951,0.021274185690,0.025578704513,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
hombre,18_29,separada_matrimonio,32667,11807378.000000000000,32667,11807378.000000000000,0,0.000000000000,0,0.000000000000,32667,11807378.000000000000,140,55710.000000000000,0.004718236343,0.000561012353,0.003736879082,0.005955771223,14555,DISPONIBLE:RAO-WU-COMPARTIDO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
