resultado_id	consumidor	tipo_uso	corrida_natural	valor_legacy	estado_relevo	razon_relevo	calc_observado	result_observado	causa_principal	subcausa	grupo_dependencia	disponibilidad_acreditada	siguiente_accion	compuerta	paquete_propuesto	evidencia
RES-0001	milpa/tramite.yaml:tramite.mordida.discrecional:paga_mordida	conducta_p_asignado	CORR-0001	0.62	SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1		DECISION-O-ESTIMANDO-PENDIENTE	FAMILIA-A-FUERA-DE-COBERTURA-DEL-CALC	ENCIG2023-CORRESPONDENCIA	payload y CALC existen, pero la spec v1.1 declara que no mide familia A	decidir conservar estos priors o encargar una medición propia; no reutilizar resultados de familia B	DECISION-REQUERIDA	P01-ENCIG2023-CORRESPONDENCIA	CALC-ENCIG-2023-0001-v1_1/spec.yaml demanda_que_releva
RES-0002	milpa/tramite.yaml:tramite.mordida.discrecional:tramite_normal	conducta_p_asignado	CORR-0001	0.38	SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1		DECISION-O-ESTIMANDO-PENDIENTE	FAMILIA-A-FUERA-DE-COBERTURA-DEL-CALC	ENCIG2023-CORRESPONDENCIA	payload y CALC existen, pero la spec v1.1 declara que no mide familia A	decidir conservar estos priors o encargar una medición propia; no reutilizar resultados de familia B	DECISION-REQUERIDA	P01-ENCIG2023-CORRESPONDENCIA	CALC-ENCIG-2023-0001-v1_1/spec.yaml demanda_que_releva
RES-0007	milpa/tramite.yaml:tramite.mordida.con_registro:tramite_normal	conducta_p_asignado	CORR-0001	0.88	SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1		DECISION-O-ESTIMANDO-PENDIENTE	CANAL-VS-PARAMETRO-SIN-CANAL	ENCIG2023-CORRESPONDENCIA	payload ENCIG 2023 y CALC sellada v1_1; F-8 acepta CON-RESERVA, pero no fija RESULT por slot	elegir conservar el prior, crear consumidores por canal o especificar un estimando agregado; después declarar enlaces exactos	DECISION-REQUERIDA	P01-ENCIG2023-CORRESPONDENCIA	CALC-ENCIG-2023-0001-v1_1/spec.yaml; NC-0222; F-8
RES-0008	milpa/tramite.yaml:tramite.mordida.con_registro:paga_mordida	conducta_p_asignado	CORR-0001	0.12	SIN-CANDIDATO	CORR-CON-CALC-SIN-RESULT-FIJADO:CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1	CALC-ENCIG-2023-0001;CALC-ENCIG-2023-0001-v1_1		DECISION-O-ESTIMANDO-PENDIENTE	CANAL-VS-PARAMETRO-SIN-CANAL	ENCIG2023-CORRESPONDENCIA	payload ENCIG 2023 y CALC sellada v1_1; F-8 acepta CON-RESERVA, pero no fija RESULT por slot	elegir conservar el prior, crear consumidores por canal o especificar un estimando agregado; después declarar enlaces exactos	DECISION-REQUERIDA	P01-ENCIG2023-CORRESPONDENCIA	CALC-ENCIG-2023-0001-v1_1/spec.yaml; NC-0222; F-8
RES-0017	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:rechaza_servicio	conducta_p_asignado	CORR-0004	0.91	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	MEDICION-DEMANDA-3-CORR-0004	MEDICION-DEMANDA-3	F-9 conserva ASIGNADO como prior SIN-MEDIDO; spec/corrida corta reservada	no duplicar; esperar el acto reservado	ESPERA-MERGE	NINGUNO	enmienda de alcance SPECS-DEMANDA-1; FIRMAS-MESA-2 F-9
RES-0018	milpa/tramite.yaml:tramite.gobierno_digital.coercitivo:adopta	conducta_p_asignado	CORR-0004	0.09	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	MEDICION-DEMANDA-3-CORR-0004	MEDICION-DEMANDA-3	F-9 conserva ASIGNADO como prior SIN-MEDIDO; spec/corrida corta reservada	no duplicar; esperar el acto reservado	ESPERA-MERGE	NINGUNO	enmienda de alcance SPECS-DEMANDA-1; FIRMAS-MESA-2 F-9
RES-0019	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:adopta	conducta_p_asignado	CORR-0005	0.71	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	RETIRADO-POR-PRECEDENCIA-DEL-MEDIDO	DECISION-D2A-CONSUMIDA	existe MEDIDO de la misma regla y la firma D2(a) retira el ASIGNADO	ninguna medición; reconciliar la vista sólo en su escritor canónico	YA-DECIDIDO	NINGUNO	mapa-demanda-19-corr-v1_0.tsv; FIRMAS-MESA-1 OBJETO 3
RES-0020	milpa/tramite.yaml:tramite.gobierno_digital.util_sin_coercion:rechaza_servicio	conducta_p_asignado	CORR-0005	0.29	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	RETIRADO-POR-PRECEDENCIA-DEL-MEDIDO	DECISION-D2A-CONSUMIDA	existe MEDIDO de la misma regla y la firma D2(a) retira el ASIGNADO	ninguna medición; reconciliar la vista sólo en su escritor canónico	YA-DECIDIDO	NINGUNO	mapa-demanda-19-corr-v1_0.tsv; FIRMAS-MESA-1 OBJETO 3
RES-0023	milpa/tramite.yaml:tramite.evasion_norma:evade_norma	conducta_p_asignado	CORR-0006	0.66	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	RETIRADO-POR-PRECEDENCIA-DEL-MEDIDO	DECISION-D2A-CONSUMIDA	existe MEDIDO de la misma regla y la firma D2(a) retira el ASIGNADO	ninguna medición; reconciliar la vista sólo en su escritor canónico	YA-DECIDIDO	NINGUNO	mapa-demanda-19-corr-v1_0.tsv; FIRMAS-MESA-1 OBJETO 3
RES-0024	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma	conducta_p_asignado	CORR-0006	0.34	SIN-CANDIDATO	CORR-SIN-CALC-DECLARADA			RESERVADO-O-YA-ENCARGADO	RETIRADO-POR-PRECEDENCIA-DEL-MEDIDO	DECISION-D2A-CONSUMIDA	existe MEDIDO de la misma regla y la firma D2(a) retira el ASIGNADO	ninguna medición; reconciliar la vista sólo en su escritor canónico	YA-DECIDIDO	NINGUNO	mapa-demanda-19-corr-v1_0.tsv; FIRMAS-MESA-1 OBJETO 3
