par	dimension	grupo	n_inicial_valido	n_par_valido	retencion	n_perdida	componente	n_componente
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	15-29	7669	5297	0.6907028295736081	2372	FUERA-HOGAR-SIN-LIBRO-IIIB	580
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	15-29	7669	5297	0.6907028295736081	2372	MUERTE	24
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	15-29	7669	5297	0.6907028295736081	2372	NO-RESPUESTA-ITEM	68
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	15-29	7669	5297	0.6907028295736081	2372	RESPUESTA-VALIDA	5297
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	15-29	7669	5297	0.6907028295736081	2372	SIN-REGISTRO-SEGUIMIENTO	673
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	15-29	7669	5297	0.6907028295736081	2372	SIN-RESPUESTA-LIBRO-IIIB	1027
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	30-49	7336	5796	0.7900763358778626	1540	FUERA-HOGAR-SIN-LIBRO-IIIB	167
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	30-49	7336	5796	0.7900763358778626	1540	MUERTE	47
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	30-49	7336	5796	0.7900763358778626	1540	NO-RESPUESTA-ITEM	29
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	30-49	7336	5796	0.7900763358778626	1540	RESPUESTA-VALIDA	5796
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	30-49	7336	5796	0.7900763358778626	1540	SIN-REGISTRO-SEGUIMIENTO	600
ENNVIH-1-2002_A_ENNVIH-2-2005-06	edad_inicial	30-49	7336	5796	0.7900763358778626	1540	SIN-RESPUESTA-LIBRO-IIIB	697
