id	raiz	archivo	tamano_bytes	clase_P4	motivo	url_origen
encig23_base_datos_csv	data_raw	encig23_base_datos_csv.zip	38309647	URL-NO-DESCARGABLE	la ruta no termina en extensión de archivo (catálogo o buscador): /programas/encig/2023/	https://www.inegi.org.mx/programas/encig/2023/#microdatos
encig23_estructura_base_datos_pdf	data_raw	encig23_estructura_base_datos.pdf	3100802	DESCARGABLE	la ruta termina en extensión de archivo (.pdf)	https://www.inegi.org.mx/contenidos/programas/encig/2023/doc/encig23_estructura_base_datos.pdf
encig23_cuestionario_pdf	data_raw	encig23_cuestionario.pdf	2015393	DESCARGABLE	la ruta termina en extensión de archivo (.pdf)	https://www.inegi.org.mx/contenidos/programas/encig/2023/doc/encig23_cuestionario.pdf
encig2015_csv	data_raw	encig2015_csv.zip	13152080	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/encig/2015/datosabiertos/encig_2015_csv.zip
encig2017_csv	data_raw	encig2017_csv.zip	35027186	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/encig/2017/datosabiertos/encig2017_csv.zip
encig2019_csv	data_raw	encig2019_csv.zip	32632044	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/encig/2019/datosabiertos/encig2019_csv.zip
encig2021_csv	data_raw	encig2021_csv.zip	27752363	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/encig/2021/datosabiertos/encig2021_csv.zip
encig2023_datosabiertos_csv	data_raw	encig2023_datosabiertos_csv.zip	26171769	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/encig/2023/datosabiertos/encig2023_csv.zip
enif2018_csv	data_raw	enif2018_csv.zip	4450312	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/enif/2018/datosabiertos/conjunto_de_datos_enif_2018_csv.zip
enif2021_csv	data_raw	enif2021_csv.zip	2511357	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/enif/2021/datosabiertos/conjunto_de_datos_enif_2021_csv.zip
enif2024_csv	data_raw	enif2024_csv.zip	3086077	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/enif/2024/datosabiertos/conjunto_de_datos_enif_2024_csv.zip
envipe2018_csv	data_raw	envipe2018_csv.zip	24337809	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/envipe/2018/datosabiertos/conjunto_de_datos_envipe2018_csv.zip
envipe2019_csv	data_raw	envipe2019_csv.zip	19146940	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/envipe/2019/datosabiertos/conjunto_de_datos_envipe2019_csv.zip
envipe2020_csv	data_raw	envipe2020_csv.zip	20253728	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/envipe/2020/datosabiertos/conjunto_de_datos_envipe2020_csv.zip
envipe2021_csv	data_raw	envipe2021_csv.zip	22334244	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/envipe/2021/datosabiertos/conjunto_de_datos_ENVIPE_2021_csv.zip
envipe2022_csv	data_raw	envipe2022_csv.zip	18858955	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/envipe/2022/datosabiertos/conjunto_de_datos_ENVIPE_2022_csv.zip
envipe2023_csv	data_raw	envipe2023_csv.zip	17728995	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/envipe/2023/datosabiertos/conjunto_de_datos_ENVIPE_2023_csv.zip
envipe2024_csv	data_raw	envipe2024_csv.zip	17837779	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/envipe/2024/datosabiertos/conjunto_de_datos_ENVIPE_2024_csv.zip
envipe2025_csv	data_raw	envipe2025_csv.zip	17600019	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/envipe/2025/datosabiertos/conjunto_de_datos_ENVIPE_2025_csv.zip
enigh2012_nc_csv	data_raw	enigh2012_nc_csv.zip	25396190	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/enigh/nc/2012/datosabiertos/enigh_ncv_2012_csv.zip
enigh2014_nc_csv	data_raw	enigh2014_nc_csv.zip	39555490	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/enigh/nc/2014/datosabiertos/enigh_ncv_2014_csv.zip
enigh2016_nc_csv	data_raw	enigh2016_nc_csv.zip	40991826	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/enigh/nc/2016/datosabiertos/conjunto_de_datos_enigh2016_nueva_serie_csv.zip
enigh2018_nc_csv	data_raw	enigh2018_nc_csv.zip	43339807	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/enigh/nc/2018/datosabiertos/conjunto_de_datos_enigh_2018_ns_csv.zip
enigh2020_nc_csv	data_raw	enigh2020_nc_csv.zip	93711908	DESCARGABLE	la ruta termina en extensión de archivo (.zip)	https://www.inegi.org.mx/contenidos/programas/enigh/nc/2020/datosabiertos/conjunto_de_datos_enigh_ns_2020_csv.zip
