cell_id	input_id	outcome	source_instrument	source_edition	source_reference_period	target_instrument	target_edition	target_reference_period	unit	axis	category	status	reason	consumer	metadata_source	metadata_source_sha256
RESULT-PISOS-ENVIPE2024-V2-EVASION-SEXO-1-P	sexo::1	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	sexo	1	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-SEXO-2-P	sexo::2	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	sexo	2	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-18-29-P	edad::18-29	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	edad	18-29	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-30-44-P	edad::30-44	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	edad	30-44	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-45-59-P	edad::45-59	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	edad	45-59	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-EDAD-60-MAS-P	edad::60+	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	edad	60+	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-HASTA-PRIMARIA-P	escolaridad::hasta_primaria	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	escolaridad	hasta_primaria	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-SECUNDARIA-P	escolaridad::secundaria	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	escolaridad	secundaria	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-MEDIA-SUPERIOR-P	escolaridad::media_superior	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	escolaridad	media_superior	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
RESULT-PISOS-ENVIPE2024-V2-EVASION-ESCOLARIDAD-SUPERIOR-P	escolaridad::superior	evasion	ENVIPE	2024	2023	ENVIPE	2025	2024	DELITO	escolaridad	superior	CONSTRUIBLE		tramite.evasion_norma.segmentacion_ejes_envipe2025	forense/notas/2026-09-16-GEN2-EMISOR-ESTADO-1-censo.tsv	7320bedbf8b7e5c7f5c6139063bea82c0b0bbdf0bd624a90b42600a59b558451
