cell_id	input_id	outcome	source_instrument	source_edition	source_reference_period	target_instrument	target_edition	target_reference_period	unit	axis	category	status	reason	consumer	metadata_source	metadata_source_sha256
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-SEXO-1-P	K1::sexo::1	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	sexo	1	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-SEXO-2-P	K1::sexo::2	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	sexo	2	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-EDAD-18-29-P	K1::edad::18-29	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	edad	18-29	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-EDAD-30-44-P	K1::edad::30-44	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	edad	30-44	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-EDAD-45-59-P	K1::edad::45-59	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	edad	45-59	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-EDAD-60-MAS-P	K1::edad::60+	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	edad	60+	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-ESCOLARIDAD-HASTA-PRIMARIA-P	K1::escolaridad::hasta_primaria	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	escolaridad	hasta_primaria	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-ESCOLARIDAD-SECUNDARIA-P	K1::escolaridad::secundaria	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	escolaridad	secundaria	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-ESCOLARIDAD-MEDIA-SUPERIOR-P	K1::escolaridad::media_superior	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	escolaridad	media_superior	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
RESULT-DIN-CREDITO-PISOS-ENIF2021-K1-ESCOLARIDAD-SUPERIOR-P	K1::escolaridad::superior	K1	ENIF	2021	julio 2020 a levantamiento 2021	ENIF	2024	junio 2023 a levantamiento 2024	P · PERSONA ELEGIDA 18+	escolaridad	superior	CONSTRUIBLE		PENDIENTE:piloto-credito-2024 (K1)	forense/prereg-caja/DIN-CREDITO-PISOS-ENIF2021-spec-v1_0.md	6119f4dec4cbaf297636aec83a11d76fa6bb06f31854edfd1e38f4ba672f2ae9
