cell_id	input_id	outcome	source_instrument	source_edition	source_reference_period	target_instrument	target_edition	target_reference_period	unit	axis	category	status	reason	consumer	metadata_source	metadata_source_sha256
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-REPARTO-HOGAR-TODOS-LOS-HOGARES-RAZON	reparto_hogar::todos los hogares (razón)	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	HOGAR	reparto_hogar	todos los hogares (razón)	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-SEXO-EDAD-HOMBRE-12-17	sexo_edad::hombre · 12-17	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	PERSONA	sexo_edad	hombre · 12-17	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-SEXO-EDAD-MUJER-12-17	sexo_edad::mujer · 12-17	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	PERSONA	sexo_edad	mujer · 12-17	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-SEXO-EDAD-HOMBRE-18-29	sexo_edad::hombre · 18-29	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	PERSONA	sexo_edad	hombre · 18-29	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-SEXO-EDAD-MUJER-18-29	sexo_edad::mujer · 18-29	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	PERSONA	sexo_edad	mujer · 18-29	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-SEXO-EDAD-HOMBRE-30-39	sexo_edad::hombre · 30-39	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	PERSONA	sexo_edad	hombre · 30-39	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-SEXO-EDAD-MUJER-30-39	sexo_edad::mujer · 30-39	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	PERSONA	sexo_edad	mujer · 30-39	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-SEXO-EDAD-HOMBRE-40-59	sexo_edad::hombre · 40-59	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	PERSONA	sexo_edad	hombre · 40-59	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-SEXO-EDAD-MUJER-40-59	sexo_edad::mujer · 40-59	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	PERSONA	sexo_edad	mujer · 40-59	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
DISENO-EXCLUSION-PISOS-ENUT2019-HORAS-CUIDADO-SEXO-EDAD-HOMBRE-60-MAS	sexo_edad::hombre · 60+	horas_cuidado	ENUT	2019	semana previa al levantamiento 2019	ENUT	2024	semana previa al levantamiento 2024	PERSONA	sexo_edad	hombre · 60+	SIN-PISO-POR-DISEÑO	C1 (conducta sellada, PR #976, GEN2-ENUT-PISOS-Y-SERIE-1): ENUT 2024 sufrió CAMBIO-DE-INSTRUMENTO frente a las olas anteriores para esta definición (horas_cuidado *_CON_CP); la celda no tiene piso t-1 por diseño del instrumento, no por variable ausente -- distinto de la causa ya sellada en v1_0 (comparabilidad por texto de #908). F-ENUT (firma de mesa, GEN2-LECTURAS-DE-MESA-Y-ROTULOS-1, 22/sep/2026).	familia.cuidado.reparto_mujeres40_ejes_enut2024	forense/notas/2026-09-21-GEN2-ENUT-PISOS-Y-SERIE-1-cierre.md	90b29c19420b1787dc4925bc2553ccde54ea09e67fb62171bf405543d3d22d31
