id_regla	encuesta_dominio	payload_manifiesto_id	estado_manifiesto	destino	evidencia
civico.contexto_institucional_victimas.lapop	LAPOP2019/2021/2023	mexico_lapop_americasbarometer_2019_v1_0_w	COINCIDE	RE-MEDIDA	Ya GEN2: CALC-0002--f57ad1cd8f96 (ACTO GEN2-E5, 8/sep/2026), 29 RESULT sellados, medido_en declarado en el propio YAML
civico.voto_alineado.clientelar_cses2015	CIDE-CSES2015	cide_cses2015_nacional_poselectoral	COINCIDE	RE-MEDIDA	Ya GEN2: CALC-0001--174c269a07b6 (ACTO GEN2-E5, 8/sep/2026), 54 RESULT sellados
civico.voto.clientelar_si_observable_lapop2019	LAPOP2019	(sin id en YAML; domino LAPOP2019)	COINCIDE	RE-MEDIDA	Ya GEN2: ACTO MAESTRA38-L4 (LOTE-LAPOP), 6/sep/2026, data/l4-clientelar-lapop2019-v1_0.json
civico.protesta.agravio_urbano_multiola	LAPOP2004+2006+2019	(3 waves; todas COINCIDEN, ver nota)	COINCIDE	RE-MEDIDA	Ya GEN2: ACTO MAESTRA38-L5 (LOTE-LAPOP), 6/sep/2026, data/l5-protesta-multiola-v1_0.json
comunicacion.inseguridad.ver_oir_callar_lapop2004	LAPOP2004	(sin id en YAML; payload 2004 SI existe, ver nota)	COINCIDE	RE-MEDIDA	Ya GEN2: ACTO MAESTRA38-L18 (LOTE-LAPOP), 6/sep/2026, data/l18-ver-oir-callar-lapop2004-v1_0
salud.atencion.grave_ensanut2024	ENSANUT2024 (fuera del universo nombrado del acto)	(sin id en YAML)	EXISTE (stata.zip citado en fuente)	RE-MEDIDA	Ya GEN2: ACTO MAESTRA38-LOTE-ENSANUT (L16), 6/sep/2026 + CALC-ENSANUT-0001
salud.vacunacion.disponible_ensanut2024	ENSANUT2024 (fuera del universo nombrado del acto)	(sin id en YAML)	EXISTE	RE-MEDIDA	Ya GEN2: ACTO MAESTRA38-LOTE-ENSANUT (L17), 6/sep/2026 + CALC-ENSANUT-0001; situacion=CARGADA-A-MOTOR
salud.atencion.grave_ennvih2002	ENNViH (dentro del universo nombrado, pero ya resuelta)	ennvih1_2002_hogar_dta	COINCIDE	RE-MEDIDA	Ya GEN2: ACTO MAESTRA38-L16-BIS-2, 7/sep/2026; situacion propia=NO-ESTIMABLE-EN-v1_1 (declarar ambos hechos)
dinero.credito.atraso_y_dano_por_producto_banxico	Banxico (fuera del universo nombrado)	(sin id en YAML)	EXISTE	RE-MEDIDA	Ya GEN2: ACTO GEN2-BANXICO-PRODUCTO-ATRASO-Y-COSTO (PR #746), CALC-BANXICO-PRODUCTO-DANO-0001, 35 RESULT sellados, exit_code=0 verificado
trabajo.prestaciones.valoracion_seguridad_social_motral	MOTRAL2015 (fuera del universo nombrado)	(sin id en YAML)	EXISTE	RE-MEDIDA	Ya GEN2: ACTO GEN2-N35/MOTRAL (PR #747), CALC-MOTRAL2015-VALORACION-SS-0001, 42 RESULT sellados, exit_code=0 verificado
referencia_sin_consumidor.shed2025_bnpl	SHED2025 BNPL (fuera del universo nombrado; sin consumidor activo)	(sin id en YAML)	N/A	RE-MEDIDA	Ya GEN2: ACTO GEN2-SHED-BNPL-DANO-UNIVERSOS (PR #745), CALC-SHED2025-BNPL-DANO-0001, 66 RESULT sellados, exit_code=0 verificado; situacion=REFERENCIA-SIN-CONSUMIDOR (sellada pero nadie la consume, hecho ortogonal a si se midió)
familia.corresidencia.adulto_familiar	EDER2017	eder_2017_eder2017_bases_csv	COINCIDE	RE-MEDIDA	Ya GEN2: RESULT-EDER-A-P en el propio YAML entonces[], firma de mesa 15/sep/2026 (OBJETO 7, NC-0183), factor_per DENTRO-DEL-IC-FASE1
familia.corresidencia.adulto_familiar_actual	EDER2017	eder_2017_eder2017_bases_csv	COINCIDE	RE-MEDIDA	Ya GEN2, verificado por este acto: CALC-EDER-0002 (ACTO GEN2-LOTE-MEDICION-PENDIENTE-1), RESULT-EDER-ACT-A-P=0.0575307138... = GEN1 p=0.057531 exacto; RESULT-EDER-ACT-A-REPRODUCE-GEN1=REPRODUCE
familia.union.libre_ejes_eder2017	EDER2017	eder_2017_eder2017_bases_csv	COINCIDE	RE-MEDIDA	Ya GEN2, verificado por este acto: CALC-EDER-0003 (ACTO GEN2-SPECS-DEMANDA-1), RESULT-EDER-UNION-B-COHORTE-P-LIBRE reproduce las 4 celdas de cohorte del YAML (1961-1970/1971-1980/1991+ exactas; 1981-1990 a 0.00016 pp)
familia.seguro.volatilidad_ausencia_estado	ENIGH2022 (serie 6 olas)	enigh2022_nc_csv	COINCIDE	RE-MEDIDA	Ya GEN2, verificado por este acto: CALC-ENIGH-0001, RESULT-ENIGH-A-P=0.0456940995... = GEN1 p=0.045694 exacto (n=90102); RESULT-ENIGH-A-REPRODUCE-GEN1=REPRODUCE, delta=9.96e-8
dinero.planeacion.formal_estable	ENFIH2019	enfih2019_bd_csv_zip	COINCIDE	RE-MEDIDA	Ya GEN2, verificado por este acto: CALC-ENFIH2019-SALDOS-AFORE-0001, RESULT-ENFIH2019-SALDOS-AFORE-P-TENEDOR=0.5385022... = GEN1 p=0.538502 exacto (n=17765 exacto); cruce interno contra CALC-ENFIH-0001 declarado (delta=0.0)
tramite.mordida.discrecional	ENCUCI2020	encuci2020_bd_dbf	COINCIDE	RE-MEDIDA	Ya GEN2, verificado por este acto: CALC-ENCUCI-0001 RESULT-ENCUCI-A-P-CUALQUIERA=0.126006 vs GEN1 0.125822 (delta +0.000184=0.018pp, n 13411 vs 13435); YA ADJUDICADO por ese CALC: RESULT-ENCUCI-A-REPRODUCE-GEN1=NO-REPRODUCE / RESULT-ENCUCI-A-ADOPCION-P3=NO-ADOPTABLE-POR-DISCREPANCIA (denominador recortado). No se re-mide: se cita el veredicto ya sellado
civico.protesta.agravio_urbano_encuci2020	ENCUCI2020	encuci2020_bd_dbf	COINCIDE	RE-MEDIDA	Ya GEN2, verificado por este acto: CALC-ENCUCI-0001 RESULT-ENCUCI-B-P-URB-AGR=0.112192 y RESULT-ENCUCI-B-P-RUR-AGR=0.091912 = GEN1 exacto en las dos celdas; RESULT-ENCUCI-B-REPRODUCE-URB-GEN1=REPRODUCE, RESULT-ENCUCI-B-REPRODUCE-RUR-GEN1=REPRODUCE
civico.transferencia.entitlement_encuci2020	ENCUCI2020	encuci2020_bd_dbf	COINCIDE	RE-MEDIDA (P2, nueva en este acto)	Sin CALC previo (búsqueda por valor y por variable AP6_9/AP6_10 en todos los spec.yaml/resultados.json de data/corrida0/: sin match). Piezas COMMIT-1/2 de este acto.
civico.voto.agencia_con_secreto_encuci2020	ENCUCI2020	encuci2020_bd_dbf	COINCIDE	RE-MEDIDA (P2, nueva en este acto)	Sin CALC previo (búsqueda por AP7_13/AP7_15/morena: sin match). Piezas COMMIT-1/2 de este acto.
dinero.ahorro.tiene_ahorros	ENNViH olas2-3	ola2=ennvih2_2005_hogar_dta;ola3=ennvih3_2009_hogar_dta;peso=ennvih2_2005_ponderador_transversal	COINCIDE (3 archivos verificados)	RE-MEDIDA (P2, nueva en este acto)	Sin CALC previo (CALC-TANDAS-ENNVIH-0001/PANEL-0001 son de otro tema, tandas de ahorro rotativo, sin campo AHORR* que empate). Pieza COMMIT-1/2 de este acto.
