necesidad_id	fuente_canonica	objeto_evidencia_id	tipo_evidencia	evidencia_ref	evidencia_localizador	variable_reactivo_tabla	texto_evidencia	unidad_observacion	periodo	universo_muestra	codificacion	parte_necesidad_cubierta	parte_necesidad_no_cubierta	uso_potencial_modelo	transformacion_requerida	incertidumbre	traza_revision	siguiente_accion
N2	ISSP	OE-e98c88fd0bd8f8493cef061f	INDICE_SIN_PAYLOAD	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L8	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	Fuente indexada sin descarga.	NO_DETERMINADO	2017	México	NO_DETERMINADO	Identidad de fuente	Reactivo, desenlace y coobservación	NO_APLICA	NO_DETERMINADO	Alta	Mapa local revisado	Obtener codebook México 2017.
N2	ISSP	OE-f0df762d8d95ea4d04b39ef2	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	NO_DETERMINADO	ISSP Social Networks identificado sin apertura.	persona	2017	México	NO_DETERMINADO	Fuente plausible	Variable y outcome	NO_APLICA	NO_DETERMINADO	Alta	Mapa local revisado	Abrir codebook.
N3	ISSP	OE-9de1114d76ce882ed34bf8e8	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L15	ISSP	NO_DETERMINADO	Referencia ISSP sin evidencia concreta N3.	NO_DETERMINADO	NO_DETERMINADO	México	NO_DETERMINADO	Identidad fuente	Constructo y outcome N3	NO_APLICA	NO_DETERMINADO	Alta	Mapa y contexto inmutable revisados	Buscar reactivo literal.
N4	ENSAFI2023_BD_CSV_ZIP	OE-831d392846e0f6e74f60c0b6	VARIABLE_SIN_DOCUMENTACION	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	IMPULSIVID	IMPULSIVID	Columna derivada sin texto de reactivo; valores observados 1 y 2.	persona	2023	20448 filas TMODULO	binaria {1,2}, sentido no verificable	Nombre potencialmente relacionado	Aversión al riesgo y desenlace G2 verificables	No usar como parámetro	No se conoce el constructo	Alta	Fila ABRIR-4 leída completa	Obtener diccionario oficial y desenlace conjunto.
N5	FABLE	OE-ac614a08b177265f004c266d	REFERENCIA_NO_FUENTE	MAIN:canon/modelo-decision-v4_0.md	FABLE	NO_DETERMINADO	Documentos conceptuales; sin payload FABLE.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Demanda definida	Diseño longitudinal/experimental y conducta	NO_APLICA	NO_DETERMINADO	Alta	Referencias locales inspeccionadas	Identificar instrumento exacto.
N6	ENSAFI2023_BD_CSV_ZIP	OE-e14567b41b8dd6d210ed240d	VARIABLE_SIN_DOCUMENTACION	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	IMPULSIVID	IMPULSIVID	Columna binaria existe sin texto; no hay desenlace de ahorro ante volatilidad verificado.	persona	2023	20448 filas TMODULO	{1,2}, dirección desconocida	Nombre potencialmente relacionado	Aversión y conducta específica coobservada	No usar	Diccionario, constructo y outcome faltantes	Alta	ABRIR-4 revisado	Obtener diccionario y verificar outcome antes de adjudicar.
N8	ENVIPE	OE-5e7583b82a9bd409ff3de7f4	SINTESIS_APERTURA	MAIN:forense/matriz-impacto-universal-2026-08-06.md:L82	ENVIPE	AP7_3_10..14	Exposición y desenlaces condicionados parciales; identificación no satisfecha.	persona	varias olas	México	NO_DETERMINADO	Exposición parcial	Ver/oír/callar sin selección	Asociación descriptiva potencial	Definir población elegible	Media-alta	Matriz local revisada	Mapear unión exacta.
N9	ENVIPE	OE-d4dae09f023ab8dbde44755a	SINTESIS_APERTURA	MAIN:forense/matriz-impacto-universal-2026-08-06.md:L82	ENVIPE	NO_DETERMINADO	Condicionales parciales sin llave causal nueva.	persona	varias olas	México	NO_DETERMINADO	Fuente de confianza/justicia plausible	Respuesta no seleccionada	Descriptivo si se define universo	Empatar por persona elegible	Alta	Matriz local revisada	Abrir reactivos conjuntos.
N10	ENSAFI2023_BD_CSV_ZIP	OE-89a3ea1f1f57946d79377e63	VARIABLE_ABIERTA	MAIN:data/abrir4-variables-2026-08-08.tsv:L4	ORIEN_FUT	ORIEN_FUT	Columna derivada binaria sin texto; no hay batería de victimización/justicia.	persona	2023	20448 filas TMODULO	{1,2}, sentido desconocido	Orientación futura nominal	Desenlace G4 coobservado	No usar para N10	Texto faltante	Alta	ABRIR-4 revisado	Conservar negativa.
N12	ISSP	OE-2d196672c346d9eb08441b65	INDICE_SIN_PAYLOAD	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L8	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	Social Networks 2017 sin descarga.	persona	2017	México	NO_DETERMINADO	Fuente plausible	Reactivo apoyo y desenlace	NO_APLICA	NO_DETERMINADO	Alta	Índice local revisado	Obtener codebook.
N12	ISSP	OE-9c9700631e773d55e687e55c	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	NO_DETERMINADO	Fuente mapeada sin variables.	persona	2017	México	NO_DETERMINADO	NO_DETERMINADO	Familismo-apoyo concreto	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir cuestionario.
N12	ISSP	OE-af8ae9ef91dbb73b1e246458	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L6	ISSP	NO_DETERMINADO	Puerta ISSP sin payload.	NO_DETERMINADO	NO_DETERMINADO	México	NO_DETERMINADO	NO_DETERMINADO	Edición, reactivo y outcome	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Resolver edición.
N13	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	OE-8f78c2549f10817cc484275f	INDICE_SIN_PAYLOAD	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L6	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	Evaluación indexada sin descarga.	NO_DETERMINADO	2012-2014	NO_DETERMINADO	NO_DETERMINADO	Diseño de evaluación	Obligación familiar	NO_APLICA	NO_DETERMINADO	Alta	Índice revisado	Obtener instrumentos.
N13	ISSP	OE-366d9c5884d65abb8547ae56	INDICE_SIN_PAYLOAD	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L9	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	ISSP Family 2012 México sin descarga.	persona	2012	México	NO_DETERMINADO	Fuente plausible	Item literal y outcome	NO_APLICA	NO_DETERMINADO	Alta	Índice revisado	Obtener codebook.
N13	ISSP	OE-c784b73130190d561571fe98	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	NO_DETERMINADO	Referencia general sin apertura.	persona	NO_DETERMINADO	México	NO_DETERMINADO	NO_DETERMINADO	Obligación familiar	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir módulo exacto.
N13	ISSP	OE-dfce1d6e6ebbe5bcb65fec02	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L6	ISSP	NO_DETERMINADO	Puerta no abierta.	NO_DETERMINADO	NO_DETERMINADO	México	NO_DETERMINADO	NO_DETERMINADO	Reactivo, escala y outcome	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Consolidar codebook.
N14	02-	OE-2a65c4b42b26b46a976631ac	REFERENCIA_NO_ABIERTA	MAIN:canon/modelo-decision-v4_0.md	confianza	NO_DETERMINADO	PDF nominal no abierto para esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Demanda de confianza	Muestra y outcome financiero	NO_APLICA	NO_DETERMINADO	Alta	Referencias inspeccionadas	Resolver ruta PDF.
N14	ENCUCI	OE-7bcdf8692160761ace39557f	REACTIVOS_ABIERTOS	MAIN:forense/matriz-impacto-universal-2026-08-06.md:L94	ENCUCI	AP5_1_1/2/3	Reactivos de confianza medidos; desenlace financiero está en ENIF, no en la misma muestra.	persona	2020	México urbano 100 mil+	0-10; cortes dependen de análisis	Radio de confianza parcial	Puente financiero conjunto	Medición descriptiva de confianza	Mantener reactivos separados	Media	Matriz y glosario revisados	Buscar instrumento conjunto.
N14	ENSAFI2023_BD_CSV_ZIP	OE-f5415c4f1402e7c66987fbd5	VARIABLE_SIN_DOCUMENTACION	MAIN:data/abrir4-variables-2026-08-08.tsv:L7	CONF_FINAN	CONF_FINAN	Binaria {1,2}; texto y sentido no documentados; coexiste con módulos financieros.	persona	2023	20448 filas TMODULO	{1,2}, dirección desconocida	Contexto financiero y nombre potencialmente relacionado	Radio de confianza verificable	No usar aún	El nombre no identifica el constructo	Alta	ABRIR-4 revisado	Obtener diccionario oficial y comprobar texto/sentido.
N14	ISSP	OE-40750227480ea9c75b5c20c8	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L5	ISSP	NO_DETERMINADO	Fuente sin variables abiertas.	persona	2017	México	NO_DETERMINADO	Redes plausibles	Confianza y dificultad financiera conjunta	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir codebook.
N17	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OE-153099e060474c664f682d70	INDICE_SIN_PAYLOAD	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L13	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	Base de protesta no descargada.	evento	NO_DETERMINADO	México	NO_DETERMINADO	Evento potencial	Mecanismo N17	NO_APLICA	NO_DETERMINADO	Alta	Índice revisado	Obtener codebook.
N17	UCDP	OE-36cef4421aa0ef049dcdaea3	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L14	UCDP	NO_DETERMINADO	GED identificado sin apertura.	evento	NO_DETERMINADO	México	NO_DETERMINADO	Evento georreferenciado	Gobierno/trámite digital	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir codebook.
N18	ENIGH	OE-908664732583bf99e4d0527e	MAPA_PAYLOAD	MAIN:data/mapa-fuentes-2026-08-06.tsv:L3	EN-DISCO-NO-CUBRE	NO_DETERMINADO	ENIGH en disco, sin mapeo de sanción×utilidad.	hogar/persona	varias olas	México	NO_DETERMINADO	Contexto económico	Evasión, sanción y utilidad	NO_APLICA	NO_DETERMINADO	Media-alta	Mapa revisado	Búsqueda dirigida en diccionarios.
N19	AHORRO FINANCIERO Y FINANCIAMI	OE-9b4d021444b78bf40c9878b9	INVENTARIO	MAIN:data/inventarios/inventario-fuentes-credito-ahorro-finanzas-hogar-mexico.md:L40	Ahorro Financiero y Financiamiento	NO_DETERMINADO	Reportes/bases CNBV agregados inventariados.	indicador agregado	NO_DETERMINADO	México	NO_DETERMINADO	Ahorro y financiamiento	Relación concreta N19	Contexto/prior agregado posible	Elegir serie y unidad	Alta	Inventario revisado	Abrir tabla específica.
N20	ENVIPE	OE-ec4ae2e4df0decfd79367f30	VARIABLE_Y_MICRODATO	MAIN:forense/hitoD-preregistro-v2_0.md:L693	BP2_1	BP2_1	Vehículo robado asegurado válido solo en robo total; 1028/40280 y 100% BPCOD=01.	víctima/delito	2025	Víctimas con módulo, México	binaria, válida solo BPCOD=01	Seguro en robo total	Seguro variable entre delitos y denuncia general	Estimar denuncia dentro de robo total con reserva	Restringir a BPCOD=01	Baja para ausencia estructural	Cuestionario y microdato resumidos en nota	No generalizar; buscar fuente alternativa.
N22	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-5f0201a5ea6cf5b6386b6888	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L13	World Bank Enterprise Survey Mexico 2023	NO_DETERMINADO	Fuente identificada sin variable de N22.	empresa	2023	México	NO_DETERMINADO	Unidad empresarial	Constructo N22	NO_APLICA	NO_DETERMINADO	Alta	Mapa y contexto revisados	Abrir cuestionario.
N23	WORLD_BANK_ENTERPRISE_SURVEY_MEXICO_2023	OE-ef2b51cb3bafa5193a80ba9a	MAPA	MAIN:data/mapa-ext-general-2026-08-06.tsv:L13	World Bank Enterprise Survey Mexico 2023	NO_DETERMINADO	Sin evidencia concreta N23.	empresa	2023	México	NO_DETERMINADO	Unidad empresarial	Constructo N23	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Abrir codebook.
N25	INE	OE-629ec191998ec508c83fae05	CLASE_FUENTE	MAIN:data/mapa-fuentes-2026-08-06.tsv:L97	INE	NO_DETERMINADO	Institución identificada sin producto concreto.	NO_DETERMINADO	NO_DETERMINADO	México	NO_DETERMINADO	Autoridad de fuente	Datos N25	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Precisar producto.
N26	INE	OE-6487bac05f4bf89b84d72e68	CLASE_FUENTE	MAIN:data/mapa-fuentes-2026-08-06.tsv:L97	INE	NO_DETERMINADO	Institución sin dataset para N26.	NO_DETERMINADO	NO_DETERMINADO	México	NO_DETERMINADO	Autoridad de fuente	Datos N26	NO_APLICA	NO_DETERMINADO	Alta	Mapa revisado	Precisar producto.
