procedencia_id	relacion_id	necesidad_id	fuente_canonica_normalizada	objeto_evidencia_id_canonico	procedencia_necesidad_id	procedencia_fuente	procedencia_objeto_evidencia_id	accion_normalizacion	clasificacion_relacion	tipo_evidencia	evidencia_ref	evidencia_localizador	variable_reactivo_tabla	texto_evidencia	unidad_observacion	periodo	universo_muestra	codificacion	parte_necesidad_cubierta	parte_necesidad_no_cubierta	uso_potencial_modelo	transformacion_requerida	incertidumbre	siguiente_accion	objeto_modelo_origen	objeto_modelo_origen_ref
PROV-e22e00fc515f15220b4eb058	REL-00e7bd28c9c0db01fd89a3be	N24	ENIF	OE-6ef40dafb8aa2ce4de4aab6f	N24	ENIF	OE-6ef40dafb8aa2ce4de4aab6f	SIN_CAMBIO	CANDIDATA	INSTRUMENTO_LOCAL_PARCIAL	MAIN:forense/hitoE-campana-medicion-v2_0.md	L999-L1116	NO_DETERMINADO	ENIF tiene reactivos financieros identificados (P9_9_1..6, P4_10 y sección 11), pero la evidencia local no verifica el cruce específico solicitado por esta clave.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La relación requiere un objeto de evidencia concreto todavía no mapeado.	Identificación verificable y coobservación del constructo con el desenlace específico.	CANDIDATO; no parametrizable hasta completar el mapeo.	Mapeo de variables, codificación y llave de unión; estimación solo después de validar unidad y periodo.	ALTA: evidencia local parcial o meramente indexada.	Mapear en el cuestionario y microdato ENIF los reactivos de la necesidad y el desenlace, y comprobar que comparten unidad de observación.	NO_DETERMINADO	NO_DETERMINADO
PROV-ec3440b4c260aa00e1a7651c	REL-010587549b42b447e0b551cc	N14	ENASIC	OE-39b0e41e519661a192590d66	N14	ENASIC	OE-39b0e41e519661a192590d66	SIN_CAMBIO	NEGATIVA	EVIDENCIA_ACEPTADA_PREVIA	MAIN:data/abrir4-variables-2026-08-08.tsv:L21	NO_DETERMINADO	NO_DETERMINADO	'6.45.06 ¿Por que no ha buscado este tipo de servicios o lugares (guarderia, casa del abuelo, asilo, o algun lugar donde otorguen cuidados o realicen actividades o talleres)? Incomodidad o desconfianza de que alguien ajeno lo cuide'	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Escala/diseño/universo: binario Si marcado / no marcado (razon de una lista de opcion multiple); NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); confianza/confia = 3 coincidencias, las 3 son la misma pregunta repetida en 3 tablas distintas. Le falta: es desconfianza acotada especificamente a 'que alguien ajeno cuide' (dominio de cuidados), no un radio de confianza general, y no existe ningun desenlace financiero en este instrumento para construir el puente que pide la necesidad 14, 2026-08-08	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO
PROV-e25be4c087fee188c6c7cd1d	REL-01ff8326fdbe3c0a4e299a02	N14	ENSAFI	OE-f5415c4f1402e7c66987fbd5	N14	ENSAFI2023_BD_CSV_ZIP	OE-f5415c4f1402e7c66987fbd5	CONSERVAR_EVIDENCIA_DISTINTA	CANDIDATA	VARIABLE_SIN_DOCUMENTACION	MAIN:data/abrir4-variables-2026-08-08.tsv:L7	CONF_FINAN	CONF_FINAN	Binaria {1,2}; texto y sentido no documentados; coexiste con módulos financieros.	persona	2023	20448 filas TMODULO	{1,2}, dirección desconocida	Contexto financiero y nombre potencialmente relacionado	Radio de confianza verificable	No usar aún	El nombre no identifica el constructo	Alta	Obtener diccionario oficial y comprobar texto/sentido.	NO_DETERMINADO	NO_DETERMINADO
PROV-7c55a5a9af2822c0e30bea02	REL-028de5b919a6739a98cd9289	N12	ENFIH	OE-ccd36853bad165d40420a98b	N12	ENFIH	OE-ccd36853bad165d40420a98b	SIN_CAMBIO	NEGATIVA	EVIDENCIA_ACEPTADA_PREVIA	MAIN:data/abrir4-variables-2026-08-08.tsv:L12	NO_DETERMINADO	NO_DETERMINADO	'11.1 Si hoy tuviera una urgencia economica igual a lo que gana o recibe en un mes, ¿usted podria pagarla con un prestamo de amigos o familiares?'	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Escala/diseño/universo: binario Si/No; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 26 coincidencias de 'familiar', 15 de 'apoyo' (838 variables) -- la enorme mayoria son transacciones conductuales (prestamos ya recibidos de familiares, subsidios de gobierno) o P11_1_5 (capacidad percibida de afrontamiento en UN escenario hipotetico). Le falta: no es una disposicion general de apoyo/familismo, es capacidad percibida de coping en un escenario puntual, 2026-08-08	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO
PROV-490ab44ee97e7531ee54a9bf	REL-02a3b065790c80afc38dd59c	N29	REGISTRO_DE_TANDAS_Y_REPUTACION	OE-0c58708f4cb7f7053d9d7a7f	N29	REGISTRO_DE_TANDAS_Y_REPUTACION	OE-0c58708f4cb7f7053d9d7a7f	SIN_CAMBIO	NO_ACCESIBLE	EVIDENCIA_ACEPTADA_PREVIA	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L29	NO_DETERMINADO	NO_DETERMINADO	NO-ACCESIBLE	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Escala/diseño/universo:	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO
PROV-7df9d8d2d32a1d269793d38d	REL-02b8ee6d0e13dfb6dc7d3331	N27	CSES	OE-a56efe10a720cb6696d3271e	N27	CSES	OE-a56efe10a720cb6696d3271e	SIN_CAMBIO	CANDIDATA	INDICE_O_DOCUMENTACION_INSUFICIENTE	MAIN:data/mapa-ext-general-2026-08-06.tsv:L7	APERTURA_INDETERMINADA	NO_DETERMINADO	Solo existe ficha/indexación; no se abrió evidencia concreta suficiente en esta ronda.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Existencia o pertinencia temática preliminar de la fuente.	Solo hay documentación de diseño/contenido electoral; falta codebook México y la variable exacta exigida por la necesidad.	NO_DETERMINADO hasta abrir evidencia concreta.	Mapeo explícito de variables y llave de análisis.	Solo hay documentación de diseño/contenido electoral; falta codebook México y la variable exacta exigida por la necesidad.	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	NO_DETERMINADO	NO_DETERMINADO
PROV-9c28fdc4f7ffafd07bc17466	REL-02e6e4861871631dd29048bd	N14	02-	OE-2a65c4b42b26b46a976631ac	N14	02-	OE-2a65c4b42b26b46a976631ac	SIN_CAMBIO	CANDIDATA	REFERENCIA_NO_ABIERTA	MAIN:canon/modelo-decision-v4_0.md	confianza	NO_DETERMINADO	PDF nominal no abierto para esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Demanda de confianza	Muestra y outcome financiero	NO_APLICA	NO_DETERMINADO	Alta	Resolver ruta PDF.	NO_DETERMINADO	NO_DETERMINADO
PROV-3c8c3ca91a02463c3725a203	REL-04c3943ecb0df7bacdc3c994	N12	ENFIH	OE-826b60a87b39ab2aec89c752	N12	ENFIH2019_FD_XLSX	OE-826b60a87b39ab2aec89c752	CONSERVAR_EVIDENCIA_DISTINTA	NEGATIVA	REACTIVO_EXPLICITO	MAIN:data/abrir4-variables-2026-08-08.tsv:L12	P11_1_5	P11_1_5	11.1 Si hoy tuviera una urgencia economica igual a lo que gana o recibe en un mes, ¿usted podria pagarla con un prestamo de amigos o familiares?	persona	ENFIH 2019	muestra ENFIH 2019; detalle no reabierto en esta ronda	binario Sí/No	Afrontamiento financiero hipotético mediante amigos o familiares.	Disposición general de apoyo familiar no circular y su conducta asociada.	Indicador de recurso de afrontamiento puntual; no parámetro de familismo_apoyo.	Codificación binaria si se usa únicamente como coping financiero.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Conservar como negativa fuente-específica; buscar un reactivo disposicional solo en una futura fuente ya identificada.	NO_DETERMINADO	NO_DETERMINADO
PROV-d13ef5b8c3b51562588a3341	REL-055f95a08fee0f508052ddec	N4	ENSAFI	OE-7b029300001a2bf782ba2f34	N4	ENSAFI	OE-7b029300001a2bf782ba2f34	SIN_CAMBIO	NEGATIVA	EVIDENCIA_ACEPTADA_PREVIA	MAIN:data/abrir4-variables-2026-08-08.tsv:L3	NO_DETERMINADO	NO_DETERMINADO	[SIN TEXTO DE REACTIVO -- ENSAFI no trae diccionario en este corpus; nombre de columna derivada, hallada por lectura manual del encabezado, no por el barrido de terminos]	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Escala/diseño/universo: binaria, valores observados {1,2} en TMODULO.csv (python3+csv); dirección/sentido no verificable sin documentación; NO (inferencia estructural: un solo anio en manifiesto/zip, sin archivos por ola; ningun diccionario de los 4 menciona 'panel' ni 'corte transversal' -- grep verificado 2026-08-08, no hay declaracion explicita); 369 encabezados crudos, terminos riesgo/arriesg/perdida/perder/certidumbre = 0; IMPULSIVID (y GRA_CONTROL) hallados por lectura manual de las ultimas 17 columnas de TMODULO (indices derivados no P-numerados); sin documentacion complementaria en todo el repo (grep -rIl sobre *.md/*.yaml/*.txt, 0 resultados), 2026-08-08. Mismo riesgo de sobre-interpretar nombre sin pregun	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO
PROV-47d87edb95d26735fccfddd0	REL-0692b43ca9c2f7bb608a2858	N25	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	OE-8f2afe044e85aa01a5d1887e	N25	EXPERIMENTO_DE_INFORMACION_ELECTORAL_2009	OE-8f2afe044e85aa01a5d1887e	SIN_CAMBIO	CANDIDATA	INDICE_O_DOCUMENTACION_INSUFICIENTE	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:data/catalogo-fuentes-v2_0.md;MAIN:data/cola-aperturas-externas-2026-08-06.tsv	Serie municipal pareada por tipo de elección.	NO_DETERMINADO	Serie municipal pareada por tipo de elección.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Existencia o pertinencia temática preliminar de la fuente.	La documentación describe tratamiento y turnout en 2009, pero no acredita una serie municipal pareada concurrente/no concurrente.	NO_DETERMINADO hasta abrir evidencia concreta.	Mapeo explícito de variables y llave de análisis.	La documentación describe tratamiento y turnout en 2009, pero no acredita una serie municipal pareada concurrente/no concurrente.	Abrir índice/codebook del paquete y verificar nivel municipal, años y tipo de elección; mantener separado efecto experimental de serie municipal.	NO_DETERMINADO	NO_DETERMINADO
PROV-f856c3016866e5c7f5d7eac2	REL-08af2a451bfb04d90902eec4	N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	OE-cf8d6b60756007bb54baf260	N28	IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM	OE-cf8d6b60756007bb54baf260	SIN_CAMBIO	CANDIDATA	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L17	N28|IMPACT_EVALUATION_OF_PARENTAL_EMPOWERMENT_PROGRAM|OE-cf8d6b60756007bb54baf260	NO_DETERMINADO	INDEXADO-NO-DESCARGADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	La ficha confirma estudio y un archivo endline, pero no abre asignación, llave ni medidas exactas de contribución/sanción.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Abrir DDI/codebook y datos; verificar asignación, llaves, participación parental y outcome escolar.	NO_DETERMINADO	NO_DETERMINADO
PROV-875b8817778aa834078791da	REL-0a4bbf31b54c5ce3565ba753	N26	PUB	OE-c1b02a844fc80c9293323757	N26	PUB	OE-c1b02a844fc80c9293323757	SIN_CAMBIO	CANDIDATA	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:data/mapa-fuentes-2026-08-06.tsv:L112	N26|PUB|OE-c1b02a844fc80c9293323757	NO_DETERMINADO	La ficha local solo indexa la fuente; no contiene evidencia concreta adjudicable para esta relación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	El padrón está registrado como EN-DISCO-SIN-VERIFICAR y no hay microdato o diccionario abierto para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Localizar el payload oficial concreto del padrón y abrir diccionario/llaves antes de evaluar el vínculo causal o de participación.	NO_DETERMINADO	NO_DETERMINADO
PROV-f27511ba4f1c9a02ba00acb8	REL-0b0dac8dd04b5f25133518f8	N29	FINANZAS	OE-d644fa49bac078e3b0ce67b3	N29	FINANZAS	OE-d644fa49bac078e3b0ce67b3	SIN_CAMBIO	CANDIDATA	INDICE_O_DOCUMENTACION_INSUFICIENTE	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:corpus/forense/Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	Usuario/tanda con participación, cumplimiento, incumplimiento y reputación.	NO_DETERMINADO	Usuario/tanda con participación, cumplimiento, incumplimiento y reputación.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	Existencia o pertinencia temática preliminar de la fuente.	La referencia formula una necesidad o hipótesis financiera, pero no identifica un instrumento/payload único ni una variable verificable.	NO_DETERMINADO hasta abrir evidencia concreta.	Mapeo explícito de variables y llave de análisis.	La referencia formula una necesidad o hipótesis financiera, pero no identifica un instrumento/payload único ni una variable verificable.	Resolver la etiqueta FINANZAS a una fuente canónica concreta ya reunida y abrir su instrumento contra el par requerido.	NO_DETERMINADO	NO_DETERMINADO
PROV-fb1e0b2fcae64c62f9a0625c	REL-0b6385436015c470992017f1	N13	ENSAFI	OE-b82cd53df63bf1a736b8b985	N13	ENSAFI	OE-b82cd53df63bf1a736b8b985	SIN_CAMBIO	CANDIDATA	FICHA_LOCAL_NO_CONCLUYENTE	MAIN:canon/glosario-v5_6.md	N13|ENSAFI|OE-b82cd53df63bf1a736b8b985	NO_DETERMINADO	Obligación familiar explícita coobservada con conducta real de cuidado.	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	NO_DETERMINADO	La fuente o dominio temático está identificado en el universo reunido.	El registro local describe una hipótesis de variable, pero no aporta diccionario ni texto literal del reactivo para este objeto.	NO_DETERMINADO hasta verificar la evidencia concreta.	NO_APLICA antes de verificar instrumento y variables.	No se extrapola de la fuente a otras necesidades ni de una ficha temática a evidencia explícita.	Abrir el cuestionario/diccionario ENSAFI correspondiente y verificar texto, codificación y desenlace coobservado.	NO_DETERMINADO	NO_DETERMINADO
PROV-2fcf25ae57ff23c3b26eeec4	REL-0c03e53054567fc014b50bc0	N8	ENVIPE	OE-5e7583b82a9bd409ff3de7f4	N8	ENVIPE	OE-5e7583b82a9bd409ff3de7f4	SIN_CAMBIO	CANDIDATA	SINTESIS_APERTURA	MAIN:forense/matriz-impacto-universal-2026-08-06.md:L82	ENVIPE	AP7_3_10..14	Exposición y desenlaces condicionados parciales; identificación no satisfecha.	persona	varias olas	México	NO_DETERMINADO	Exposición parcial	Ver/oír/callar sin selección	Asociación descriptiva potencial	Definir población elegible	Media-alta	Mapear unión exacta.	NO_DETERMINADO	NO_DETERMINADO
